 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
a24	0.0180585	0.0166773	0.0197655	0.0386261	0.0872576	0.149755	0.226511	0.182797	0.110533	0.0504921	0.0268435	0.0199572	0.0223939	0.0303323
a41	0.0251461	0.024266	0.0268932	0.0415641	0.0743026	0.141073	0.219061	0.186763	0.117762	0.0572629	0.0251293	0.0168185	0.0181596	0.0257985
a24	0.0425658	0.0423653	0.0404052	0.0574115	0.0843655	0.138517	0.186673	0.152846	0.0942655	0.0427685	0.0243161	0.0211326	0.0280471	0.0443207
a41	0.0163683	0.0164555	0.0169773	0.0253648	0.047732	0.0963337	0.167946	0.178218	0.137825	0.0788971	0.0497591	0.0400208	0.0506833	0.0774191
a24	0.0153626	0.0153981	0.0157329	0.0230787	0.0415821	0.0806071	0.134652	0.145115	0.120596	0.0837057	0.0713485	0.0627021	0.077439	0.11268
a18	0.00991405	0.00981559	0.00984414	0.0114186	0.0223916	0.048713	0.107005	0.140824	0.135924	0.118305	0.102403	0.0827326	0.0874809	0.113229
a61	0.0155213	0.0151715	0.0134668	0.015931	0.0311885	0.0554021	0.108769	0.146377	0.158991	0.117227	0.0926116	0.0654072	0.0694796	0.0944563
a24	0.0244965	0.025088	0.0237536	0.0294382	0.0443729	0.0732184	0.121306	0.139217	0.14182	0.109315	0.0841971	0.0576784	0.055008	0.0710913
a43	0.0113602	0.0117358	0.0105969	0.0129979	0.0226798	0.0427316	0.0775747	0.0992443	0.113262	0.117474	0.126672	0.112357	0.111117	0.130197
a41	0.0192829	0.01941	0.0164367	0.0208845	0.0363461	0.0589803	0.0950687	0.108539	0.126472	0.116022	0.116393	0.0856534	0.0818008	0.0987112
a0	0.00804312	0.00828918	0.00753928	0.0103087	0.0195685	0.0310236	0.0481981	0.0650145	0.084286	0.0991993	0.134534	0.131083	0.155905	0.197007
a11	0.0105832	0.0104893	0.00841797	0.0106726	0.0196164	0.0314775	0.0473917	0.0524132	0.0672097	0.0882825	0.152903	0.145831	0.158526	0.196185
a47	0.0128166	0.0123794	0.0101377	0.0128916	0.0248167	0.03884	0.05655	0.0605521	0.0763133	0.0940669	0.154259	0.134572	0.141645	0.17016
a61	0.00673858	0.00662963	0.00575296	0.00803483	0.0181658	0.031753	0.047343	0.0557002	0.07687	0.104926	0.178294	0.153987	0.145954	0.15985
a75	0.0114942	0.0113493	0.0109427	0.0125203	0.0194601	0.0294937	0.0418656	0.0435385	0.0548559	0.0706035	0.140812	0.156281	0.187567	0.209217
a41	0.0163676	0.0162354	0.0142385	0.0171048	0.0270494	0.0320736	0.0415145	0.0413445	0.0497088	0.064057	0.143328	0.155994	0.179766	0.201218
a35	0.00900465	0.00866508	0.00870729	0.0122724	0.0220322	0.0287462	0.0370781	0.0425549	0.0594094	0.0820476	0.154046	0.158975	0.171284	0.205178
a25	0.011545	0.011154	0.0122604	0.0159637	0.0256425	0.03197	0.0378942	0.0390845	0.0503149	0.0720284	0.144557	0.153609	0.176368	0.217609
a56	0.00614922	0.00572117	0.00649729	0.00984297	0.0210274	0.0304338	0.0428546	0.0496057	0.0700569	0.0877063	0.159372	0.154345	0.165647	0.190741
a44	0.0134576	0.0127846	0.0141522	0.018977	0.0340034	0.0415156	0.0510434	0.0485947	0.0554294	0.0705597	0.13071	0.148496	0.17121	0.189066
a38	0.010906	0.0101212	0.0105964	0.0126448	0.0202187	0.0292047	0.0398505	0.0391374	0.0451884	0.0571925	0.121576	0.151495	0.2098	0.242068
a62	0.00908943	0.00753858	0.00607482	0.00664911	0.0113521	0.0232562	0.0378691	0.0406212	0.0490722	0.0652024	0.133967	0.1623	0.214104	0.232904
a61	0.0105933	0.00916722	0.00858569	0.00963936	0.0150418	0.0218309	0.0296756	0.0296019	0.0353486	0.0461254	0.116819	0.159902	0.2309	0.276769
a75	0.0106092	0.00934908	0.00846972	0.00880545	0.0121872	0.0193472	0.0246548	0.0243453	0.0276171	0.0345	0.0849207	0.134396	0.244237	0.356561
a41	0.00799719	0.00734558	0.0064938	0.00731377	0.0114292	0.015429	0.0214727	0.0211769	0.0240952	0.0304326	0.0683049	0.116198	0.24653	0.415782
a76	0.00357871	0.00295331	0.00259409	0.00309195	0.00531394	0.00986218	0.0155768	0.0167092	0.0202038	0.0287105	0.067859	0.120615	0.265292	0.43764
a73	0.0043597	0.00344466	0.00303646	0.00363208	0.00759879	0.0134401	0.0216065	0.0238128	0.031076	0.040858	0.0889685	0.134745	0.255616	0.367806
a2	0.00354649	0.00254997	0.00247875	0.00302346	0.00698713	0.0123652	0.0195392	0.0220852	0.0286822	0.0346975	0.0738732	0.11517	0.245426	0.429575
a57	0.00154897	0.0010847	0.000869864	0.000797272	0.00131129	0.00243423	0.00397019	0.00609054	0.00958908	0.019472	0.0671795	0.127785	0.300787	0.457081
a87	0.000800207	0.000525407	0.000339829	0.00027931	0.000342245	0.000462147	0.000693278	0.00107412	0.00171248	0.00537815	0.0303131	0.0899416	0.304595	0.563543
a23	0.0030871	0.00203636	0.00159602	0.000922763	0.00101631	0.000740058	0.000867917	0.00141471	0.00333661	0.0153538	0.0613775	0.137385	0.283029	0.487837
a5	0.00214701	0.00166224	0.00171506	0.00112853	0.00154697	0.00146687	0.00179211	0.00316546	0.0076317	0.026239	0.0909846	0.171711	0.279926	0.408884
a18	0.00432241	0.00282183	0.00320054	0.003452	0.010128	0.00861269	0.00998254	0.0146018	0.0230628	0.0516153	0.106577	0.156819	0.237892	0.366912
a38	0.00184844	0.00151164	0.00201378	0.00203651	0.00542718	0.00729802	0.00896056	0.0122148	0.0196233	0.045926	0.103849	0.154401	0.255145	0.379745
a41	0.000531437	0.000461189	0.000602812	0.000705074	0.00205657	0.00311584	0.00410832	0.00541386	0.00834324	0.0210556	0.0684076	0.136145	0.286382	0.462671
a14	0.000514779	0.000433702	0.000565731	0.000719137	0.00240302	0.0035505	0.00514064	0.00735111	0.0116506	0.0272787	0.0788507	0.13854	0.274917	0.448084
a73	0.000379294	0.000320541	0.000424645	0.000550486	0.00198154	0.00351773	0.00548946	0.00796036	0.0134036	0.0293683	0.0837217	0.138935	0.271877	0.44207
a44	0.000447203	0.000376122	0.000500859	0.000615829	0.00188909	0.00338902	0.00513674	0.00743115	0.011972	0.0257815	0.0766644	0.131575	0.271607	0.462614
a84	0.00037741	0.000301683	0.000343019	0.000411349	0.00108295	0.00189956	0.00305631	0.00432145	0.00639035	0.0126245	0.0473488	0.0994712	0.266478	0.555894
a57	0.000141288	0.000112629	0.000111935	0.000105509	0.000243828	0.000557042	0.00101417	0.00166667	0.0027337	0.00731523	0.040011	0.0973839	0.293618	0.554985
a87	0.000644027	0.000475626	0.000392718	0.000337442	0.000498188	0.000726133	0.000995013	0.00152373	0.00252673	0.00863998	0.0474745	0.113809	0.302322	0.519635
</S>	0.000638039	0.00042144	0.000356421	0.000329298	0.000606946	0.000835241	0.00116991	0.00191455	0.00349065	0.0142897	0.0589451	0.129525	0.294827	0.492651
