 	il	a	mis	un	appât	sur	le	piège	pour	attraper	les	rats	</S>
a24	0.0117911	0.0106815	0.00985162	0.00972842	0.0105173	0.0196105	0.0343071	0.0590521	0.0761942	0.136884	0.215421	0.186237	0.219724
a98	0.00367806	0.0036738	0.00390215	0.00628134	0.0111912	0.0242167	0.0358223	0.0403358	0.0472269	0.0750748	0.131035	0.210705	0.406857
a25	0.00124962	0.00140811	0.00161349	0.00293411	0.00596126	0.0156615	0.0251268	0.0302888	0.0336885	0.0541349	0.110579	0.250414	0.46694
a38	0.000960468	0.00112348	0.00124889	0.00200464	0.0038067	0.0104428	0.0180298	0.0250015	0.0283798	0.0537291	0.115999	0.249591	0.489682
a62	0.00127566	0.00158868	0.00175222	0.00297798	0.00622724	0.0157887	0.0234646	0.0273498	0.0290231	0.0488493	0.103281	0.248728	0.489693
a41	0.00121685	0.00181064	0.00237856	0.00424216	0.00938159	0.0212883	0.0318214	0.0365566	0.0423541	0.057593	0.108218	0.230702	0.452436
a14	0.000697753	0.000981372	0.00129937	0.00253445	0.00664124	0.0226553	0.0358984	0.0411575	0.0380045	0.0524046	0.0956045	0.215557	0.486564
a35	0.000887871	0.00136875	0.0019407	0.00471574	0.0128582	0.035444	0.045882	0.0420214	0.0341035	0.0405925	0.0782249	0.222847	0.479114
a14	0.000990587	0.00132191	0.00163019	0.00358126	0.00828886	0.0256652	0.0354572	0.0358789	0.0296613	0.0367745	0.0742942	0.218689	0.527767
a73	0.00100572	0.00143372	0.00192858	0.00444136	0.0107412	0.028791	0.0393572	0.0386811	0.0328783	0.0394434	0.0756103	0.224593	0.501095
a44	0.000690413	0.000869111	0.00106252	0.00208597	0.00461276	0.0164011	0.0253481	0.0284807	0.0228438	0.0326179	0.0691579	0.232148	0.563682
a58	0.000608135	0.000672214	0.00080225	0.0013528	0.00261857	0.00843995	0.0138308	0.0179392	0.0165828	0.0311238	0.0730137	0.249853	0.583163
a82	0.000698636	0.000707645	0.000806168	0.00125313	0.00228085	0.00664539	0.0118477	0.0189022	0.0217041	0.0493676	0.113253	0.260466	0.512067
a38	0.0016691	0.00158293	0.00164534	0.00218683	0.00367639	0.00812252	0.0144029	0.0251699	0.0304638	0.0638999	0.130764	0.251163	0.465253
a53	0.00303737	0.00292241	0.00297617	0.00376568	0.00429457	0.00966959	0.0166888	0.0288603	0.0363914	0.083212	0.155774	0.246119	0.406289
a20	0.000937924	0.000950255	0.00114998	0.00186733	0.00303856	0.00898706	0.0174212	0.0280359	0.0310601	0.0558686	0.1032	0.240691	0.506792
a84	0.00287013	0.00228639	0.00246428	0.00357219	0.0041705	0.0139684	0.0295116	0.0436814	0.0460851	0.0868916	0.146304	0.224025	0.394169
a87	0.00468205	0.00506133	0.00591478	0.00892307	0.0102594	0.0169101	0.0271709	0.0397634	0.0460382	0.0687898	0.128868	0.247129	0.39049
</S>	0.0144158	0.011164	0.010501	0.0117959	0.0105736	0.0144713	0.0219828	0.0362659	0.0476989	0.103328	0.194129	0.228686	0.294987
