 	l'	antilope	a	pris	la	fuite	dès	qu'	elle	a	entendu	le	bruit	de	pas	du	chasseur	</S>
a38	0.000621467	0.000552564	0.000552987	0.000780644	0.00121871	0.00267757	0.00243911	0.00547954	0.00689847	0.00890448	0.0142961	0.021511	0.0348176	0.059052	0.0977956	0.176417	0.255125	0.31086
a4	0.000369987	0.000411146	0.00046932	0.000659557	0.00101033	0.00203873	0.0017665	0.00313372	0.00405105	0.00546163	0.00886562	0.0141968	0.0243519	0.0431546	0.0790829	0.166702	0.297729	0.346546
a13	0.000323313	0.000294995	0.000291511	0.000431452	0.000660891	0.00140153	0.00125972	0.00271238	0.00370338	0.00492631	0.0087537	0.0151285	0.0259067	0.0465224	0.08576	0.170094	0.292291	0.339539
a50	0.000408948	0.000405868	0.000511617	0.000874414	0.0014103	0.00298834	0.0025322	0.00430344	0.00569951	0.00720066	0.0100675	0.015245	0.0257185	0.0424564	0.0735734	0.151873	0.294534	0.360197
a88	0.0005213	0.000622336	0.000778903	0.00144271	0.00240684	0.00424522	0.003675	0.00488421	0.00564166	0.00675021	0.00913494	0.0133159	0.0216691	0.0354655	0.0611755	0.137093	0.294208	0.39697
a71	0.000398991	0.000496874	0.000589614	0.00101839	0.0016701	0.00340739	0.00305654	0.00456928	0.00544568	0.00670147	0.00871868	0.0125901	0.0204477	0.0335705	0.0594348	0.134064	0.298863	0.404957
a9	0.00202104	0.00166426	0.00182629	0.00264565	0.00337554	0.00609368	0.00581788	0.00902562	0.0105936	0.0111734	0.0118604	0.0155543	0.0232928	0.0356953	0.0643635	0.131572	0.282296	0.381128
a87	0.0239886	0.0162106	0.0143893	0.0154489	0.0157281	0.020352	0.0176821	0.0231741	0.0268408	0.0232382	0.0210133	0.0237981	0.0304611	0.041647	0.0701864	0.112164	0.214118	0.289559
a23	0.124505	0.0882995	0.0732022	0.0737938	0.0617533	0.0620172	0.0487796	0.0420821	0.0458	0.0361322	0.0226402	0.0174791	0.0209514	0.0268846	0.0377111	0.050527	0.0718917	0.0955503
a87	0.0893332	0.0625635	0.054452	0.0491183	0.0433625	0.0452508	0.0373045	0.0465081	0.0483745	0.0400064	0.023764	0.0180649	0.0243542	0.0382312	0.0529834	0.0796676	0.108922	0.13774
</S>	0.0292655	0.0286881	0.0297985	0.0321031	0.0334113	0.0379864	0.0268404	0.0305237	0.0266309	0.024587	0.0143699	0.0123886	0.0193474	0.0332789	0.0524303	0.107094	0.184464	0.276792
