 	cette	femme	est	en	train	de	verser	les	cendres	dans	la	poubelle	</S>
a44	0.0348611	0.0426522	0.0498703	0.0673337	0.102557	0.106105	0.115575	0.111758	0.105306	0.0666711	0.0546024	0.0607095	0.0819985
a93	0.0282725	0.0313162	0.034416	0.0484602	0.0868621	0.107008	0.123222	0.130059	0.114088	0.0835754	0.06326	0.0644088	0.0850514
a90	0.0298065	0.0318313	0.034935	0.0464297	0.0769248	0.0931481	0.104124	0.112475	0.099067	0.0825002	0.083736	0.0891282	0.115895
a4	0.0230139	0.0255519	0.0269829	0.0377429	0.0652037	0.0833419	0.0989508	0.124614	0.11132	0.0893579	0.0903745	0.0935992	0.129946
a93	0.0180343	0.0203734	0.0226403	0.0304568	0.0484307	0.0608595	0.0751384	0.113979	0.110232	0.1162	0.124935	0.112597	0.146123
a4	0.00934238	0.0115403	0.0152756	0.0240603	0.0460042	0.0685337	0.0878018	0.135444	0.127699	0.121581	0.130976	0.100038	0.121703
a13	0.00646663	0.00811595	0.0111549	0.0160768	0.0274402	0.0419236	0.0544567	0.106222	0.107909	0.123507	0.170102	0.151949	0.174677
a11	0.00323844	0.00317795	0.0040074	0.00565254	0.00934873	0.0180556	0.0298032	0.0525324	0.0486256	0.0627506	0.144682	0.258288	0.359838
a70	0.00206405	0.0022419	0.00307047	0.00468033	0.00877337	0.0166673	0.0239568	0.0466979	0.0455792	0.0593422	0.140739	0.259203	0.386984
a34	0.00107366	0.00133447	0.00209157	0.00325553	0.00614642	0.0113388	0.0166007	0.0340812	0.0335478	0.0526411	0.147273	0.293731	0.396885
a0	0.00137043	0.00165927	0.00252016	0.00406511	0.00807025	0.0150705	0.0215776	0.0388163	0.0334931	0.046121	0.119794	0.286521	0.420921
a75	0.00072293	0.000674705	0.000918771	0.00135257	0.00259096	0.00433112	0.00700021	0.0138821	0.0115024	0.0246638	0.0926599	0.313346	0.526355
a85	0.000447117	0.000529394	0.000806935	0.00130615	0.00239468	0.00383757	0.00555118	0.00913937	0.00793791	0.0181195	0.0812546	0.335878	0.532797
a5	0.00123186	0.00146371	0.00204901	0.00299193	0.00487486	0.00645655	0.00820215	0.0131939	0.0122965	0.0266481	0.0995585	0.352051	0.468982
a37	0.000945608	0.000974843	0.00130615	0.00185253	0.00286312	0.00415439	0.00587068	0.00896078	0.00622471	0.0151589	0.0784793	0.337143	0.536066
a75	0.000792038	0.000761195	0.00106164	0.00141374	0.00225314	0.00314579	0.00436128	0.00759341	0.00566552	0.0196487	0.10361	0.32131	0.528383
a6	0.00138816	0.00162556	0.00251578	0.00354971	0.00517176	0.00595056	0.00755691	0.011359	0.00787964	0.0228822	0.109262	0.312922	0.507937
a37	0.000755644	0.000962548	0.00152858	0.00229233	0.00369365	0.0043846	0.00568776	0.00826823	0.00543263	0.0170593	0.0949051	0.325446	0.529584
a36	0.000465383	0.000562822	0.0010129	0.00163978	0.00307805	0.00377269	0.0054928	0.00951267	0.00662715	0.0281573	0.130392	0.333457	0.475829
a27	0.00196994	0.00218988	0.00355881	0.0057399	0.00966862	0.0148999	0.0249681	0.0341539	0.0250776	0.0592273	0.142363	0.258058	0.418125
a30	0.0423659	0.0266449	0.0260347	0.0303622	0.0433997	0.0655297	0.0719152	0.102741	0.0900491	0.0905754	0.0967711	0.118898	0.194713
a10	0.0463305	0.0311592	0.0265059	0.0286327	0.0319703	0.0456353	0.0622954	0.101487	0.105876	0.147992	0.160651	0.116465	0.0949995
a87	0.0435445	0.0357766	0.0319163	0.0345003	0.0387052	0.0554989	0.0742104	0.106843	0.10796	0.133848	0.147028	0.11167	0.0784989
a97	0.0416065	0.0352525	0.0346054	0.0433755	0.0592118	0.087678	0.112581	0.127101	0.118995	0.100726	0.0920981	0.0799214	0.0668473
a87	0.0440734	0.0354797	0.0344179	0.0383756	0.0450052	0.0628252	0.0783376	0.0888466	0.0850387	0.0910794	0.131449	0.152701	0.112371
a23	0.0422259	0.0382382	0.0406355	0.0459399	0.0574577	0.0733945	0.0874522	0.0909315	0.082463	0.0860534	0.112774	0.129996	0.112439
a87	0.00770589	0.0063365	0.00851177	0.0105939	0.0165829	0.0173853	0.0222355	0.0372882	0.0372542	0.0947827	0.189857	0.260105	0.291361
</S>	0.0105287	0.00949042	0.0115758	0.0137605	0.0201738	0.0219842	0.0223212	0.0340943	0.0327137	0.0762365	0.163946	0.27373	0.309445
