 	le	vin	du	palmier	à	huile	que	j'	ai	bu	hier	m'	a	énivré	</S>
a31	0.0466568	0.0528746	0.0732306	0.0998731	0.109428	0.122652	0.113637	0.103633	0.0823244	0.0682266	0.0404903	0.0275847	0.0222501	0.0193998	0.0177386
a75	0.04325	0.0498309	0.0619361	0.0771034	0.103422	0.123985	0.122325	0.115831	0.0932667	0.07971	0.0555038	0.0307564	0.0174049	0.0130182	0.0126568
a56	0.0191442	0.0225768	0.0314597	0.042941	0.0765071	0.138955	0.158896	0.151877	0.123599	0.0923623	0.0612321	0.0321304	0.0182317	0.0137594	0.016329
a96	0.0133484	0.0154867	0.0204614	0.0251329	0.0491203	0.11978	0.169324	0.161093	0.141005	0.110053	0.0746655	0.0365119	0.0225982	0.0184245	0.0229949
a75	0.0112166	0.013402	0.0178079	0.0209883	0.0375181	0.0953581	0.157178	0.15546	0.145483	0.120547	0.0949958	0.0505285	0.0297719	0.0222751	0.0274704
a85	0.00744712	0.00872243	0.0111275	0.0129224	0.0241797	0.0784777	0.159332	0.154524	0.147905	0.115728	0.0941577	0.0553591	0.0437465	0.035411	0.0509594
a6	0.00723757	0.00840007	0.0109385	0.0122417	0.0207508	0.0704888	0.147386	0.136222	0.119094	0.0896496	0.0767309	0.0539704	0.0718516	0.0809143	0.0941231
a47	0.00518185	0.00622982	0.00852878	0.011293	0.0167752	0.0471224	0.108632	0.108603	0.118975	0.104653	0.102126	0.0683277	0.075818	0.0782429	0.139491
a36	0.00617388	0.00676361	0.00894873	0.0104467	0.0153149	0.0345506	0.0767135	0.079683	0.103076	0.112849	0.124517	0.0732127	0.0672748	0.0713026	0.209172
a2	0.00762918	0.00727347	0.00898024	0.0102175	0.0148292	0.0288891	0.0542055	0.0566133	0.084558	0.110126	0.13362	0.0948162	0.0882042	0.081798	0.21824
a53	0.0179079	0.0156755	0.0155838	0.0144832	0.0173481	0.0304158	0.0532636	0.0638552	0.104888	0.1272	0.128285	0.0808342	0.0821056	0.0880145	0.160139
a15	0.0127572	0.0104656	0.0115845	0.0130958	0.0143059	0.0213289	0.0363297	0.0368573	0.0505499	0.0615514	0.101187	0.0913615	0.13525	0.142276	0.2611
a7	0.00387175	0.00329093	0.00414392	0.00501746	0.00664285	0.0146767	0.0288759	0.0242641	0.0313827	0.0390063	0.0662032	0.0711682	0.118247	0.160987	0.422223
a84	0.00968287	0.00704234	0.00679099	0.00655195	0.00749891	0.0126392	0.0226223	0.0222055	0.0311536	0.0387385	0.0562511	0.0658775	0.111593	0.180848	0.420504
a5	0.0181687	0.0145845	0.0138057	0.0133827	0.0142082	0.0206837	0.0295196	0.0268805	0.0364651	0.0396571	0.0584506	0.0726222	0.114562	0.195202	0.331807
a21	0.00235344	0.00188981	0.0018191	0.00179238	0.00245235	0.00419624	0.00780992	0.00777146	0.0112407	0.0157776	0.0405654	0.0683957	0.178683	0.260011	0.395241
a5	0.000909887	0.000810771	0.000743286	0.000633382	0.00102579	0.00257666	0.00571476	0.0060091	0.00947548	0.0129806	0.0283989	0.0522274	0.143986	0.297174	0.437334
a12	0.000559596	0.000455511	0.000416567	0.000339576	0.000583219	0.00154659	0.00377506	0.00386926	0.00572908	0.0072956	0.0156495	0.0320505	0.108002	0.273923	0.545805
a18	0.000409249	0.000326455	0.000304194	0.000249399	0.000423943	0.00102949	0.00230261	0.002229	0.00350932	0.00446259	0.00902731	0.0240795	0.0921615	0.236679	0.622806
a43	0.0020525	0.0016259	0.00139518	0.0013602	0.00129752	0.00250118	0.00434997	0.00349635	0.00504967	0.00588761	0.0112156	0.0328056	0.10522	0.232467	0.589276
a11	0.00830018	0.00564221	0.00471285	0.00433081	0.00389498	0.00664892	0.0103533	0.00686898	0.00734033	0.007893	0.0163165	0.0390219	0.10981	0.212144	0.556722
a88	0.00382648	0.00255463	0.00220081	0.00218675	0.00217861	0.00421623	0.00688842	0.00464882	0.00563255	0.00579351	0.0113124	0.0284936	0.0911805	0.209495	0.619391
a54	0.000860574	0.000639693	0.000570392	0.000585737	0.000649776	0.00139765	0.00240293	0.00176809	0.0026436	0.00329955	0.00668962	0.0212876	0.085054	0.201196	0.670955
a36	0.000232871	0.000170603	0.000150892	0.000154676	0.000214209	0.000557507	0.00112705	0.00090832	0.00158712	0.00220736	0.00452714	0.0159118	0.0697521	0.173776	0.728723
a2	0.0044619	0.00307395	0.0026815	0.00253052	0.00286535	0.00594095	0.00990323	0.00611561	0.00681141	0.00730035	0.013379	0.0311042	0.0828671	0.203899	0.617066
a10	0.0369722	0.0249028	0.0212061	0.0192008	0.021444	0.0297062	0.0403051	0.0246039	0.0210715	0.0196662	0.0311073	0.0461318	0.0860984	0.195682	0.381902
a87	0.141868	0.0838847	0.0598059	0.0478005	0.0467444	0.0555031	0.0651626	0.0488561	0.0423923	0.0342588	0.0415208	0.0418991	0.0519428	0.0822839	0.156077
a23	0.146723	0.0807185	0.0553672	0.0452103	0.0389192	0.044879	0.0523906	0.0382737	0.0363226	0.0333614	0.0511051	0.0550349	0.0618537	0.0965643	0.163277
a87	0.123123	0.0643476	0.050375	0.0422213	0.0377355	0.0277973	0.0290587	0.0179499	0.0145521	0.0123015	0.0219229	0.0274869	0.0506027	0.128562	0.351964
a97	0.0436602	0.0221046	0.018613	0.0198524	0.0174076	0.017838	0.0244261	0.0179834	0.0182759	0.0175734	0.0196172	0.0252849	0.0529492	0.148545	0.535869
</S>	0.103827	0.0498589	0.0379992	0.0400263	0.0372222	0.0478849	0.0715936	0.0594789	0.0584983	0.050256	0.04164	0.0411228	0.0483243	0.0859909	0.226276
