 	j'	ai	besoin	d'	un	fil	pour	raccommoder	cette	tenue	</S>
a7	0.00116828	0.00102708	0.00152625	0.00317895	0.0090419	0.0189738	0.0457206	0.0744448	0.139523	0.334533	0.370863
a15	0.00361491	0.00324896	0.00357624	0.00610383	0.0117033	0.0161295	0.0276597	0.0559386	0.126742	0.378564	0.366719
a79	0.00600523	0.00498694	0.00482617	0.00666734	0.010735	0.0120624	0.0187372	0.0449712	0.119456	0.398123	0.373429
a25	0.000549568	0.000415454	0.000479107	0.000811151	0.00179758	0.0034099	0.00895479	0.0270451	0.0771531	0.407638	0.471747
a69	0.000694688	0.00047892	0.000459447	0.000689954	0.00138673	0.00220986	0.00584137	0.0197652	0.0596165	0.391964	0.516893
a58	0.00108077	0.000709242	0.000603565	0.000855304	0.00143798	0.00177443	0.0040297	0.0142398	0.050968	0.369359	0.554942
a54	0.0123933	0.00886011	0.00821589	0.00924414	0.0127437	0.011791	0.0120473	0.0323985	0.101222	0.386094	0.40499
a36	0.00544635	0.00291368	0.00232576	0.00266615	0.00352879	0.00320913	0.00412638	0.0148594	0.0690472	0.38523	0.506647
a37	0.00360203	0.0021754	0.00189593	0.00216206	0.00290887	0.00236708	0.00259594	0.0097982	0.0508991	0.391371	0.530225
a54	0.00152393	0.000952442	0.000885058	0.00108114	0.00164998	0.00146769	0.00192666	0.00762467	0.0478093	0.403557	0.531523
a7	0.000201792	0.000129898	0.000144939	0.000206901	0.00042133	0.000606198	0.00131202	0.00808452	0.0459144	0.360595	0.582384
a26	0.00040348	0.000297103	0.000295255	0.000349139	0.000512172	0.00049444	0.000875899	0.00554989	0.038306	0.395721	0.557196
a57	0.00798695	0.0052689	0.00554162	0.00724337	0.00821387	0.00686167	0.00777467	0.0207756	0.0834397	0.400265	0.446629
a3	0.0478623	0.0234228	0.0193286	0.023911	0.0264455	0.023368	0.0227632	0.0451779	0.109856	0.306248	0.351616
a87	0.167202	0.0759196	0.0475845	0.0463505	0.0478806	0.0422964	0.0367709	0.0536442	0.0902436	0.182793	0.209315
a23	0.166666	0.100652	0.0674414	0.0642665	0.0676734	0.0676854	0.0729203	0.0933955	0.0768753	0.107234	0.11519
a99	0.145494	0.074917	0.0423148	0.0353771	0.0335432	0.0306952	0.0508043	0.0566196	0.077606	0.150462	0.302167
a87	0.0655786	0.0330089	0.0236439	0.0248721	0.0369179	0.0454162	0.0760335	0.0727483	0.0952194	0.183124	0.343437
a23	0.0343177	0.017514	0.0102794	0.00932075	0.013657	0.0179885	0.041066	0.06852	0.0990525	0.221139	0.467145
a10	0.0697149	0.0419544	0.0279486	0.0259815	0.0380558	0.0468839	0.0776893	0.0685543	0.079404	0.164958	0.358856
a87	0.03083	0.0161205	0.0126123	0.0150638	0.0233029	0.0286648	0.0565962	0.0731018	0.104285	0.208991	0.430431
</S>	0.0626177	0.0366236	0.0230468	0.0230792	0.0306795	0.0293373	0.0423751	0.0493555	0.0743088	0.185634	0.442942
