 	beatsanyi	presse	les	mamelles	avant	de	faire	têter	l'	enfant	</S>
a92	0.000369683	0.0014202	0.00200233	0.00446681	0.0140797	0.0163324	0.0279611	0.0389289	0.135026	0.272484	0.486929
a37	0.000576899	0.00210899	0.00395996	0.0101679	0.0255292	0.0251935	0.0359893	0.0442856	0.13308	0.267867	0.451241
a66	0.000120419	0.000507386	0.00098671	0.00222626	0.00914765	0.0111712	0.0224971	0.0256977	0.126281	0.289139	0.512226
a57	0.000430099	0.000806143	0.00128409	0.00229706	0.0134409	0.0154384	0.0384534	0.055591	0.178811	0.300649	0.392798
a10	0.00712171	0.00636007	0.00764622	0.0104125	0.0252574	0.0231412	0.0520712	0.0882527	0.207383	0.284027	0.288327
a87	0.0404286	0.0226866	0.0188761	0.0197639	0.0287841	0.0291016	0.0555279	0.12301	0.19977	0.245517	0.216535
a23	0.053528	0.0368272	0.0301329	0.0285799	0.0433582	0.0428727	0.0640517	0.121526	0.169984	0.209877	0.199262
a10	0.0123676	0.0139336	0.0114997	0.0171922	0.0426313	0.0497259	0.0687317	0.129174	0.171209	0.213145	0.27039
a87	0.0169674	0.0155527	0.0147965	0.0265623	0.0514041	0.0449064	0.0529394	0.0718027	0.154139	0.239626	0.311303
a23	0.0120058	0.0118694	0.0117129	0.0215115	0.0423334	0.0350126	0.0443852	0.0704793	0.154853	0.263037	0.3328
a87	0.0100587	0.0121129	0.00847869	0.0159401	0.0364978	0.0348836	0.047884	0.0774385	0.167772	0.252788	0.336145
</S>	0.0114494	0.0124383	0.0117441	0.0242152	0.0428637	0.0329626	0.0418649	0.0546616	0.154161	0.260677	0.352962
