 	la	manière	dont	il	m'	espoinne	est	un	manque	de	respect	</S>
a5	0.00639874	0.00320864	0.00262917	0.00355704	0.0045952	0.00846489	0.0137169	0.0237248	0.0376147	0.112161	0.305539	0.478389
a61	0.00612674	0.00332325	0.00294251	0.00395209	0.00471927	0.00704291	0.0117566	0.0186934	0.0271421	0.0877463	0.320478	0.506077
a62	0.00264442	0.0013759	0.00121397	0.00182814	0.00223481	0.00333813	0.0066065	0.0123568	0.021007	0.0897688	0.360823	0.496802
a88	0.00264623	0.00123707	0.00115951	0.0017659	0.00191478	0.0027559	0.00511473	0.00954894	0.0161309	0.0761665	0.33021	0.551349
a75	0.00203065	0.000979646	0.000949456	0.00142044	0.00143307	0.00189487	0.00311939	0.00657992	0.0115122	0.0649765	0.309505	0.595599
a6	0.00200603	0.00106255	0.0010627	0.00126323	0.00144266	0.00261907	0.00495965	0.00974426	0.0199229	0.103131	0.351683	0.501103
a36	0.00121491	0.000668215	0.000623667	0.000743848	0.000917147	0.00143004	0.00251035	0.00569877	0.011563	0.0690574	0.355254	0.550318
a2	0.0016284	0.000761755	0.000703482	0.00102336	0.0011937	0.00170707	0.00243106	0.00539448	0.0105564	0.0588266	0.318203	0.597571
a57	0.0285825	0.0124788	0.00802866	0.00708863	0.00570684	0.00777793	0.00687631	0.0112609	0.0202888	0.0901028	0.303328	0.49848
a87	0.106593	0.0740169	0.0442144	0.0462723	0.0317391	0.0208593	0.0213518	0.0324281	0.0436436	0.119894	0.218236	0.240752
a23	0.109306	0.0796373	0.061257	0.0510594	0.0331987	0.0162928	0.0389651	0.0786847	0.138117	0.166707	0.126066	0.100708
a87	0.062157	0.0533596	0.0365327	0.0334001	0.0223175	0.01231	0.0276507	0.0469179	0.0822774	0.137858	0.199473	0.285747
</S>	0.00747081	0.00590153	0.00589163	0.00903642	0.00835429	0.0062379	0.0156545	0.0272389	0.0365187	0.0999063	0.282788	0.495001
