 	si	tu	te	lances	dans	les	fétiches	tu	t'	écartes	du	bon	chemin	</S>
a61	0.0379464	0.0424378	0.0647429	0.119827	0.0851102	0.100926	0.0870285	0.0788133	0.0720125	0.0606097	0.060072	0.0601675	0.0582304	0.0720754
a75	0.0451292	0.0432706	0.0595859	0.116086	0.0775066	0.100512	0.0871397	0.0887887	0.100858	0.0747299	0.0549774	0.0417282	0.0473742	0.0623128
a85	0.0448939	0.0500077	0.0678501	0.10647	0.0740641	0.0887646	0.079268	0.0718689	0.0762426	0.0721491	0.0720363	0.0672501	0.0593729	0.0697619
a37	0.0466656	0.051242	0.0647823	0.0889049	0.055337	0.0615131	0.0542812	0.0532477	0.0639178	0.0817876	0.0877537	0.0970775	0.0918329	0.101657
a96	0.0297465	0.0295598	0.047411	0.108693	0.102333	0.122771	0.0978237	0.0729374	0.0649551	0.0621311	0.0598865	0.0447073	0.0611497	0.095895
a75	0.0220149	0.0234888	0.0407717	0.102705	0.0920163	0.11911	0.0972608	0.0803209	0.0725482	0.077099	0.0708802	0.0548769	0.0607357	0.0861724
a85	0.0307359	0.0343254	0.0478456	0.0873527	0.0649828	0.0759731	0.0594352	0.0446081	0.0400676	0.0548916	0.0768606	0.104223	0.124635	0.154064
a6	0.0430914	0.0429906	0.0510851	0.0699119	0.0482091	0.0555043	0.0505394	0.0500674	0.0577153	0.0980532	0.104528	0.111686	0.103979	0.11264
a37	0.0364238	0.0331916	0.0455684	0.0875694	0.0709474	0.0853209	0.0618952	0.0475229	0.0516394	0.0775394	0.0954121	0.0851457	0.0883757	0.133448
a70	0.0271632	0.0243237	0.0321844	0.0737037	0.0764298	0.105962	0.0802428	0.0630202	0.0548236	0.0696439	0.082434	0.0713221	0.0887158	0.150031
a34	0.0146146	0.0138227	0.0177817	0.0398476	0.0517119	0.0843002	0.0753339	0.0704174	0.0634576	0.0866531	0.110026	0.105052	0.107666	0.159316
a56	0.00946887	0.00907586	0.0113785	0.0267274	0.0385149	0.0670499	0.0593312	0.0534837	0.0523446	0.0947332	0.12904	0.132877	0.126419	0.189555
a66	0.00895357	0.00949423	0.0128401	0.0289486	0.0444548	0.0644319	0.0515791	0.0437715	0.0517838	0.10778	0.158973	0.163612	0.118008	0.13537
a38	0.00908377	0.00822397	0.00901888	0.0167778	0.0213398	0.042119	0.0470022	0.0520498	0.0615411	0.107655	0.138878	0.160083	0.134292	0.191937
a56	0.00795133	0.00705097	0.00853378	0.0163562	0.0191379	0.0357157	0.037707	0.0403492	0.0454606	0.0951413	0.129628	0.168516	0.157284	0.231168
a34	0.00766736	0.00773424	0.00938646	0.0170433	0.0313545	0.0520891	0.0487558	0.0421729	0.0513917	0.10206	0.148424	0.175117	0.137747	0.169056
a61	0.00479358	0.0050202	0.00621003	0.0120595	0.0227537	0.0392687	0.0353456	0.0328742	0.0443781	0.0956861	0.133886	0.18829	0.173646	0.205788
a47	0.00430679	0.00464544	0.00572633	0.0111013	0.0194907	0.0357046	0.0350006	0.0326609	0.0414304	0.0833591	0.115461	0.178608	0.19593	0.236575
a62	0.00322316	0.00309389	0.00388263	0.0081592	0.0114746	0.0221657	0.0257713	0.0295794	0.0376353	0.0751123	0.0991782	0.166951	0.22669	0.287084
a83	0.00346871	0.00348374	0.00444273	0.00878673	0.011956	0.0200472	0.0220093	0.0236818	0.0305601	0.0640735	0.0874512	0.161116	0.242843	0.316081
a9	0.00275375	0.00256989	0.00354082	0.0069678	0.00838917	0.0130863	0.0141556	0.0161628	0.0205479	0.0467053	0.0677159	0.13056	0.254671	0.412174
a87	0.00589005	0.0044399	0.00516197	0.00819749	0.0122941	0.0172589	0.0139995	0.0103605	0.0123963	0.0336634	0.0714397	0.140275	0.254894	0.409729
a23	0.0410846	0.0249864	0.0311705	0.035606	0.0374956	0.0390145	0.0301473	0.026413	0.0547705	0.120158	0.145867	0.142087	0.127056	0.144143
a87	0.0186466	0.0093728	0.0125652	0.0150122	0.0144933	0.0180952	0.0152345	0.0215431	0.0527572	0.100073	0.11994	0.153387	0.185949	0.26293
</S>	0.0127306	0.00658563	0.00989191	0.0179876	0.0174011	0.0219937	0.0174664	0.0224007	0.040577	0.0715144	0.087393	0.136785	0.217901	0.319371
