 	hier	soir	les	bandits	ont	ravi	de	l'	argent	à	ces	femmes-ci	</S>
a92	3.48443e-05	2.3594e-05	5.15191e-05	9.95092e-05	0.00039341	0.00115754	0.00369595	0.00846196	0.0110533	0.0187799	0.0355684	0.145077	0.775603
a6	3.03608e-05	2.60019e-05	6.05329e-05	0.000103969	0.000663653	0.00178219	0.00578904	0.0114928	0.0145345	0.027896	0.0594108	0.225412	0.652798
a15	2.57462e-05	1.95526e-05	5.19116e-05	8.95927e-05	0.000478262	0.00119938	0.00393759	0.00859135	0.0107199	0.0191889	0.0433674	0.206262	0.706068
a7	4.65216e-05	2.70241e-05	4.34163e-05	8.38494e-05	0.000374611	0.00106588	0.00374536	0.00919458	0.0123057	0.0205572	0.0460998	0.204402	0.702054
a69	0.000182897	9.7446e-05	0.000140451	0.000253978	0.00076446	0.0018249	0.00518752	0.0117799	0.0143907	0.0198341	0.0433454	0.177724	0.724474
a7	0.00015669	8.6165e-05	0.00012752	0.000157408	0.000745814	0.00174916	0.00554177	0.0127683	0.0174916	0.0244196	0.0463211	0.176704	0.713731
a84	0.000109127	5.51476e-05	9.54408e-05	0.00017445	0.000570879	0.00129844	0.00364275	0.00836812	0.0106181	0.0177428	0.0401125	0.162165	0.755048
a82	0.00170243	0.000877723	0.00143423	0.00267953	0.00593669	0.0100764	0.0198074	0.0294236	0.0281605	0.0462049	0.0867742	0.240677	0.526245
a97	0.0121453	0.00644819	0.00926219	0.0204476	0.0210218	0.0367267	0.048857	0.057878	0.0560471	0.0854777	0.110815	0.220227	0.314647
a99	0.0494063	0.0219057	0.0212899	0.0367716	0.0350289	0.0647329	0.0705489	0.0705039	0.0769166	0.0961965	0.0899976	0.162491	0.20421
a97	0.0226155	0.0089556	0.00836193	0.0129134	0.0163187	0.0312925	0.0435515	0.0451654	0.0550042	0.0736649	0.0834933	0.204521	0.394142
a87	0.0253971	0.0158089	0.018223	0.0248919	0.0419968	0.0674089	0.0804153	0.0781062	0.0906371	0.103893	0.0920295	0.150914	0.210278
a97	0.0205024	0.0150362	0.0205099	0.0313499	0.0513372	0.0649011	0.0742807	0.0748192	0.0894512	0.106756	0.0942225	0.152922	0.203912
a87	0.0138732	0.0117928	0.0180615	0.034318	0.0431341	0.0498327	0.046239	0.0420548	0.0531972	0.0733499	0.0855794	0.187477	0.34109
a82	0.0186546	0.0189998	0.0316285	0.0544738	0.0577834	0.0659235	0.0591648	0.0540662	0.0646897	0.0821626	0.0732334	0.151041	0.268178
</S>	0.0256736	0.0274324	0.0411005	0.0776689	0.0757321	0.0852482	0.0656398	0.0545902	0.062527	0.0742993	0.0651029	0.127677	0.217308
