 	c'	est	l'	ancien	président	qui	nous	a	fait	écrire	des	tracts	</S>
a24	0.0115907	0.0124676	0.0210633	0.0409148	0.0647885	0.105289	0.114888	0.120326	0.160587	0.147411	0.0794229	0.0600123	0.0612389
a0	0.0102206	0.010298	0.0164766	0.0315638	0.0524665	0.0909375	0.103995	0.111787	0.162395	0.171612	0.0985035	0.0654907	0.0742538
a24	0.00960649	0.00935563	0.013302	0.0231714	0.0434299	0.0825291	0.101737	0.114212	0.17144	0.192228	0.113118	0.0590784	0.0667924
a9	0.0121019	0.0112327	0.015581	0.0238843	0.0443631	0.0867911	0.10602	0.12148	0.160096	0.184461	0.112008	0.0547069	0.0672742
a75	0.00602567	0.00536956	0.00831149	0.0143384	0.0319332	0.0843387	0.108581	0.129649	0.174399	0.174593	0.111523	0.0699954	0.0809428
a5	0.0152004	0.0153189	0.0184505	0.0244464	0.0425003	0.0648708	0.0931074	0.0947778	0.120752	0.146531	0.0895002	0.0953497	0.179194
a0	0.0152114	0.0147777	0.0190972	0.0275187	0.0421933	0.0698664	0.107996	0.119903	0.149629	0.193475	0.104852	0.0583121	0.0771684
a75	0.0144945	0.0139162	0.0183792	0.0250865	0.0363106	0.0578195	0.0827479	0.113175	0.146151	0.186343	0.118679	0.076501	0.110397
a37	0.0147468	0.0140284	0.0180947	0.0246774	0.0349126	0.0480534	0.0691125	0.0888714	0.116151	0.148958	0.105517	0.10194	0.214936
a70	0.0152581	0.0143293	0.0188326	0.0259001	0.0368934	0.0513219	0.0678738	0.0920387	0.11995	0.145352	0.116325	0.0995722	0.196353
a62	0.00748646	0.0066392	0.00932204	0.0139446	0.0228234	0.0429741	0.0599802	0.086243	0.118824	0.13153	0.112397	0.122905	0.26493
a96	0.0128347	0.011395	0.0138699	0.0186322	0.0288782	0.0479381	0.0654207	0.089327	0.12229	0.163302	0.13765	0.100494	0.187968
a70	0.0111652	0.0100081	0.0125146	0.0170806	0.0276828	0.0471653	0.0646387	0.0885946	0.120561	0.151889	0.125794	0.109201	0.213705
a62	0.0104111	0.00927785	0.0118815	0.0171624	0.0281728	0.0481998	0.0645964	0.0834805	0.115011	0.142038	0.135353	0.115193	0.219223
a47	0.0054908	0.00503103	0.00687216	0.0101695	0.0186433	0.0423162	0.0628	0.0925952	0.129255	0.134245	0.123922	0.115606	0.253054
a88	0.0067275	0.00619194	0.00820624	0.0118503	0.0225999	0.0465013	0.0651071	0.0840958	0.114576	0.128439	0.122686	0.121595	0.261424
a71	0.00303813	0.00263325	0.00350112	0.00525671	0.0101384	0.0249182	0.0392925	0.0580134	0.0922388	0.105831	0.124194	0.154211	0.376733
a27	0.00141873	0.00122834	0.00173557	0.00297575	0.00610399	0.0191547	0.0327113	0.0519344	0.0824398	0.0750646	0.112504	0.16002	0.452709
a40	0.00191791	0.00169406	0.00227645	0.00387825	0.00643528	0.0172911	0.028237	0.0529739	0.0861095	0.0583121	0.137874	0.226676	0.376325
a75	0.00217026	0.00179117	0.00221879	0.00325001	0.00699005	0.0158449	0.0218847	0.0272116	0.0340197	0.0321428	0.058975	0.18249	0.611011
a37	0.00265753	0.00227514	0.00280447	0.00430186	0.00831041	0.0169867	0.0244405	0.0335238	0.0488098	0.0470878	0.122382	0.221547	0.464872
a93	0.000916631	0.000755473	0.000936874	0.00146064	0.00280065	0.00731078	0.0123547	0.0189774	0.0334906	0.0389483	0.0779338	0.188646	0.615468
a4	0.0013839	0.00115074	0.00138693	0.00206079	0.0036817	0.00819457	0.0131273	0.0212338	0.0348279	0.0436764	0.103687	0.206115	0.559474
a13	0.0014542	0.00124395	0.00146537	0.00205361	0.00352409	0.00820727	0.0138286	0.0238042	0.0429819	0.0573602	0.11402	0.205626	0.524431
a57	0.000416144	0.000348092	0.000416903	0.000623265	0.00108333	0.00329027	0.00638855	0.010625	0.0215497	0.0255175	0.0521393	0.183744	0.693858
a53	0.000550812	0.000472443	0.000591756	0.000975337	0.00147899	0.00363571	0.00592731	0.0114207	0.019043	0.0136377	0.0394842	0.205796	0.696986
a44	0.000175382	0.00014881	0.000186023	0.000303258	0.000563232	0.00189146	0.00388734	0.00788052	0.0142344	0.0180512	0.0593813	0.239004	0.654293
a75	0.000166811	0.000140899	0.000177063	0.000282811	0.00047163	0.00148366	0.00305397	0.0058887	0.0118329	0.0153403	0.0399757	0.206635	0.71455
a36	0.000293169	0.000220189	0.000252541	0.000343874	0.000572546	0.00229881	0.0054034	0.0110359	0.0229408	0.026538	0.0766915	0.255454	0.597956
a27	0.000102505	7.87359e-05	9.54636e-05	0.000145836	0.000210576	0.000661872	0.00125896	0.0022808	0.00398321	0.00376717	0.0102988	0.151865	0.825251
a36	0.00159002	0.00120425	0.00143606	0.00174554	0.00185595	0.00327772	0.00384924	0.00632755	0.00702129	0.00531016	0.0122798	0.152509	0.801593
a37	0.00236144	0.00177683	0.00188732	0.00200406	0.00198905	0.00316875	0.00382451	0.00564963	0.00664192	0.00607146	0.0115734	0.155622	0.797429
a26	0.00198317	0.00153751	0.00156984	0.00151382	0.00162855	0.00280756	0.00344643	0.00512556	0.00640092	0.00578323	0.0134145	0.185165	0.769624
a57	0.0151791	0.0104652	0.0104296	0.0110039	0.00871808	0.00989827	0.0103575	0.0147748	0.0141961	0.0158773	0.0292369	0.189596	0.660267
a87	0.0342047	0.0218637	0.0208559	0.0217289	0.0171189	0.0194334	0.0216521	0.0295861	0.0304937	0.0492898	0.0817232	0.229251	0.422799
a23	0.0877927	0.0539829	0.0567964	0.0622373	0.0433294	0.0416376	0.0452954	0.0677041	0.072703	0.125145	0.113508	0.104106	0.125762
a87	0.0199827	0.0106138	0.0107867	0.0136823	0.0132315	0.0242001	0.0469323	0.0801179	0.118476	0.188944	0.184849	0.143294	0.14489
a23	0.0119801	0.00593095	0.00635784	0.00851661	0.00791	0.015899	0.0342178	0.0633457	0.0897861	0.152475	0.134694	0.206952	0.261934
a87	0.016458	0.00856426	0.00871823	0.00972325	0.0107368	0.0235395	0.0574072	0.0968588	0.144245	0.21967	0.157353	0.123179	0.123547
a23	0.0145441	0.00758351	0.00827854	0.010938	0.00992849	0.0219114	0.0471423	0.071237	0.0841271	0.137655	0.127983	0.202399	0.256273
</S>	0.0171604	0.0101043	0.010821	0.0136972	0.0144924	0.030597	0.0682594	0.0977132	0.123806	0.194804	0.155633	0.133152	0.12976
