 	il	voudrait	partir	à	brazaville	mais	il	n'	a	pas	d'	argent	</S>
a12	0.00394526	0.00274211	0.00412682	0.00888376	0.0352987	0.0955724	0.138778	0.136858	0.136454	0.121595	0.109768	0.104936	0.101042
a75	0.00312396	0.00204953	0.00338503	0.00666534	0.0276468	0.0789857	0.14164	0.144879	0.142731	0.120259	0.106866	0.108662	0.113106
a85	0.00134696	0.000731033	0.00150233	0.00382053	0.0189314	0.0538925	0.105076	0.110044	0.12165	0.118193	0.133657	0.159019	0.172137
a6	0.00090856	0.000534444	0.0016181	0.00385888	0.0140141	0.0465508	0.104681	0.102618	0.110807	0.103929	0.133339	0.173531	0.203611
a37	0.000873736	0.000583318	0.00176078	0.00328779	0.0124327	0.0356094	0.07913	0.0864764	0.112062	0.118773	0.159087	0.185868	0.204055
a90	0.00241488	0.00163778	0.00220538	0.0025334	0.00584016	0.0187159	0.0428587	0.053541	0.0757523	0.0896176	0.161851	0.242397	0.300635
a94	0.00118275	0.000768518	0.00130497	0.00160087	0.00396025	0.0121046	0.0280048	0.0369635	0.0579073	0.0778653	0.168404	0.277722	0.332211
a90	0.00108621	0.000760275	0.00154097	0.0018026	0.0037846	0.0092045	0.0194415	0.0256206	0.040022	0.0551457	0.141802	0.299004	0.400786
a69	0.000996171	0.000656355	0.0015302	0.00205749	0.0051208	0.0121408	0.0235211	0.030421	0.0480164	0.0631128	0.154888	0.29219	0.365349
a58	0.000782483	0.000470845	0.00136745	0.00188213	0.0046817	0.0120485	0.022914	0.026355	0.0385497	0.0487531	0.128173	0.292379	0.421643
a54	0.00370091	0.00265395	0.00513545	0.00388322	0.00619557	0.00924589	0.0118767	0.0154475	0.0261414	0.0457285	0.135655	0.313266	0.42107
a36	0.00102277	0.000716771	0.00184503	0.00180661	0.00333074	0.00652876	0.00922753	0.0117992	0.0197559	0.0319783	0.110355	0.315387	0.486246
a2	0.00613174	0.00392601	0.00826188	0.0053033	0.0061827	0.00731609	0.00781962	0.0115768	0.022352	0.0475952	0.142456	0.317079	0.413999
a57	0.094738	0.0439772	0.0477809	0.0394294	0.0457456	0.0377163	0.0369126	0.0471847	0.0703499	0.0846972	0.114256	0.151289	0.185923
a87	0.352007	0.110151	0.0501733	0.0283191	0.025349	0.0201348	0.0216467	0.0273198	0.0378014	0.0480733	0.0702126	0.0940115	0.114801
a23	0.264198	0.159999	0.0604756	0.0234838	0.017507	0.0134831	0.0160684	0.0233886	0.035125	0.0510683	0.0839307	0.116343	0.13493
a99	0.124675	0.0609695	0.0210861	0.0150872	0.0134763	0.0113222	0.0134739	0.0230851	0.0452956	0.0776567	0.156949	0.205034	0.23189
a87	0.109335	0.0435612	0.0329808	0.0248486	0.0217063	0.0279406	0.0351349	0.0381918	0.0521196	0.0708898	0.125563	0.177881	0.239848
a97	0.0321477	0.022249	0.016044	0.0108134	0.0103308	0.0193152	0.0233381	0.0271532	0.0354604	0.0530373	0.114728	0.230974	0.404409
</S>	0.0545749	0.0392467	0.030867	0.0204096	0.0275982	0.0543316	0.0452403	0.0401112	0.0398402	0.0510678	0.0920833	0.180159	0.32447
