 	après	ma	mort	que	mon	âme	se	repose	dans	la	présence	de	dieu	</S>
a47	0.00164767	0.00157622	0.00172112	0.00349498	0.00531385	0.0154574	0.0225351	0.0884958	0.0863081	0.0616813	0.0757934	0.137877	0.206322	0.291776
a79	0.0022759	0.0023744	0.00275542	0.00646647	0.00948541	0.0232087	0.0326987	0.111935	0.110229	0.0735046	0.0955744	0.14528	0.169923	0.21429
a15	0.00197453	0.00180595	0.00202442	0.00448621	0.00728054	0.0199388	0.0273232	0.102005	0.0994902	0.0641259	0.0816125	0.151429	0.193451	0.243052
a69	0.00217038	0.00206552	0.00224224	0.0048051	0.00716372	0.0168492	0.0223384	0.0819099	0.0846507	0.0553356	0.0774982	0.152787	0.212047	0.278137
a90	0.00238376	0.00196878	0.00206213	0.00413603	0.00657322	0.0164561	0.0210749	0.0892789	0.0873328	0.0527221	0.0694105	0.14547	0.20802	0.293111
a79	0.00156885	0.00137156	0.00146841	0.00341583	0.00510795	0.0146012	0.0202725	0.10033	0.0871926	0.0471333	0.0618953	0.147186	0.209815	0.298641
a7	0.000918102	0.000821871	0.000934902	0.00221713	0.00324951	0.00875917	0.0124904	0.0644997	0.0601907	0.0351596	0.05121	0.134652	0.240385	0.384512
a15	0.00133291	0.00106176	0.00104598	0.0019375	0.00268083	0.00454606	0.00503076	0.0230801	0.0287571	0.0212433	0.0418487	0.13556	0.2688	0.463075
a7	0.00434838	0.00308438	0.00267498	0.00424851	0.00554167	0.00736212	0.00661583	0.0197971	0.0268129	0.0245619	0.0550953	0.148737	0.268619	0.422501
a54	0.00865368	0.00576344	0.00458285	0.00623035	0.00706931	0.0074615	0.00737925	0.0150435	0.0256984	0.0253659	0.0576314	0.152635	0.267679	0.408807
a36	0.00131617	0.000982404	0.000819868	0.00124292	0.00137456	0.00208506	0.00218239	0.0086248	0.0148759	0.0167507	0.0486159	0.158513	0.299633	0.442984
a26	0.00461671	0.0030332	0.0021896	0.00312761	0.00331835	0.00349452	0.00359216	0.00890118	0.0176927	0.0171688	0.0426924	0.13625	0.267026	0.486897
a66	0.083063	0.051331	0.0349568	0.0402817	0.0361314	0.0352426	0.0366892	0.0537802	0.0649026	0.0504856	0.0566306	0.0965486	0.140063	0.219894
a9	0.10757	0.0575549	0.0332225	0.0319268	0.0324156	0.0323089	0.0327731	0.0510159	0.075751	0.0612689	0.0682715	0.101483	0.136082	0.178356
a99	0.143882	0.0746246	0.037751	0.0321601	0.0254383	0.0286021	0.0344844	0.0588149	0.107289	0.0746152	0.0722927	0.0872497	0.100307	0.12249
a87	0.0918278	0.0543537	0.0319122	0.0283625	0.0259634	0.0287178	0.0275124	0.0535656	0.100474	0.06803	0.0764452	0.100857	0.13795	0.174029
a23	0.0645963	0.0453767	0.0313971	0.0330911	0.0315036	0.0420695	0.0447566	0.0745716	0.135514	0.100531	0.0912791	0.0871964	0.0993654	0.118751
a87	0.0332272	0.0176722	0.00837395	0.00733837	0.00536164	0.00960652	0.00862079	0.0180783	0.0457896	0.0535663	0.0904123	0.152094	0.240252	0.309606
</S>	0.0174011	0.00983138	0.00509758	0.00606366	0.00545264	0.0151006	0.0131433	0.0261016	0.0497524	0.0446712	0.067809	0.121181	0.23619	0.382205
