 	j'	ai	rencontré	brusquement	dans	la	rue	un	homme	qui	annonçait	l'	évangile	de	dieu	</S>
a44	0.00190019	0.00174568	0.000930673	0.00264629	0.00746227	0.0139678	0.0185994	0.0218177	0.017926	0.0151994	0.0417867	0.0601453	0.163703	0.176027	0.211949	0.244194
a98	0.001334	0.00124593	0.000592686	0.00203743	0.00713198	0.015088	0.0200929	0.0235171	0.0173874	0.013173	0.0347841	0.0470937	0.139204	0.160006	0.24259	0.274722
a56	0.00242365	0.00228432	0.00125506	0.00373252	0.0101313	0.019228	0.0249358	0.0322328	0.0242274	0.0197058	0.0441691	0.0537195	0.145349	0.155107	0.212898	0.248601
a11	0.00124272	0.00122384	0.000603879	0.00163355	0.00496495	0.00861614	0.0113825	0.0150014	0.0128692	0.00957969	0.0258054	0.0344617	0.0991341	0.171407	0.279729	0.322345
a75	0.000351914	0.00028741	0.000157395	0.000330826	0.0012172	0.00255596	0.00328831	0.0055244	0.00331435	0.00163212	0.00463354	0.00555987	0.0184023	0.102599	0.299924	0.550221
a73	0.00105692	0.0008792	0.000468366	0.00129495	0.00387355	0.00796673	0.0112931	0.016013	0.0135551	0.00986952	0.0254421	0.0299537	0.0847974	0.189122	0.265557	0.338858
a44	0.000551995	0.000373156	0.000183338	0.000471351	0.00165853	0.00409424	0.00565918	0.00960658	0.00592715	0.00336323	0.00963178	0.0116258	0.033193	0.146142	0.310382	0.457137
a98	0.000212138	0.000170984	9.02138e-05	0.000166921	0.000797794	0.00223274	0.00290326	0.00504133	0.00259497	0.00119324	0.00336922	0.00438804	0.013379	0.0973655	0.285564	0.58053
a44	0.000577973	0.000404801	0.000203524	0.000489823	0.00137416	0.0026552	0.00329675	0.00620456	0.00460792	0.00285809	0.00883862	0.0116165	0.0416904	0.151943	0.315044	0.448195
a98	0.000260855	0.000179046	9.60581e-05	0.000201949	0.000846474	0.00267841	0.00425999	0.00837495	0.00516376	0.00277126	0.00888429	0.0115145	0.0294419	0.123453	0.288044	0.51383
a47	0.000874631	0.000619044	0.000344619	0.000749302	0.00203273	0.00403537	0.00554859	0.0103836	0.00838771	0.00570518	0.0163326	0.0200352	0.0639942	0.184724	0.3108	0.365434
a36	0.000527951	0.000346466	0.000221882	0.000359004	0.000868622	0.00191648	0.00302664	0.00635853	0.00540535	0.00348716	0.0111733	0.0165607	0.0602346	0.199295	0.321889	0.36833
a2	0.000789271	0.000531606	0.000309596	0.000443478	0.00117191	0.00237617	0.0033103	0.00596341	0.00394059	0.00253551	0.0053172	0.00796286	0.0275131	0.137715	0.31273	0.487391
a57	0.00860958	0.00509667	0.00289477	0.00185361	0.00474281	0.00627061	0.00643887	0.00879671	0.00581589	0.00304457	0.00618274	0.00780103	0.0273641	0.153668	0.334121	0.4173
a87	0.0249776	0.0197708	0.010416	0.00376447	0.00706567	0.00665231	0.00625312	0.0118656	0.0160567	0.0113868	0.0296237	0.0302281	0.045603	0.215889	0.247964	0.312483
a23	0.0381073	0.0303096	0.0155485	0.00624726	0.0176335	0.0198202	0.0218364	0.0388726	0.0506146	0.0401023	0.0840485	0.057915	0.0494325	0.17412	0.149346	0.206046
a87	0.0307672	0.0211618	0.00948026	0.0032877	0.00766044	0.00908527	0.0102603	0.022209	0.0298292	0.019819	0.0699443	0.0551388	0.0638717	0.201603	0.17981	0.266072
</S>	0.00576956	0.00439364	0.0020501	0.000963211	0.00319728	0.00530354	0.00636252	0.016382	0.0214312	0.0127644	0.0463244	0.0367828	0.057479	0.223923	0.229856	0.327018
