 	de	hautes	herbes	ont	bloqué	la	piste	à	l'	entrée	de	la	forêt	</S>
a4	0.00156504	0.00112981	0.00193691	0.00538989	0.0165846	0.0358591	0.0645176	0.0777045	0.0926298	0.130905	0.137555	0.128209	0.142849	0.163165
a53	0.00100316	0.000695168	0.00121114	0.00220166	0.00644737	0.0132311	0.0273697	0.0438439	0.0697068	0.129521	0.155996	0.163925	0.184064	0.200784
a90	0.000538803	0.000294285	0.000677825	0.00192712	0.00816237	0.0173831	0.0335424	0.0532237	0.0800069	0.138857	0.160044	0.163568	0.168264	0.173511
a56	0.000282035	0.000163769	0.000435107	0.00151705	0.00854635	0.0159065	0.0295147	0.0456709	0.0675329	0.123173	0.161614	0.176089	0.184452	0.185102
a96	0.000167669	0.000104559	0.000310637	0.000897826	0.00429334	0.0071464	0.015238	0.0254793	0.0469967	0.0939931	0.156862	0.203594	0.224582	0.220334
a79	0.000184208	9.87831e-05	0.000275057	0.000654303	0.00237855	0.00388211	0.00797479	0.0144096	0.0317642	0.0649731	0.124004	0.200838	0.264375	0.284189
a7	0.000105779	5.93777e-05	0.000181441	0.000707235	0.0034409	0.00524755	0.00938843	0.0163218	0.03042	0.0574216	0.10935	0.185042	0.267699	0.314615
a69	4.87709e-05	3.21691e-05	7.25617e-05	0.000174358	0.000910423	0.00178116	0.00379286	0.00890217	0.0229863	0.0481499	0.099472	0.189612	0.290553	0.333513
a58	0.000107638	7.29499e-05	0.000168368	0.000426406	0.00181664	0.00302712	0.00529258	0.0100646	0.0208621	0.0416966	0.0910311	0.177656	0.294523	0.353255
a82	8.69586e-05	5.72111e-05	0.000103714	0.000208114	0.00104291	0.00192547	0.00369706	0.00937113	0.0238382	0.0530355	0.109539	0.203753	0.290825	0.302517
a87	0.00381238	0.00295035	0.00150096	0.00115081	0.00393154	0.00798163	0.0178834	0.0384351	0.0666633	0.112096	0.151879	0.191066	0.210872	0.189778
a23	0.323142	0.245962	0.105627	0.0305032	0.0190067	0.0270453	0.0281968	0.0295583	0.0307881	0.027886	0.0293334	0.0300971	0.0336963	0.0391579
a87	0.12049	0.120592	0.0595386	0.019351	0.0206956	0.0215923	0.0262044	0.0302611	0.0409636	0.0533014	0.0955987	0.118007	0.137225	0.13618
</S>	0.0237851	0.0302321	0.0226564	0.00829506	0.0197247	0.0212479	0.0257505	0.0338396	0.042252	0.0610469	0.11592	0.159201	0.193151	0.242899
