 	les	uns	sont	allés	à	la	pêche	et	les	autres	au	village	</S>
a90	0.048878	0.0358587	0.0746467	0.060046	0.0669756	0.0768353	0.0806382	0.072685	0.0624695	0.0614944	0.0634192	0.0999204	0.196133
a32	0.0588984	0.0422718	0.0729247	0.0840191	0.0584066	0.0664869	0.073823	0.0688957	0.0490079	0.0456066	0.0534777	0.105856	0.220326
a76	0.0589398	0.0409434	0.0620862	0.0611962	0.0508195	0.0571723	0.0677697	0.0663999	0.05933	0.0637564	0.0708936	0.117619	0.223074
a73	0.0746717	0.0547108	0.0722742	0.0955582	0.0520801	0.0540433	0.0621802	0.0631529	0.0558924	0.0532519	0.0569356	0.108143	0.197106
a44	0.0183769	0.0135024	0.0311755	0.0458517	0.0368364	0.0431443	0.0555255	0.0608978	0.058166	0.0669065	0.079609	0.15471	0.335299
a58	0.0294667	0.0180557	0.0374636	0.0528318	0.0412018	0.0480297	0.0594336	0.0612933	0.0523661	0.054572	0.06783	0.149517	0.327938
a11	0.0176386	0.0117407	0.0292742	0.0345968	0.0295375	0.0382509	0.0541799	0.057996	0.0570917	0.0646791	0.0783189	0.161086	0.365609
a90	0.0266757	0.0168346	0.0303349	0.0472557	0.0372625	0.0411053	0.0486996	0.0512185	0.0524952	0.0593791	0.0759955	0.160086	0.352658
a57	0.0219047	0.0148704	0.0314565	0.0581025	0.0436841	0.0472156	0.0546141	0.0550013	0.0552309	0.0613736	0.0754434	0.154004	0.327099
a82	0.0143234	0.0107636	0.0261462	0.0307373	0.025088	0.0302189	0.0394632	0.0422008	0.0499909	0.0638988	0.0828249	0.173036	0.411308
a57	0.00899979	0.00858456	0.0194011	0.01318	0.0107512	0.0133698	0.022586	0.0299119	0.0473058	0.0688842	0.0976894	0.197595	0.461741
a53	0.00745087	0.00551462	0.0125335	0.0092519	0.00662867	0.00835243	0.0147077	0.0206293	0.0385712	0.0653691	0.0971233	0.210854	0.503014
a4	0.0275481	0.0128161	0.0219489	0.0462181	0.0298453	0.0289765	0.0310609	0.0351059	0.0443539	0.0645694	0.10105	0.200738	0.355769
a57	0.0120274	0.00838984	0.0132819	0.0305415	0.0253568	0.0273465	0.0322177	0.0367679	0.0472144	0.0677644	0.103051	0.204087	0.391954
a82	0.00692526	0.00474652	0.0124138	0.0164726	0.0142783	0.0188156	0.0295902	0.0357142	0.0501028	0.071578	0.104593	0.215252	0.419518
a87	0.00378007	0.00217061	0.00658992	0.00688147	0.00463418	0.00595382	0.00985593	0.0144215	0.0261607	0.0539369	0.106429	0.248588	0.510598
a23	0.00961749	0.00394319	0.0191259	0.0202145	0.0102827	0.0108771	0.0137372	0.018843	0.0369819	0.0785732	0.121631	0.249417	0.406756
a87	0.0215556	0.00902767	0.0344816	0.0302415	0.0212714	0.0231622	0.0321365	0.0430047	0.0922323	0.144442	0.16237	0.181902	0.204173
</S>	0.00959785	0.00449806	0.0251962	0.0353282	0.0230215	0.0331038	0.0404403	0.0455806	0.0717031	0.111168	0.126749	0.204846	0.268768
