 	les	femmes	sont	en	train	de	lancer	des	cris	de	malheur	parce	que	le	notable	vient	de	mourir	</S>
a15	0.000859709	0.000875554	0.00107317	0.00152506	0.00245005	0.00444733	0.00540695	0.0116832	0.0167029	0.0349929	0.0301409	0.0274668	0.0230824	0.0159	0.0197482	0.0448266	0.0789108	0.17762	0.502288
a7	0.000462399	0.000445641	0.000555989	0.000803145	0.00147336	0.00275957	0.00379429	0.00825692	0.0136187	0.0272744	0.0245085	0.0211015	0.0181204	0.0126761	0.0148444	0.0320433	0.0652415	0.189571	0.562448
a84	0.00163624	0.00140652	0.00131588	0.00126577	0.00211387	0.0036513	0.00498644	0.00885328	0.0172949	0.0365926	0.0307612	0.026025	0.0188953	0.0151741	0.0175722	0.0368161	0.0827852	0.227039	0.465816
a57	0.0224164	0.0183688	0.0173394	0.0191543	0.0229347	0.0345663	0.0317739	0.0371101	0.0342728	0.0598139	0.0512378	0.0397879	0.030229	0.0250386	0.0283827	0.048557	0.0791904	0.156115	0.24371
a87	0.0666381	0.0427747	0.032352	0.0313848	0.0311476	0.0377317	0.0371251	0.0390069	0.0312058	0.04588	0.041486	0.0349775	0.03036	0.0266181	0.0292862	0.0433178	0.0677441	0.127035	0.203928
a23	0.110775	0.0537426	0.0295268	0.0201052	0.0168867	0.0200908	0.0197472	0.0171834	0.0154578	0.0221833	0.0199995	0.0190778	0.0194651	0.0206971	0.0295654	0.0481311	0.0788319	0.161244	0.27729
a3	0.0115522	0.00605507	0.00402673	0.00315701	0.00373995	0.00607539	0.0066589	0.00692115	0.00892308	0.0214004	0.021132	0.0198011	0.0216777	0.0226001	0.0331751	0.0630317	0.112702	0.229734	0.397636
a9	0.0097323	0.0052287	0.00342415	0.00276658	0.00370149	0.00547764	0.00575146	0.00977768	0.0193488	0.0416534	0.0377412	0.0296535	0.0278767	0.022612	0.0253671	0.0347924	0.0643646	0.183136	0.467594
a97	0.0157488	0.0100416	0.00709729	0.00616855	0.00720379	0.0102942	0.00930185	0.0155967	0.0262992	0.0470318	0.0442973	0.0354821	0.0330007	0.0278484	0.0310119	0.037641	0.0594722	0.156668	0.419794
</S>	0.0311782	0.0209541	0.0152613	0.0127055	0.0132791	0.0179916	0.0158966	0.0235898	0.0347852	0.0484706	0.0450078	0.0367564	0.0346136	0.0317552	0.0382755	0.0399179	0.0557771	0.140924	0.342861
