 	ce	qui	fait	le	rythme	dans	la	danse	ikango	c'	est	le	son	doux	et	lourd	produit	en	battant	les	mains	</S>
a98	0.000903934	0.000634154	0.000565318	0.000644001	0.000904431	0.00115688	0.0015505	0.00165476	0.00178049	0.0019979	0.00333608	0.00245089	0.00366576	0.000686155	0.000943496	0.000990299	0.00268568	0.0128013	0.0602857	0.185133	0.317024	0.398205
a79	0.000421871	0.000339701	0.000387658	0.000472872	0.000622825	0.000854499	0.000985246	0.000877261	0.000725524	0.000831419	0.00136072	0.00111892	0.0017435	0.000421847	0.000604963	0.000664441	0.00182407	0.00750605	0.0298837	0.123422	0.303753	0.521179
a7	0.000361838	0.00027046	0.000277096	0.000315639	0.00045765	0.000641256	0.00082921	0.000792017	0.000744063	0.000781699	0.00145724	0.00114449	0.00212441	0.000405339	0.000600656	0.000569742	0.00145007	0.00644311	0.028783	0.122677	0.319026	0.509849
a44	0.00160773	0.0012114	0.00098789	0.000877653	0.000763124	0.00102706	0.00148678	0.00152211	0.00185623	0.00186402	0.00292275	0.00227843	0.00393242	0.00105238	0.00135336	0.00153521	0.00197374	0.00411125	0.0179827	0.092261	0.357408	0.499985
a26	0.0016399	0.00128185	0.00103862	0.000915384	0.000837444	0.0011395	0.00164333	0.00174439	0.00211032	0.0020246	0.00290758	0.00215606	0.00345283	0.00151333	0.00201843	0.00260863	0.0029776	0.00488077	0.0165906	0.0850068	0.360997	0.500515
a57	0.0216892	0.0132732	0.00977597	0.00739448	0.0107918	0.0179764	0.0233616	0.0268716	0.0282095	0.0228836	0.0278325	0.0188809	0.0310909	0.0202495	0.0216683	0.0234152	0.0147562	0.0137002	0.022047	0.0603887	0.205979	0.357764
a3	0.0966391	0.0567716	0.0404871	0.0305111	0.0290404	0.0396151	0.0450291	0.0514228	0.0543877	0.053664	0.0488421	0.036558	0.0394621	0.0340896	0.0241516	0.0315678	0.0258618	0.0188326	0.0224841	0.0386367	0.0796017	0.102344
a97	0.109414	0.0779671	0.0617383	0.0507395	0.0431646	0.0470891	0.0480272	0.0453548	0.0425275	0.0350122	0.0348575	0.0371496	0.037822	0.0366183	0.0252427	0.0361619	0.0267797	0.0178095	0.0222133	0.0395083	0.0616958	0.0631072
a87	0.0976771	0.0703715	0.0558386	0.0401607	0.0296812	0.0325183	0.0356492	0.0317935	0.030317	0.025753	0.0272608	0.0307587	0.0367124	0.033195	0.0266884	0.0397895	0.0359221	0.0307992	0.0385384	0.0587583	0.0940675	0.0977497
a23	0.0781789	0.0540656	0.0430591	0.0304101	0.0229622	0.0269737	0.0290624	0.0253943	0.0238474	0.0197018	0.021307	0.0245756	0.0339609	0.0249025	0.021946	0.0345878	0.0463178	0.0426254	0.0431177	0.0649483	0.130508	0.157548
a99	0.0235022	0.0162304	0.0149676	0.0117725	0.0100215	0.0097618	0.00776545	0.00550797	0.00418449	0.00310017	0.00325884	0.00302179	0.00489177	0.00361443	0.00388963	0.00728082	0.0128521	0.0231054	0.0479101	0.110949	0.250824	0.421588
a87	0.0314853	0.0244762	0.0278559	0.0229172	0.0197896	0.017339	0.0139087	0.00974031	0.00671988	0.00546703	0.00724595	0.00764947	0.0112887	0.00871526	0.00995598	0.021117	0.0366709	0.0450299	0.0623287	0.106212	0.181457	0.32263
</S>	0.0185204	0.0136024	0.0140758	0.0104506	0.00709779	0.00601015	0.00478418	0.00351581	0.00248341	0.00202114	0.00258798	0.00259849	0.00431057	0.00320179	0.00346972	0.00711375	0.0128392	0.0210007	0.0392812	0.0933449	0.238953	0.488737
