 	la	manière	dont	il	a	laissé	cette	affaire	montre	qu'	il	garde	encore	rancune	</S>
a44	0.00182406	0.00264932	0.0051229	0.0161819	0.0468264	0.0971591	0.162102	0.160845	0.104343	0.0944193	0.0779819	0.0638525	0.0486093	0.0462516	0.0718314
a62	0.00133949	0.00198105	0.00351533	0.00939644	0.0276208	0.0730611	0.158389	0.168742	0.105325	0.10119	0.0901368	0.0737796	0.0583811	0.0524476	0.0746951
a24	0.00210223	0.00259392	0.0042969	0.010836	0.0256927	0.0629344	0.132026	0.147345	0.0921628	0.0871259	0.0752105	0.0687262	0.0794437	0.0914011	0.118103
a31	0.0013359	0.00176579	0.00295151	0.00708431	0.0180652	0.0499175	0.128085	0.15494	0.0972862	0.0923571	0.0838993	0.0674956	0.0757856	0.0960902	0.122941
a88	0.00193381	0.00215966	0.00351193	0.00911902	0.0217614	0.047578	0.0971249	0.106899	0.0691456	0.0701271	0.0690296	0.0741649	0.106908	0.149826	0.170712
a9	0.00106102	0.00132588	0.00206428	0.00470354	0.0126801	0.0383612	0.0991459	0.120905	0.0736479	0.0672307	0.0681804	0.0656975	0.099723	0.154988	0.190286
a87	0.00276537	0.0033695	0.00438642	0.00703048	0.0141987	0.0377812	0.120627	0.153722	0.0950645	0.0772859	0.0880113	0.0752886	0.0814478	0.112089	0.126933
a23	0.013297	0.0125183	0.0134596	0.0164238	0.027681	0.0432996	0.0946624	0.120045	0.102405	0.0846141	0.0924301	0.0842035	0.0776621	0.115372	0.101927
a40	0.00479559	0.00503212	0.00617722	0.00762691	0.01524	0.0206891	0.0335788	0.0411879	0.0406837	0.0389338	0.04571	0.0587093	0.134589	0.246094	0.300952
a2	0.00115174	0.0011376	0.00181179	0.00467428	0.0133964	0.0226931	0.0355075	0.0370675	0.0263958	0.0233437	0.0278414	0.0491661	0.106377	0.217212	0.432224
a11	0.000184193	0.000236985	0.000443214	0.00119985	0.00375781	0.00856387	0.016644	0.0177544	0.0129289	0.0123112	0.0141542	0.0279459	0.097699	0.338544	0.447633
a75	0.000304978	0.000329679	0.000494746	0.00105105	0.00284412	0.00634912	0.0144805	0.0158997	0.0126896	0.0129009	0.0155742	0.032318	0.110987	0.321881	0.451895
a6	0.00060293	0.000632442	0.00112177	0.00255885	0.00576025	0.0104844	0.0204761	0.0210098	0.0146119	0.0139569	0.0209908	0.0391902	0.121338	0.294888	0.432378
a85	0.000662611	0.000744682	0.00131798	0.00343647	0.00885329	0.0161549	0.0287087	0.027936	0.0187972	0.0172324	0.0224756	0.0369312	0.118479	0.301756	0.396514
a5	0.00144133	0.00143875	0.00255967	0.00690286	0.0175081	0.0307957	0.0512173	0.0507453	0.0309495	0.0257611	0.0355181	0.0497687	0.117157	0.245425	0.332811
a36	0.000858442	0.000847603	0.00121914	0.00252446	0.00522151	0.00966694	0.0203925	0.0214012	0.0153582	0.0163229	0.020917	0.0322804	0.111668	0.300514	0.440808
a21	0.000253331	0.000239471	0.000369512	0.000929921	0.00257265	0.00631344	0.0164374	0.0177231	0.011255	0.0107646	0.0138598	0.0222585	0.0951783	0.298531	0.503314
a12	0.000781014	0.000685249	0.000985939	0.00205767	0.00440988	0.00844853	0.018951	0.0211207	0.0144897	0.0154097	0.022744	0.0319439	0.100176	0.290735	0.467062
a43	0.000740919	0.000560768	0.000772219	0.00167698	0.00356683	0.00728522	0.017619	0.0211687	0.0146599	0.0150731	0.0215718	0.0276245	0.0960905	0.304093	0.467497
a93	0.00030491	0.000278128	0.000373701	0.000788707	0.00189128	0.00444861	0.0114917	0.0134898	0.00852138	0.00769167	0.0101353	0.0141202	0.0620016	0.26733	0.597133
a70	0.000150545	0.000165237	0.000247399	0.00049566	0.00128113	0.00357625	0.01062	0.011701	0.00648471	0.00520592	0.00705699	0.0104915	0.0476395	0.230325	0.664559
a13	0.000169069	0.000171276	0.000292912	0.000742116	0.0020115	0.00488885	0.0148812	0.0168462	0.0096357	0.00718882	0.00946874	0.0129946	0.0555671	0.221733	0.643409
a38	0.000139526	0.000135005	0.000194385	0.000411513	0.00111418	0.00258048	0.00809423	0.010521	0.0065922	0.0045252	0.00601231	0.00963713	0.0449428	0.219263	0.685837
a62	0.000537227	0.00046133	0.000496144	0.000749734	0.00153306	0.00338256	0.00956751	0.0121176	0.00666072	0.00454446	0.0064616	0.0130175	0.0550031	0.217519	0.667948
a96	0.000166396	0.000184039	0.000293047	0.000611191	0.0014964	0.00284257	0.0068744	0.00846902	0.0056684	0.00398296	0.00506859	0.00716701	0.0319348	0.19105	0.734192
a83	0.000282113	0.000283294	0.000364656	0.000641056	0.00144804	0.00290474	0.00706309	0.00854107	0.00535539	0.00383134	0.00520524	0.0088485	0.0395807	0.205285	0.710366
a44	0.000644576	0.00059573	0.000657276	0.000905136	0.00168296	0.00334186	0.00806103	0.00916549	0.00509799	0.00355589	0.00464194	0.008239	0.0369511	0.186505	0.729955
a26	0.00109937	0.000996858	0.00105875	0.00134945	0.00222794	0.00402796	0.00871376	0.00968981	0.00543035	0.0040481	0.00514888	0.00966583	0.0422971	0.195794	0.708451
a3	0.0057102	0.00420035	0.00363444	0.00489164	0.00705195	0.00943771	0.0149782	0.0161018	0.0096994	0.00746899	0.0104928	0.0214601	0.0620742	0.215	0.607798
a10	0.0662923	0.0295031	0.0165012	0.014363	0.0171928	0.0183751	0.0238929	0.0301831	0.0233712	0.0184192	0.0336923	0.0680011	0.0989428	0.197296	0.343974
a87	0.0816407	0.0446583	0.0258006	0.0169139	0.0200431	0.0198787	0.0329355	0.0519248	0.0556558	0.0513881	0.092121	0.116307	0.107008	0.135999	0.147725
a23	0.047893	0.0324598	0.0214689	0.0148301	0.0199966	0.0237423	0.0508011	0.0775751	0.0868419	0.0788846	0.108383	0.121948	0.107592	0.114615	0.0929677
a87	0.0409604	0.0204238	0.0157498	0.01003	0.0145819	0.0151998	0.0333442	0.0440403	0.0363735	0.0211796	0.0322131	0.0422422	0.0992149	0.247274	0.327172
</S>	0.0186077	0.00989517	0.00953257	0.00825328	0.0129271	0.0144757	0.0287716	0.0356741	0.0305061	0.01687	0.0241949	0.031202	0.0584211	0.225336	0.475332
