 	cette	manière	d'	entasser	le	bois	est	celle	de	celui	qui	fume	le	poisson	</S>
a12	0.09394	0.156499	0.123413	0.108719	0.0458302	0.0396976	0.0335387	0.0291343	0.0268847	0.0313031	0.053487	0.0598184	0.0596919	0.0641519	0.0738915
a43	0.0760477	0.14905	0.133214	0.119333	0.0506473	0.0454904	0.0389785	0.0339858	0.0289822	0.0313425	0.0489116	0.0587616	0.0563553	0.0587449	0.0701554
a31	0.0651478	0.133564	0.127954	0.125924	0.051881	0.0471126	0.039018	0.033842	0.0275352	0.0287938	0.0436062	0.060259	0.0660859	0.0702119	0.0790645
a75	0.0622479	0.124623	0.124371	0.14029	0.0775901	0.0739285	0.0649366	0.0574304	0.0418501	0.0381568	0.0486923	0.0426035	0.0343349	0.0329382	0.0360061
a98	0.0360411	0.0981097	0.0976097	0.104655	0.0533136	0.046811	0.0458724	0.0445264	0.0416819	0.0428378	0.0631956	0.0807777	0.0716907	0.0742208	0.098656
a15	0.0296674	0.0851215	0.0952563	0.121075	0.0544671	0.0440294	0.0437013	0.0396069	0.0368647	0.0413402	0.0557224	0.0702864	0.0757673	0.0863737	0.12072
a7	0.0270153	0.0836819	0.1018	0.139865	0.0607787	0.0508652	0.0495597	0.0443262	0.0417565	0.0442412	0.0505696	0.0646007	0.0695468	0.0693274	0.102066
a90	0.0194102	0.0635882	0.0962012	0.214699	0.0938827	0.0819561	0.0755659	0.0631019	0.0473169	0.0397592	0.0282834	0.0297982	0.035011	0.0427644	0.0686614
a56	0.0104547	0.0382444	0.0620118	0.143887	0.0701249	0.0590445	0.0591501	0.0569255	0.0537766	0.0523115	0.0464112	0.0624418	0.079424	0.0837279	0.122064
a62	0.00766295	0.0354693	0.0652318	0.158129	0.0870308	0.073627	0.0702696	0.0619457	0.050994	0.0475695	0.0463336	0.0606319	0.0662785	0.0692211	0.0996058
a21	0.00896023	0.0356385	0.0570997	0.148907	0.0951379	0.0949557	0.0946155	0.0805548	0.0600187	0.0537673	0.0471516	0.0536952	0.0446589	0.0476924	0.0771468
a12	0.00790268	0.0206804	0.0317519	0.0893079	0.0652592	0.0608122	0.0656009	0.0667598	0.0578861	0.0552572	0.0637475	0.0877977	0.095687	0.0973321	0.134217
a18	0.00700499	0.0251595	0.0379765	0.100413	0.0665037	0.064306	0.0719103	0.070321	0.0595727	0.0602664	0.06363	0.0803195	0.0826012	0.0852968	0.124718
a50	0.00631395	0.0254907	0.0443091	0.0885116	0.0772526	0.0861645	0.110519	0.104039	0.0907119	0.0769047	0.0478983	0.0525444	0.0434527	0.0519838	0.0939037
a62	0.0069874	0.0246008	0.0410022	0.0761944	0.0670033	0.0796706	0.102094	0.102195	0.10007	0.0805486	0.0516957	0.0571714	0.0484267	0.0583484	0.103991
a21	0.00806454	0.0267804	0.0355852	0.0724886	0.0505944	0.0619242	0.0792097	0.0860447	0.0927968	0.0865742	0.0737635	0.0861608	0.0771189	0.0691529	0.0937411
a92	0.00363832	0.0118005	0.0158934	0.0411495	0.0297657	0.0314172	0.0393206	0.0486589	0.0473171	0.0503372	0.0576331	0.0894865	0.121292	0.166886	0.245404
a56	0.0021748	0.00705499	0.0109344	0.0330717	0.0232078	0.0234511	0.0317741	0.0402906	0.0441365	0.0498556	0.0566543	0.0949231	0.132681	0.187465	0.262325
a93	0.00279217	0.0107234	0.0169526	0.0445098	0.0283615	0.0287619	0.0366457	0.0433869	0.0476432	0.0490706	0.0469804	0.0785985	0.129101	0.182665	0.253807
a56	0.00196378	0.00830142	0.0149024	0.0412077	0.0268467	0.0293078	0.038672	0.044936	0.0520404	0.0514878	0.0413131	0.0762586	0.133976	0.179057	0.259729
a34	0.00158138	0.00515103	0.00835713	0.0265038	0.0206349	0.0212363	0.029589	0.0394061	0.0496523	0.054243	0.0481416	0.0897385	0.156844	0.200396	0.248525
a62	0.00136745	0.00479501	0.00778955	0.021861	0.0165788	0.0176366	0.0245032	0.0322646	0.041714	0.0462201	0.0413818	0.0800835	0.149943	0.223817	0.290044
a75	0.00280561	0.00769323	0.0100467	0.0192751	0.0121719	0.0138327	0.0186432	0.0224156	0.0303304	0.0307653	0.0259316	0.0505656	0.123864	0.250436	0.381222
a85	0.000829314	0.00245064	0.00370465	0.011578	0.0055627	0.00491901	0.00721264	0.00855405	0.0118599	0.0142669	0.0163219	0.0531301	0.169707	0.292849	0.397055
a6	0.000580669	0.00143182	0.00216327	0.00740085	0.0037094	0.00338304	0.00499998	0.00571754	0.00804686	0.00926655	0.00947287	0.0363839	0.129607	0.280465	0.497371
a37	0.00067411	0.00177446	0.00238605	0.00856424	0.00521665	0.00432937	0.00632511	0.0069039	0.00949852	0.0115541	0.0118618	0.0418095	0.167431	0.290989	0.430683
a12	0.00122187	0.00208332	0.00294306	0.0090899	0.00535185	0.00505787	0.00629397	0.00616958	0.0086018	0.00996042	0.00655273	0.0235741	0.134957	0.283042	0.495101
a75	0.00100292	0.00223472	0.0028499	0.00558268	0.00498797	0.00475468	0.00650463	0.006866	0.00976597	0.0115933	0.00822443	0.0206405	0.109485	0.278131	0.527376
a85	0.000204902	0.000450871	0.000617572	0.00186287	0.001206	0.00101563	0.00167277	0.002035	0.00324848	0.00437021	0.00435266	0.0175789	0.123341	0.289808	0.548235
a6	0.000167813	0.000285318	0.000406895	0.00122161	0.00092149	0.000647543	0.000947586	0.000949389	0.00152164	0.00222545	0.00263065	0.0128312	0.0945852	0.293015	0.587644
a0	0.000321122	0.000671728	0.000906885	0.00330598	0.00210347	0.00157696	0.00229459	0.00222678	0.00329795	0.00451541	0.0042927	0.0173456	0.111185	0.284627	0.561329
a96	0.0017694	0.00197043	0.00213298	0.00523464	0.00496773	0.00463757	0.00550675	0.0048466	0.00616286	0.00638831	0.00397696	0.0138589	0.133304	0.288927	0.516316
a18	0.0026062	0.00311847	0.00343236	0.00648161	0.00859596	0.00814064	0.0102248	0.00929362	0.0120266	0.0119227	0.00797495	0.019464	0.13982	0.271508	0.485391
a71	0.0200498	0.0183783	0.0176313	0.0254042	0.0303242	0.0294496	0.0318015	0.0297647	0.037948	0.0335656	0.0240401	0.044245	0.156858	0.214448	0.286091
a9	0.0395049	0.0315607	0.026898	0.0417922	0.0420193	0.0405328	0.0405632	0.03595	0.0442151	0.0434706	0.0394632	0.0652379	0.145315	0.169121	0.194356
a10	0.0396576	0.0272572	0.0197987	0.0468725	0.0516082	0.0447855	0.0429901	0.0357943	0.0440032	0.0455406	0.0429902	0.0671925	0.140122	0.162475	0.188912
a87	0.0408513	0.0235921	0.0161049	0.0488833	0.0881322	0.0758857	0.072214	0.0592244	0.0714212	0.075275	0.0692774	0.0620989	0.0916717	0.098706	0.106662
a23	0.0284575	0.0181892	0.0146964	0.0272086	0.0897204	0.087032	0.094291	0.0880638	0.101933	0.106303	0.0905186	0.0570375	0.0599589	0.0653036	0.0712867
a99	0.00606926	0.00275561	0.00246102	0.00606403	0.0239551	0.0194378	0.0195905	0.0140698	0.0152722	0.0220424	0.0395071	0.0702184	0.148827	0.250785	0.358945
a30	0.00333316	0.00224634	0.00249211	0.00581644	0.0198604	0.015781	0.014193	0.0100635	0.0111933	0.0172935	0.0349548	0.0707375	0.151826	0.257572	0.382636
</S>	0.00191636	0.00153174	0.00146589	0.00301048	0.00935135	0.00712069	0.00639253	0.00491589	0.00622773	0.0102324	0.0187081	0.0557229	0.151954	0.290697	0.430752
