 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
a53	0.0609168	0.0542505	0.0532596	0.0627041	0.0644709	0.0506899	0.0537692	0.0473943	0.0644751	0.131908	0.356161
a69	0.0519784	0.0617568	0.0684782	0.08871	0.0838981	0.0560963	0.0465682	0.0427563	0.0565907	0.122937	0.32023
a58	0.0776024	0.104039	0.109001	0.112682	0.0972588	0.0688906	0.0626615	0.0540832	0.0610519	0.0942485	0.15848
a53	0.0312104	0.046629	0.0546881	0.0681541	0.0661572	0.0595302	0.0625956	0.0619875	0.083182	0.134284	0.331582
a15	0.0282026	0.039178	0.0426727	0.048469	0.0507685	0.0502168	0.0542513	0.0541466	0.0753171	0.147965	0.408812
a90	0.0240292	0.0351457	0.0403754	0.0567663	0.0729086	0.0725673	0.073492	0.0693839	0.0932713	0.158959	0.303101
a32	0.0204951	0.0299989	0.0364282	0.0515269	0.0678791	0.0772872	0.0825957	0.0730502	0.0959253	0.156029	0.308785
a98	0.0352494	0.0440635	0.0466286	0.0472836	0.0483547	0.0479872	0.0522275	0.0465421	0.0650105	0.135243	0.43141
a73	0.0165605	0.0226533	0.0273506	0.0383045	0.0506889	0.0584748	0.0636062	0.0562424	0.0776137	0.144854	0.443651
a58	0.0178076	0.022216	0.0260067	0.0344115	0.0489222	0.0627973	0.0684081	0.0511491	0.0708337	0.145605	0.451843
a75	0.00558701	0.00725812	0.00917687	0.0134468	0.0206586	0.0372235	0.0488506	0.0417014	0.0744661	0.168082	0.573549
a41	0.0174717	0.0230312	0.0290201	0.0424303	0.0634461	0.0785507	0.0781557	0.0609208	0.0782751	0.142262	0.386436
a12	0.0115359	0.0159548	0.0219102	0.0325618	0.0481104	0.0597751	0.0629181	0.0505825	0.0704239	0.153447	0.472781
a66	0.0179281	0.02373	0.0294897	0.0371082	0.0442048	0.0549761	0.0599209	0.0546982	0.0739053	0.142758	0.461281
a82	0.00525561	0.00612733	0.0074612	0.0115188	0.0143956	0.0246349	0.0332108	0.0334178	0.0586	0.13401	0.671368
a38	0.00363921	0.00410197	0.00503038	0.00918123	0.0135215	0.0274628	0.0388269	0.0388249	0.0707661	0.158229	0.630416
a61	0.00608902	0.00610898	0.00724485	0.0121726	0.0198577	0.0382052	0.0494726	0.0429216	0.0708613	0.139506	0.60756
a75	0.0125156	0.012271	0.0137805	0.0184036	0.0239948	0.0367188	0.0454497	0.0388386	0.05928	0.120629	0.618118
a98	0.0149997	0.0179164	0.0232854	0.0312995	0.0392327	0.0516115	0.0569666	0.0465186	0.0650498	0.133605	0.519515
a73	0.0111665	0.0136661	0.016955	0.0249724	0.037154	0.0469871	0.0474612	0.0375981	0.0603141	0.161056	0.542669
a69	0.0119648	0.0145058	0.0162553	0.0212893	0.0318047	0.0424899	0.042557	0.0325444	0.0530369	0.149898	0.583654
a84	0.00746148	0.00980008	0.0144027	0.0231419	0.034582	0.0444268	0.0477645	0.0355943	0.0537201	0.128891	0.600216
a87	0.0102568	0.0103143	0.00971099	0.0112782	0.0162062	0.0272383	0.0349754	0.0342086	0.0671778	0.169681	0.608952
</S>	0.0218787	0.0171468	0.0119017	0.00998124	0.0119	0.0147299	0.0217931	0.0272487	0.0736187	0.198625	0.591177
