 	les	femmes	le	quittent	parce	qu'	il	est	fainéant	</S>
a75	0.0398048	0.0512635	0.0674695	0.123253	0.197586	0.171563	0.134042	0.07432	0.0708823	0.0698169
a79	0.0410391	0.0560946	0.0750603	0.0944439	0.117494	0.103137	0.0916045	0.0699066	0.103383	0.247837
a90	0.0436337	0.0641525	0.0770526	0.0841045	0.106759	0.0992553	0.0897936	0.0815268	0.122607	0.231116
a15	0.0204771	0.0390494	0.0618433	0.0905261	0.134327	0.141008	0.129907	0.0789506	0.124984	0.178928
a6	0.0288623	0.0323054	0.0357036	0.0494361	0.06376	0.0852356	0.0962993	0.0931149	0.19152	0.323763
a37	0.0457497	0.0525135	0.0674057	0.0764671	0.108031	0.11827	0.101928	0.0782804	0.109998	0.241356
a26	0.0256324	0.0365109	0.0488638	0.0732454	0.104574	0.121638	0.122383	0.0977393	0.133384	0.23603
a11	0.00809649	0.0138456	0.026026	0.0561724	0.106872	0.133134	0.173332	0.153674	0.163238	0.165609
a62	0.00799169	0.0130174	0.0254446	0.0509431	0.107541	0.130186	0.170074	0.134104	0.165157	0.195541
a75	0.0183591	0.0290372	0.042298	0.0546112	0.114238	0.130057	0.1603	0.144032	0.150409	0.15666
a25	0.0181351	0.0246483	0.0377652	0.0467835	0.0669806	0.0681455	0.0713271	0.0720054	0.139499	0.45471
a98	0.027792	0.0387474	0.047057	0.0532312	0.0632233	0.0729575	0.0805523	0.096077	0.163921	0.356441
a92	0.0204921	0.0258257	0.0320117	0.0386571	0.053893	0.066724	0.0869345	0.100318	0.18642	0.388724
a37	0.0187753	0.0249828	0.0392912	0.0465548	0.0663052	0.0787917	0.0982544	0.107256	0.162205	0.357583
a21	0.0106782	0.0161037	0.0255922	0.0361922	0.0591856	0.0674275	0.0904884	0.123393	0.211163	0.359776
a44	0.0158176	0.0190211	0.0265013	0.0327403	0.0482215	0.0565568	0.0893984	0.127312	0.235915	0.348516
a70	0.00457549	0.00707468	0.0134368	0.0183266	0.0286737	0.0316425	0.0475778	0.0887368	0.258485	0.50147
a90	0.00103897	0.00154266	0.00320555	0.00584847	0.0105692	0.0116678	0.0184336	0.0452835	0.285771	0.616639
a70	0.00164374	0.00300537	0.00805624	0.0151699	0.0262855	0.0289814	0.0447298	0.0683955	0.229703	0.57403
a4	0.00106655	0.00163595	0.003416	0.0069265	0.0146323	0.0167871	0.028652	0.0607465	0.25773	0.608408
a57	0.000729469	0.00110372	0.00259374	0.00667078	0.0143258	0.0154373	0.0236346	0.0453643	0.214329	0.675811
a3	0.000211869	0.000245573	0.000478569	0.00152943	0.0036811	0.00413602	0.0072592	0.0227573	0.21971	0.739991
a87	0.000972233	0.000494961	0.000529987	0.00109984	0.00341042	0.00541898	0.0144791	0.061917	0.25882	0.652857
a23	0.00894888	0.00447566	0.00377206	0.00820377	0.0283242	0.0410099	0.0959452	0.217485	0.278279	0.313556
a87	0.00486757	0.00219394	0.00194384	0.00518707	0.0205136	0.0319142	0.0703844	0.177004	0.287586	0.398406
a23	0.00387978	0.00227872	0.00255037	0.00611157	0.0227007	0.0281852	0.0606238	0.133015	0.285782	0.454873
a99	0.0069108	0.00332666	0.00342165	0.00704374	0.0250982	0.0374452	0.0810073	0.146834	0.276222	0.41269
a87	0.00198564	0.00121982	0.00127015	0.00240456	0.00755209	0.0116134	0.0279399	0.0798553	0.287856	0.578303
</S>	0.00813407	0.00467751	0.00447858	0.00693588	0.0178273	0.0236316	0.046911	0.0837094	0.257418	0.546277
