 	son	ami	l'	a	frappé	mais	sa	riposte	était	trop	fougueuse	</S>
a96	0.00129877	0.00121162	0.00127614	0.00211266	0.00500496	0.0113636	0.01489	0.0153822	0.0560496	0.0655937	0.294112	0.531704
a62	0.00240132	0.00217392	0.00220544	0.00322096	0.00602437	0.010605	0.0145265	0.0113487	0.0371121	0.047701	0.257188	0.605492
a61	0.00214307	0.00210398	0.00242835	0.00408992	0.00831866	0.0157665	0.01914	0.0171663	0.0474565	0.0541391	0.251729	0.575518
a21	0.0014103	0.00139034	0.00151825	0.00259095	0.00542515	0.0111924	0.01312	0.0123107	0.0418604	0.0492121	0.252218	0.607751
a12	0.00146762	0.00143019	0.00137104	0.00215168	0.00406116	0.00827164	0.00895891	0.00848807	0.035539	0.0443295	0.267886	0.616046
a18	0.00162401	0.00152087	0.00147617	0.00226073	0.00443381	0.00839988	0.00950393	0.0082545	0.0278343	0.0352364	0.221664	0.677792
a54	0.00872604	0.00730125	0.0076632	0.0093689	0.01507	0.0192429	0.0211744	0.015442	0.0271927	0.0362953	0.225266	0.607257
a98	0.00113955	0.00109813	0.00135695	0.00220644	0.00509666	0.00649811	0.00468476	0.00343798	0.00966043	0.0133952	0.152747	0.798679
a15	0.00207185	0.00180652	0.00223005	0.00368838	0.0104873	0.0155398	0.00909599	0.00668539	0.0197953	0.0255643	0.157312	0.745723
a36	0.00204188	0.00175653	0.0021751	0.00347303	0.0101257	0.0125572	0.00810885	0.00531438	0.0135398	0.0190368	0.162839	0.759032
a2	0.0131692	0.0129199	0.013539	0.0138259	0.0150896	0.0140589	0.0170941	0.0118089	0.0256206	0.0373921	0.212772	0.61271
a57	0.0326996	0.0229546	0.0178769	0.0165154	0.0194919	0.0232651	0.0254247	0.0244932	0.0449087	0.0753324	0.288301	0.408737
a87	0.143804	0.0627769	0.0330778	0.0222317	0.0335271	0.0462638	0.0518588	0.0476397	0.072905	0.0796007	0.158809	0.247505
a23	0.157081	0.0753527	0.0394373	0.0251407	0.0409867	0.0625208	0.0831446	0.0555562	0.102849	0.0812168	0.114027	0.162688
a87	0.0451412	0.0268976	0.0187517	0.0193868	0.0474819	0.0585891	0.0451266	0.0231309	0.0567478	0.0665739	0.170987	0.421185
</S>	0.0545189	0.0356968	0.0297277	0.0275254	0.0434227	0.0333188	0.0270104	0.0160614	0.0289509	0.0361183	0.124165	0.543484
