 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
a24	0.00861691	0.00476982	0.00380642	0.00276158	0.00282951	0.00517185	0.00684196	0.0125263	0.041576	0.207802	0.703297
a62	0.0126234	0.00631703	0.0045142	0.00286822	0.00247357	0.00364331	0.00466648	0.00976705	0.0369773	0.201898	0.714251
a24	0.0186808	0.00875438	0.00631603	0.00440764	0.00379983	0.00524433	0.00636189	0.0159381	0.0425794	0.18669	0.701227
a94	0.0101086	0.00485598	0.0033155	0.00192953	0.00146589	0.00237841	0.00352573	0.0113624	0.0367361	0.203336	0.720986
a98	0.0112519	0.00504252	0.00354025	0.00213872	0.00195421	0.00359604	0.00457276	0.0112334	0.0380131	0.217676	0.700981
a66	0.00512298	0.00295721	0.002492	0.00181023	0.00194818	0.00372988	0.00502357	0.011713	0.0431137	0.205463	0.716627
a25	0.0057617	0.00282741	0.00207798	0.00131532	0.00136825	0.00281846	0.00520464	0.0144109	0.0460388	0.222951	0.695226
a87	0.0067183	0.00310037	0.0024452	0.00174088	0.00189162	0.0033108	0.00475012	0.0100392	0.0353775	0.188413	0.742213
a97	0.00789543	0.00294069	0.00230605	0.0014849	0.00150668	0.00231264	0.00462484	0.0242183	0.0768295	0.257225	0.618656
a99	0.0116211	0.00397882	0.00325745	0.0021237	0.00210578	0.00265597	0.00537135	0.0318483	0.0876765	0.235092	0.614269
a87	0.0146443	0.00522633	0.00460614	0.00330395	0.00314299	0.0046356	0.00851351	0.0378205	0.0986978	0.250102	0.569307
</S>	0.029387	0.00963206	0.00827535	0.00526479	0.00559808	0.00878143	0.0137201	0.0309077	0.0763074	0.215541	0.596585
