 	qui	est	ce	qui	a	arraché	le	safoutier	qui	était	là	</S>
a23	0.231219	0.128505	0.0691484	0.0587473	0.0450468	0.0477317	0.0554611	0.0581134	0.0649908	0.0645081	0.0796727	0.0968563
a97	0.214251	0.133274	0.0769904	0.0663798	0.0507265	0.0548174	0.0585057	0.0570876	0.0646185	0.0592342	0.0711894	0.0929261
a87	0.205708	0.121598	0.077166	0.0751836	0.0582643	0.0486692	0.0491409	0.0518478	0.0567543	0.0617713	0.08143	0.112466
a23	0.205162	0.142926	0.0917123	0.0797449	0.0553698	0.0503781	0.0498765	0.0460911	0.049251	0.0514698	0.0718093	0.106209
a97	0.182092	0.124689	0.0860604	0.0777365	0.0595025	0.0587496	0.0605513	0.0591403	0.0639627	0.0581557	0.0715541	0.0978049
a87	0.205988	0.126511	0.0902912	0.0880842	0.0665463	0.0486281	0.0433283	0.0453785	0.0460162	0.0519021	0.0751474	0.112179
a23	0.233121	0.149191	0.0982951	0.0876453	0.0641398	0.0499078	0.0446745	0.0429366	0.0418624	0.0437783	0.0596373	0.0848104
a97	0.185468	0.118317	0.0818373	0.0779906	0.0654173	0.0583303	0.0536937	0.054334	0.0569481	0.0564418	0.0767526	0.11447
a87	0.221114	0.123944	0.0872631	0.0852491	0.0661206	0.0487205	0.041983	0.0449837	0.0448077	0.0503932	0.0738813	0.11154
</S>	0.21602	0.13602	0.0952249	0.0861582	0.0645601	0.0516166	0.0465911	0.0452054	0.0448185	0.0475786	0.0674615	0.0987453
