 	il	n'	y	a	plus	de	forêts	dans	le	secteur	de	tombo	à	cause	des	feux	de	brousse	</S>
a85	0.0953446	0.0830012	0.0837904	0.0910698	0.0705098	0.0583449	0.0507327	0.0546622	0.0708735	0.0754422	0.0486136	0.0264775	0.0251455	0.0363022	0.0320659	0.0259608	0.0198606	0.0233514	0.0284513
a5	0.0445242	0.0517082	0.0619816	0.0736445	0.0565626	0.0484588	0.0474151	0.0533978	0.0670293	0.0793121	0.0700288	0.0414543	0.0393827	0.0526386	0.0479662	0.0351598	0.0341926	0.0413544	0.0537882
a36	0.041832	0.0496635	0.0593549	0.0751092	0.0707523	0.0623154	0.0658172	0.0743018	0.0901129	0.0995954	0.0754891	0.0414799	0.0331358	0.0330321	0.0269229	0.0193268	0.0216282	0.0278842	0.0322463
a56	0.0166184	0.0253445	0.0324469	0.0527048	0.0716398	0.0788668	0.0915516	0.103864	0.112645	0.101248	0.0605757	0.0370868	0.0331607	0.0347096	0.0324478	0.0262628	0.0262312	0.0289129	0.0336822
a96	0.0140906	0.0188626	0.0219806	0.0366233	0.0597298	0.0691574	0.0901247	0.112144	0.124109	0.117147	0.0714433	0.0404071	0.0321934	0.0321031	0.0297124	0.0246425	0.029566	0.0354942	0.0404691
a93	0.0107176	0.0128874	0.0129139	0.0195452	0.039001	0.0513192	0.0785701	0.110283	0.129573	0.12966	0.0877125	0.0506061	0.0376508	0.0363252	0.0332049	0.0279511	0.036069	0.0446888	0.0513217
a4	0.0108296	0.0124926	0.0123504	0.0178489	0.0351524	0.0479843	0.0766521	0.107526	0.124496	0.13087	0.102269	0.0647858	0.0443563	0.0381185	0.0311284	0.0251462	0.0320525	0.0405131	0.0454275
a57	0.00864323	0.00958695	0.00858878	0.0119193	0.0218583	0.0309317	0.054188	0.080541	0.0950714	0.125515	0.118019	0.0893681	0.0594252	0.0485369	0.0388227	0.0298272	0.0433572	0.0583767	0.0674232
a3	0.00749281	0.00926601	0.00706122	0.0105038	0.0207227	0.0394029	0.0645883	0.105929	0.125566	0.191953	0.150614	0.0915278	0.05138	0.032496	0.0198303	0.0119906	0.0141366	0.0202906	0.0252486
a87	0.0118753	0.0134939	0.0132323	0.0162659	0.0265539	0.0406774	0.0668665	0.0869925	0.0945969	0.143842	0.129221	0.104531	0.0562523	0.046842	0.0400085	0.0313009	0.0196644	0.0250105	0.0327727
a40	0.0262163	0.0249326	0.0274245	0.0313384	0.0449672	0.0546326	0.06839	0.0722838	0.0800454	0.10476	0.0887865	0.0724453	0.0501976	0.0543749	0.0546365	0.0533159	0.0222777	0.0273708	0.0416042
a47	0.0112467	0.0112947	0.0126187	0.0154811	0.0188232	0.0219853	0.0304634	0.0342298	0.0371948	0.068232	0.0561523	0.0530365	0.0567279	0.0697469	0.0609584	0.0596537	0.0583869	0.106533	0.217235
a37	0.00463817	0.00529543	0.00603373	0.00963514	0.0190079	0.0248358	0.0454825	0.0502936	0.0470516	0.0671624	0.0893623	0.0878592	0.0715906	0.0687437	0.0495929	0.039621	0.0431654	0.0941058	0.176523
a21	0.00337149	0.0035288	0.00354956	0.00545192	0.0113244	0.0174136	0.0324585	0.0404108	0.0383901	0.0525286	0.0662847	0.0773998	0.0693044	0.0674989	0.0500775	0.0322708	0.0636364	0.145263	0.219837
a85	0.00259092	0.00264855	0.00265541	0.00373918	0.00736133	0.00988026	0.0172042	0.0252869	0.0292256	0.0387143	0.0502016	0.0514834	0.0558669	0.0696508	0.0691584	0.0544479	0.110862	0.185158	0.213865
a47	0.00132887	0.00155921	0.00153277	0.00229015	0.00440887	0.00643725	0.0126743	0.0181603	0.0184995	0.0256483	0.0445809	0.0520399	0.0558449	0.0669917	0.0676507	0.0522177	0.109064	0.196099	0.262971
a36	0.00146003	0.00174325	0.0015905	0.00205067	0.00417519	0.00637327	0.0155951	0.0221459	0.0183742	0.023812	0.0441107	0.0637352	0.067805	0.0733479	0.0795759	0.0636315	0.104365	0.176505	0.229604
a25	0.0030609	0.00348744	0.00321819	0.00420483	0.00771784	0.0118204	0.0260569	0.0384293	0.032188	0.0485789	0.0755475	0.098276	0.076114	0.0608766	0.0569632	0.0429625	0.0705902	0.144566	0.195341
a69	0.00224105	0.00230368	0.00215433	0.00266131	0.00453051	0.00624764	0.0135239	0.0198779	0.0179905	0.0266692	0.0416312	0.0589789	0.0554798	0.0560953	0.0605205	0.0475753	0.106042	0.208991	0.266486
a58	0.00169099	0.00152071	0.00136833	0.00157618	0.00231549	0.00283736	0.00547019	0.00755027	0.00751726	0.01418	0.0260139	0.0447898	0.0444852	0.0454197	0.05243	0.046375	0.131153	0.251371	0.311935
a40	0.00390783	0.0035286	0.00282487	0.00272365	0.00329303	0.00431642	0.00656462	0.00881481	0.00752346	0.0119179	0.0149626	0.0220329	0.0221449	0.0244152	0.0352706	0.0390336	0.131211	0.294359	0.361155
a54	0.000948032	0.000732878	0.000648403	0.000637133	0.000834513	0.000888708	0.00143643	0.0017537	0.00162808	0.00352669	0.00718796	0.0154701	0.0178658	0.0212609	0.0327303	0.0355543	0.163355	0.312193	0.381348
a47	0.000433681	0.000385418	0.000364459	0.000381527	0.000520198	0.000576323	0.000994978	0.00124421	0.00122547	0.00306826	0.0069427	0.0146884	0.0163512	0.0202844	0.031548	0.0364428	0.143011	0.29689	0.424647
a36	0.00043124	0.000392107	0.000295165	0.000290708	0.000400516	0.000503582	0.000898294	0.0012476	0.00110255	0.00235969	0.005475	0.0122934	0.0132439	0.01624	0.0261746	0.0301518	0.133464	0.307032	0.448004
a2	0.00303034	0.00255943	0.00184311	0.00158519	0.001803	0.00236455	0.0030617	0.0040535	0.00328601	0.00503363	0.00673648	0.0137375	0.0123166	0.0124805	0.0197551	0.0245551	0.121625	0.324668	0.435506
a57	0.0303539	0.023283	0.0186229	0.0160073	0.0170767	0.0214934	0.0224018	0.0261565	0.020403	0.0186683	0.0205795	0.0310027	0.0311612	0.0326062	0.0436239	0.0567624	0.132665	0.210504	0.226628
a87	0.0538253	0.0376029	0.0365889	0.0301221	0.0284132	0.0311535	0.0307679	0.0327571	0.0261868	0.0280468	0.0291938	0.0401807	0.0427488	0.0461536	0.0519196	0.0600749	0.0970427	0.137208	0.160013
a23	0.0769289	0.0564821	0.0565448	0.0444457	0.0377067	0.0394055	0.0450638	0.0469157	0.0318655	0.0495793	0.0434072	0.0511108	0.0518555	0.0414625	0.0361222	0.0339192	0.0574194	0.0843285	0.115437
a50	0.00902235	0.00630035	0.00630925	0.00466919	0.00369443	0.00349392	0.00416633	0.00409793	0.00275223	0.00484847	0.00521551	0.00855042	0.021137	0.0344859	0.0527421	0.0640855	0.17611	0.250116	0.338203
a83	0.00182491	0.0013906	0.00145173	0.00162005	0.00235713	0.00256005	0.00306406	0.00283416	0.00210321	0.004867	0.00984274	0.0174243	0.0309721	0.0502107	0.0609977	0.067202	0.15464	0.266739	0.317899
a71	0.000968256	0.000654437	0.000620694	0.000726533	0.00129645	0.00155869	0.00246882	0.00253541	0.00204214	0.00449485	0.00901024	0.017627	0.0239474	0.034646	0.0486231	0.0560094	0.152748	0.29486	0.345163
a50	0.000870834	0.000638455	0.000549156	0.000685966	0.0013581	0.00182589	0.00331713	0.00374739	0.00307057	0.00623558	0.0107795	0.019129	0.0216496	0.0264841	0.0338336	0.0358598	0.124843	0.316267	0.388855
a88	0.00097852	0.000687516	0.000612323	0.000747984	0.00131903	0.00152657	0.00255482	0.00315926	0.00315651	0.00775908	0.0165507	0.0286579	0.0344152	0.0503155	0.0730122	0.0876672	0.173156	0.257962	0.255762
a71	0.000458755	0.000374223	0.000358931	0.000477469	0.000806982	0.000964363	0.00159958	0.00220488	0.00244759	0.00547313	0.0112812	0.019888	0.0242081	0.0387721	0.0578848	0.0652378	0.158535	0.296763	0.312264
a11	0.00120124	0.0010339	0.00092273	0.00118593	0.00199274	0.00286012	0.00421654	0.00562504	0.0056299	0.00940069	0.0157599	0.0286095	0.0282985	0.0327428	0.0405793	0.0422406	0.126282	0.303779	0.34764
a21	0.00137032	0.00110636	0.00100404	0.00119538	0.00180383	0.00258456	0.00380837	0.00479772	0.00428045	0.00637328	0.0109602	0.0210544	0.0218845	0.0260288	0.0346442	0.0367032	0.134246	0.32302	0.363134
a12	0.000138939	0.000122012	0.000128527	0.000179878	0.000320012	0.00040082	0.000638334	0.000807328	0.000833199	0.00209723	0.00569896	0.0127926	0.0167953	0.0313728	0.0550061	0.0633688	0.163377	0.308894	0.337028
a18	0.000314516	0.000280152	0.000298958	0.000424468	0.000750361	0.000882966	0.00131721	0.00161171	0.00159539	0.00325517	0.00827755	0.0186489	0.0202868	0.0302927	0.0489885	0.0531688	0.151843	0.313751	0.344012
a4	0.00057831	0.000516127	0.000501523	0.000572948	0.000861525	0.00114628	0.00182616	0.00229763	0.00183516	0.00253258	0.00417719	0.00906068	0.00907849	0.0104527	0.0166485	0.0188025	0.122696	0.367553	0.428863
a70	0.000459625	0.0004172	0.00040739	0.000477764	0.000804943	0.00117402	0.00202455	0.00252079	0.00182921	0.00268898	0.00453831	0.0106452	0.0119398	0.013088	0.020013	0.0188926	0.129224	0.365555	0.413299
a83	0.000429328	0.000428989	0.000391002	0.000465309	0.000728571	0.000952188	0.0015424	0.00215187	0.00182378	0.00334769	0.00521175	0.0105642	0.0120869	0.0146003	0.0227498	0.0238575	0.146921	0.359509	0.392239
a71	0.000354422	0.000347789	0.000293594	0.000349815	0.000583389	0.000800072	0.00134876	0.00181569	0.00139917	0.00209043	0.00340855	0.00733757	0.00839194	0.0103997	0.0180873	0.0190824	0.137136	0.373869	0.412905
a9	0.00152926	0.00126851	0.00108329	0.00106047	0.00148615	0.00198157	0.00308712	0.00361368	0.00233926	0.00277563	0.00395318	0.00795702	0.00886623	0.0103229	0.0178985	0.0230763	0.127418	0.36691	0.413373
a87	0.0171166	0.0118581	0.00962826	0.00865785	0.00998248	0.011249	0.0129867	0.0132694	0.00827788	0.00983034	0.0123551	0.0178923	0.021138	0.0240117	0.0321991	0.043224	0.145393	0.285641	0.30529
a23	0.0737528	0.0546751	0.0504697	0.0394701	0.0336404	0.033925	0.0360225	0.040364	0.029951	0.0305998	0.0245781	0.0272744	0.0287968	0.0301095	0.0327566	0.0380566	0.0952306	0.149275	0.151052
a38	0.0110759	0.00951425	0.00942966	0.00685304	0.00559259	0.00571489	0.00781501	0.0088078	0.0049165	0.0094016	0.00940868	0.0184759	0.0278124	0.0313811	0.0522627	0.0592904	0.198994	0.260782	0.262472
</S>	0.0073209	0.00569895	0.00528599	0.00405516	0.00397231	0.00428489	0.00725972	0.0088187	0.0063929	0.0135839	0.014808	0.0208597	0.0295958	0.0318086	0.0437685	0.0469255	0.197283	0.266097	0.282181
