 	le	chien	a	volé	un	morceau	de	viande	dans	la	cuisine	</S>
a69	0.000331863	0.000480828	0.00064438	0.00118961	0.00309153	0.00618322	0.0104734	0.0213514	0.0536097	0.133111	0.252499	0.517034
a32	0.000225865	0.000330068	0.000444114	0.000761441	0.00225968	0.00527372	0.00929261	0.019461	0.0487326	0.129222	0.259466	0.524531
a54	0.000312912	0.000410326	0.000560545	0.00091034	0.00311673	0.00807359	0.0143303	0.0290534	0.065782	0.154637	0.273279	0.449534
a7	0.000759573	0.000871819	0.00103066	0.00125271	0.00333577	0.0075176	0.0122823	0.0253753	0.0572006	0.13697	0.261934	0.491469
a54	0.0013226	0.00133089	0.00150071	0.00149765	0.00346245	0.00704298	0.011145	0.02267	0.050834	0.133031	0.27827	0.487893
a0	0.00180479	0.00183425	0.00201238	0.00203064	0.00432927	0.00865162	0.013849	0.0265016	0.0538726	0.128288	0.259552	0.497275
a54	0.000672675	0.000693912	0.000828215	0.00104377	0.00268986	0.00603192	0.00961548	0.0200288	0.0455109	0.123076	0.277455	0.512354
a20	0.00444895	0.00415165	0.00439874	0.00487404	0.00861759	0.0144618	0.0190846	0.0328939	0.0603153	0.131106	0.251987	0.463661
a7	0.00104169	0.00109042	0.00122829	0.00193383	0.00410545	0.0079872	0.0126143	0.0266783	0.0585279	0.136953	0.271407	0.476433
a57	0.000509936	0.000625719	0.000782875	0.00135396	0.00379497	0.0082811	0.0124547	0.0232924	0.0521476	0.135112	0.276438	0.485207
a82	0.00746506	0.00651319	0.00723686	0.00748761	0.0147845	0.0223941	0.0278029	0.0464419	0.0827606	0.151524	0.254625	0.370964
a87	0.123502	0.0607849	0.0456212	0.0302208	0.0346261	0.0421484	0.0475167	0.0655183	0.0882206	0.115377	0.149121	0.197343
a23	0.282492	0.153128	0.0908256	0.0437532	0.0389654	0.0409513	0.0418564	0.0479259	0.0505227	0.055824	0.0669984	0.0867571
a87	0.16128	0.0931129	0.0575814	0.0365126	0.0364965	0.0430528	0.058422	0.0795404	0.0910803	0.0997501	0.105339	0.137832
</S>	0.0351466	0.0253995	0.0210328	0.0203135	0.023164	0.0311179	0.0494355	0.0786388	0.115556	0.147786	0.176985	0.275425
