 	son	père	l'	a	réprimandé	car	il	prend	ses	études	à	la	blague	</S>
a85	0.00327532	0.00521175	0.00935212	0.0174487	0.0177041	0.0427454	0.047816	0.0765149	0.106323	0.10555	0.106945	0.122076	0.141836	0.197202
a98	0.00314819	0.00471773	0.00820878	0.0154054	0.0150983	0.031384	0.0357771	0.0584157	0.0927728	0.0928544	0.0938018	0.126269	0.168281	0.253866
a85	0.00514298	0.00775925	0.0125551	0.0213723	0.0225744	0.0382665	0.0444483	0.0641901	0.103556	0.10001	0.080795	0.099014	0.15506	0.245256
a6	0.00245118	0.00381521	0.00642144	0.0111173	0.0116763	0.0221116	0.0279009	0.045033	0.0828218	0.0890395	0.0823716	0.121366	0.186887	0.306987
a36	0.00293766	0.00472908	0.00766449	0.0121932	0.0145899	0.0285889	0.0384845	0.0604101	0.10457	0.115968	0.100993	0.122663	0.161011	0.225197
a5	0.0044209	0.00589935	0.00794327	0.0109288	0.0107538	0.0156223	0.023977	0.0402879	0.0711667	0.0801219	0.0760943	0.120962	0.201984	0.329837
a36	0.00192905	0.0031479	0.00510255	0.00840143	0.00822058	0.0133003	0.0232468	0.0429698	0.0847866	0.0909675	0.0854622	0.136031	0.20593	0.290505
a25	0.00127352	0.00169798	0.00266774	0.0036463	0.00361167	0.00455155	0.00759683	0.0146747	0.03639	0.053372	0.0619755	0.140826	0.263782	0.403934
a92	0.00254819	0.00256224	0.00336358	0.00450441	0.00575562	0.00589208	0.00953952	0.0165916	0.0355695	0.0553482	0.0681637	0.15137	0.257465	0.381326
a79	0.000491692	0.000692608	0.00100401	0.00147184	0.00222949	0.00332078	0.00613719	0.0131161	0.0337164	0.0511589	0.0717609	0.17064	0.267404	0.376856
a15	0.000159491	0.000209696	0.000297363	0.000485325	0.000693655	0.00128196	0.00291087	0.00644047	0.0215746	0.0338857	0.046614	0.136562	0.275118	0.473767
a7	0.000146694	0.000203254	0.000332506	0.000567912	0.000817912	0.00126418	0.00261684	0.00527337	0.0172202	0.0296341	0.0453011	0.146204	0.286354	0.464063
a44	0.00039198	0.000434887	0.000530422	0.000655111	0.000891242	0.00135764	0.0026508	0.00502297	0.0152275	0.0280541	0.0427123	0.139115	0.284835	0.478121
a26	0.000716902	0.000722687	0.000784948	0.000817788	0.000653736	0.0013187	0.00256033	0.00422653	0.0128316	0.0228379	0.0382404	0.125495	0.301475	0.487319
a57	0.00431761	0.0029495	0.00342822	0.00358967	0.00366508	0.00593332	0.00908094	0.0122762	0.0288613	0.0444344	0.0582173	0.131894	0.26697	0.424382
a87	0.026493	0.0133401	0.0129513	0.0127321	0.0127697	0.0212302	0.0346187	0.0485628	0.10181	0.139817	0.122847	0.12438	0.142568	0.18588
a23	0.0598789	0.0221126	0.0194131	0.0175902	0.0202296	0.0457662	0.0827427	0.0919328	0.160186	0.169667	0.108056	0.0698043	0.0578802	0.074741
a18	0.0217535	0.00821701	0.00580043	0.00345562	0.00333634	0.00841192	0.0208028	0.0221928	0.045733	0.0988688	0.140541	0.191045	0.180172	0.24967
a43	0.0145062	0.00636733	0.00633009	0.00706881	0.00891301	0.0164962	0.0245658	0.0245873	0.0418977	0.0848733	0.11223	0.171293	0.195874	0.284998
</S>	0.0022059	0.00115787	0.00132202	0.0017353	0.00242619	0.00494148	0.00863084	0.0095674	0.0194756	0.0451587	0.0792412	0.176714	0.253124	0.394299
