 	c'	est	l'	oncle	d'	adoua	qui	a	érigé	les	murs	de	cette	maison	en	terre	battue	</S>
a5	0.00924257	0.00803907	0.00703499	0.0110495	0.0176278	0.0190051	0.0423262	0.0777181	0.082118	0.130818	0.175023	0.116424	0.0739606	0.0511522	0.0401046	0.0412308	0.0462834	0.0508415
a21	0.00967675	0.00860571	0.0077956	0.0104299	0.0158161	0.0216217	0.0368274	0.0713584	0.0707961	0.0954454	0.14054	0.0881991	0.0766994	0.061622	0.0604616	0.0622966	0.0744482	0.0873604
a12	0.00779298	0.00620737	0.0050885	0.00582786	0.00891148	0.0139432	0.0268829	0.046652	0.0421676	0.0545977	0.113285	0.0838017	0.114171	0.112647	0.0846001	0.0809462	0.0925224	0.0999559
a96	0.00575878	0.00480668	0.00419322	0.00443204	0.00710334	0.0106589	0.0168145	0.0266373	0.0248759	0.0308162	0.0743086	0.0625663	0.111384	0.136886	0.122527	0.116467	0.121352	0.118411
a90	0.00628322	0.00522757	0.00433081	0.00440648	0.00677204	0.0110593	0.0174379	0.02518	0.0224624	0.0276957	0.0647734	0.0636133	0.0826854	0.101521	0.121903	0.133309	0.154833	0.146506
a92	0.00406821	0.00339844	0.00241715	0.00204172	0.00269087	0.00380211	0.00659318	0.010329	0.00904622	0.0114641	0.0297322	0.0393167	0.0720876	0.111848	0.16403	0.174395	0.184557	0.168182
a21	0.00381075	0.00299644	0.00232862	0.00182664	0.00243527	0.00399067	0.00515322	0.00585397	0.0046318	0.00635011	0.017376	0.0253331	0.0420707	0.0627576	0.124697	0.177832	0.269043	0.241513
a85	0.00384366	0.003147	0.00260282	0.00179107	0.0024645	0.00389886	0.00349528	0.00417986	0.00378706	0.00568517	0.0160098	0.0225958	0.0402855	0.0767279	0.144279	0.189385	0.246537	0.229286
a6	0.00345498	0.0024393	0.001799	0.000965096	0.00117071	0.00148392	0.00154699	0.00188363	0.00118028	0.00166443	0.00710769	0.0123058	0.0238696	0.0482563	0.114045	0.180543	0.289655	0.30663
a36	0.00281085	0.00210328	0.00153085	0.00102956	0.0010262	0.00152052	0.00129642	0.00141496	0.00105329	0.00222514	0.00654905	0.0105128	0.0159136	0.028152	0.0702827	0.131122	0.325931	0.395526
a44	0.00860979	0.0067251	0.00539717	0.00358524	0.00398785	0.00515497	0.00338693	0.0022936	0.00203678	0.00415325	0.00703681	0.0104072	0.0151782	0.0257248	0.0659999	0.135822	0.321512	0.372988
a15	0.00669763	0.00494091	0.00402737	0.0027476	0.00332332	0.00353929	0.00360525	0.00289792	0.00231037	0.00435792	0.00724324	0.00940363	0.0153351	0.0273954	0.066932	0.142153	0.315191	0.377899
a7	0.00516017	0.00394393	0.00307791	0.0023831	0.00296856	0.00295504	0.00207606	0.002185	0.00213529	0.0059917	0.0116579	0.0157164	0.0208512	0.0439608	0.092213	0.155776	0.277609	0.349339
a84	0.00921169	0.00705724	0.00617858	0.00496064	0.00634475	0.00491766	0.00316945	0.00346501	0.00376104	0.00770348	0.0131839	0.0186426	0.025855	0.0558295	0.091385	0.151603	0.259216	0.327515
a87	0.0336767	0.0265333	0.0264465	0.0217141	0.0291738	0.0282771	0.0142504	0.0166319	0.0247586	0.0584561	0.0760411	0.0786472	0.0604098	0.0652152	0.084476	0.0976089	0.122958	0.134725
a23	0.230645	0.170515	0.13994	0.0970836	0.0961691	0.033347	0.015167	0.0255089	0.031275	0.0501152	0.0315063	0.0199452	0.00965537	0.00897902	0.00871842	0.00864384	0.0100316	0.0127541
a87	0.165559	0.102683	0.0654359	0.0338801	0.0376471	0.00750701	0.00751185	0.0148528	0.0131687	0.0228749	0.0194284	0.018253	0.0170805	0.0371173	0.0725787	0.103352	0.12834	0.132729
</S>	0.0431251	0.028693	0.0164426	0.00694295	0.0103596	0.00212134	0.00265152	0.00640629	0.00608496	0.0179259	0.0160295	0.0151544	0.0185629	0.0494937	0.0998155	0.167489	0.230766	0.261936
