 	le	ruisseau	vouma	me	fait	peur	car	il	est	plein	de	fougue	</S>
a94	0.0262328	0.0278395	0.0349998	0.0459506	0.0692835	0.1363	0.123549	0.1297	0.105305	0.0831551	0.0583494	0.0665571	0.0927778
a54	0.010656	0.00952177	0.014162	0.0218278	0.0391019	0.0926597	0.125394	0.140028	0.126376	0.101567	0.0757432	0.0934521	0.14951
a92	0.0248067	0.0229656	0.0279245	0.0301054	0.036126	0.0647654	0.0759122	0.086172	0.0876845	0.0906063	0.092014	0.129978	0.23094
a37	0.0278322	0.025709	0.0306141	0.034981	0.0467646	0.0877715	0.0989463	0.101029	0.0915206	0.087311	0.0868603	0.112878	0.167783
a26	0.00944161	0.00877261	0.0124508	0.0173059	0.0278685	0.0614665	0.0832916	0.102313	0.106701	0.105052	0.103745	0.137639	0.223953
a11	0.00667411	0.00483316	0.00667194	0.0089455	0.0180469	0.0415132	0.079513	0.0948754	0.113936	0.119921	0.116478	0.143121	0.245471
a75	0.0045732	0.0034484	0.00487921	0.0070945	0.0135625	0.0282413	0.0545314	0.0699834	0.0938319	0.109866	0.125859	0.164749	0.31938
a25	0.0079931	0.00727251	0.0117072	0.0147772	0.0211484	0.0422476	0.0634229	0.0908603	0.102733	0.107855	0.114161	0.158547	0.257275
a92	0.00574801	0.00523647	0.00916367	0.0121001	0.0175328	0.0368408	0.0546324	0.0810337	0.1042	0.125929	0.146894	0.177483	0.223207
a37	0.010612	0.00971217	0.0138676	0.0166046	0.0248779	0.0498146	0.0682886	0.0951908	0.107468	0.117931	0.127444	0.152339	0.20585
a61	0.0018436	0.0017402	0.00327162	0.00568369	0.0122771	0.0285007	0.0409953	0.0602644	0.0797099	0.108886	0.151277	0.212292	0.293258
a47	0.00176785	0.00159292	0.00303477	0.00566718	0.0124603	0.0267568	0.0389267	0.0533758	0.0684299	0.0967721	0.145109	0.235317	0.31079
a83	0.00130016	0.00118602	0.00270808	0.00537857	0.0120114	0.0257566	0.0354979	0.043507	0.0587367	0.0888658	0.151307	0.247172	0.326572
a11	0.000442681	0.000352153	0.000666067	0.00114478	0.00324754	0.00898433	0.0139966	0.018944	0.033069	0.0599926	0.125677	0.258017	0.475466
a70	0.000306019	0.000227413	0.000406569	0.000603205	0.00171658	0.00454498	0.00748313	0.0104961	0.0210024	0.0426114	0.103326	0.235576	0.571701
a90	0.000233255	0.000198334	0.000425234	0.000745505	0.00218997	0.00582702	0.00919079	0.0123026	0.0225607	0.0435539	0.104624	0.247398	0.55075
a98	0.000262406	0.000254703	0.000607861	0.00111301	0.00297571	0.00720807	0.0106953	0.0147719	0.0251609	0.0463	0.107036	0.251726	0.531888
a47	0.00117873	0.00105319	0.00255609	0.00410806	0.0075153	0.0150154	0.019673	0.0252465	0.0359878	0.0580712	0.121302	0.25153	0.456763
a36	0.00210356	0.00174575	0.0036133	0.00448968	0.00648906	0.0120759	0.0169324	0.0255612	0.0450171	0.0752509	0.140963	0.255751	0.410007
a26	0.00245974	0.00138058	0.001781	0.00141033	0.00203511	0.00322896	0.00610557	0.0104841	0.025509	0.0568941	0.135955	0.243782	0.508974
a57	0.0139031	0.0086676	0.00934685	0.00756851	0.00901318	0.00848717	0.0155741	0.0241372	0.0449972	0.0796247	0.139588	0.219969	0.419123
a10	0.071721	0.0337607	0.0224053	0.016326	0.0144227	0.0141639	0.0213324	0.0266827	0.0387437	0.0678716	0.120522	0.204248	0.3478
a87	0.130695	0.0471381	0.020971	0.0146272	0.0137658	0.0219583	0.0297393	0.0327343	0.044126	0.0788037	0.144821	0.182582	0.238038
a23	0.120094	0.0499472	0.0281418	0.0245563	0.0283273	0.0435675	0.0463547	0.0445363	0.0544026	0.0825266	0.134968	0.155714	0.186864
a99	0.0341204	0.0161698	0.0169623	0.0120566	0.010648	0.0128712	0.0130639	0.0164747	0.027025	0.0587812	0.157596	0.240538	0.383693
a97	0.0348506	0.0178769	0.0198567	0.0159741	0.014684	0.0171529	0.0156753	0.0175981	0.0260457	0.0502847	0.135335	0.234626	0.40004
a84	0.0353164	0.0163098	0.0217816	0.0191652	0.0180695	0.0201391	0.016532	0.0145025	0.0190942	0.0362652	0.103486	0.213007	0.46633
</S>	0.0966105	0.0371891	0.0379291	0.0310848	0.0266688	0.0294866	0.0257168	0.0223624	0.0260344	0.0433217	0.107109	0.184841	0.331646
