 	sa	co-épouse	la	traitait	tout	le	temps	de	stérile	</S>
a75	0.00306837	0.0022715	0.00274175	0.0106243	0.0224753	0.0656881	0.0584285	0.110452	0.2671	0.457151
a25	0.00232169	0.0017994	0.00359804	0.00704472	0.0109382	0.0309877	0.034157	0.0738798	0.213077	0.622196
a90	0.00136239	0.00132129	0.00288429	0.00659436	0.0103715	0.0299813	0.0272907	0.0616663	0.205563	0.652965
a98	0.000782501	0.000751421	0.00210017	0.00618183	0.0102002	0.0315198	0.0316377	0.064768	0.195663	0.656395
a92	0.0027005	0.00244222	0.0054294	0.0125304	0.0187527	0.0455244	0.0420891	0.0769781	0.198483	0.59507
a21	0.0030121	0.00295722	0.00610289	0.0188376	0.028912	0.0618639	0.0614538	0.105498	0.232792	0.478571
a34	0.00264379	0.00237134	0.00480394	0.0133458	0.0219073	0.0435525	0.0466592	0.0890421	0.234531	0.541143
a62	0.00110497	0.000993436	0.00220639	0.00590523	0.00999309	0.0270107	0.0261872	0.0575189	0.196259	0.672821
a93	0.00150481	0.00132987	0.0025507	0.00656814	0.011339	0.0314948	0.0298404	0.0620869	0.20758	0.645705
a96	0.00129844	0.00129952	0.0023401	0.00690831	0.0130659	0.0346638	0.0324562	0.0704943	0.22432	0.613153
a83	0.00114427	0.00109806	0.00193412	0.00604946	0.0125414	0.0346593	0.0315781	0.0635266	0.202519	0.644949
a54	0.000611801	0.000559622	0.00089017	0.00336335	0.00689473	0.0217989	0.0214177	0.0520968	0.197235	0.695132
a7	0.000378786	0.000360997	0.000741636	0.00224926	0.00412857	0.0141402	0.0147886	0.0444984	0.192683	0.726031
a26	0.000432993	0.000392569	0.000553108	0.00209681	0.00337412	0.012469	0.0124066	0.039295	0.175039	0.75394
a82	0.00524972	0.00280951	0.00250834	0.00543019	0.00710278	0.0208085	0.0230643	0.0721115	0.231068	0.629847
a97	0.0254956	0.00968798	0.00732332	0.00939468	0.013702	0.0356443	0.0578179	0.124372	0.266296	0.450266
a10	0.0568448	0.0183433	0.0109923	0.0157535	0.0284292	0.0546225	0.0771238	0.125946	0.224025	0.387919
a87	0.0715351	0.0250568	0.0163727	0.0250484	0.0414312	0.060553	0.0685582	0.101839	0.195363	0.394244
a23	0.0594341	0.0241025	0.0203942	0.032247	0.0518311	0.0688044	0.0733878	0.0989721	0.181204	0.389623
a99	0.0327958	0.0127457	0.0123034	0.0157603	0.0238063	0.0519967	0.0575673	0.0857007	0.180309	0.527015
a97	0.023969	0.0101412	0.0141353	0.0179807	0.0233313	0.0475664	0.0603053	0.0917684	0.189437	0.521366
</S>	0.0202018	0.0087368	0.0112472	0.0149635	0.0191251	0.0361658	0.0472202	0.0794248	0.179187	0.583727
