 	l'	esondo	est	un	fruit	rouge	avec	des	pepins	noirs	</S>
a10	0.020135	0.030077	0.0379132	0.0970566	0.132902	0.155813	0.178172	0.145934	0.109822	0.0301094	0.0620663
a90	0.0319808	0.0401144	0.0363678	0.0689631	0.090515	0.105916	0.149483	0.130418	0.12405	0.0676086	0.154583
a25	0.0213473	0.0163401	0.0240892	0.0545512	0.0795165	0.0966287	0.131203	0.128065	0.119509	0.113563	0.215187
a69	0.0132926	0.0205028	0.0338082	0.0779445	0.0983892	0.114636	0.136783	0.139559	0.135036	0.0839147	0.146134
a84	0.0106529	0.0141063	0.0225027	0.0578838	0.0893183	0.114103	0.155417	0.157784	0.139184	0.0852763	0.153772
a57	0.00764328	0.0104299	0.0183889	0.05049	0.0928717	0.105755	0.176054	0.175567	0.145815	0.0727524	0.144233
a83	0.0369289	0.0286355	0.0268306	0.0539665	0.0783571	0.090704	0.124814	0.127474	0.124641	0.0914508	0.216197
a75	0.0212724	0.0168396	0.0217302	0.0477926	0.0824125	0.0974555	0.145335	0.135443	0.123253	0.0866668	0.221799
a47	0.0192518	0.0140905	0.0163881	0.0410552	0.0719852	0.0915737	0.119927	0.113394	0.0951521	0.0923488	0.324833
a44	0.0109325	0.0124424	0.0171487	0.0494442	0.0843327	0.102098	0.139428	0.131601	0.108758	0.0960718	0.247744
a70	0.00712018	0.00848882	0.0115929	0.0331913	0.0668393	0.0922299	0.146457	0.14212	0.1326	0.11988	0.23948
a13	0.0051178	0.00625376	0.00799918	0.0217847	0.0502448	0.069811	0.12118	0.121386	0.118133	0.153154	0.324936
a4	0.00630756	0.00672354	0.00827864	0.0202313	0.0478571	0.0660904	0.117498	0.116759	0.109891	0.1442	0.356163
a93	0.00603774	0.00740685	0.00879931	0.0240295	0.0505729	0.0714936	0.138046	0.144914	0.13841	0.152676	0.257614
a90	0.00267513	0.00375079	0.00493612	0.0149115	0.0319693	0.040547	0.0716332	0.0791292	0.0784199	0.158342	0.513686
a44	0.00499387	0.00770311	0.00977493	0.0297531	0.0594028	0.075032	0.124048	0.141816	0.137111	0.164452	0.245913
a98	0.00195388	0.00244376	0.00292739	0.00871102	0.0196243	0.0267807	0.0606443	0.0685793	0.0696459	0.149698	0.588992
a44	0.0025316	0.00238084	0.00271765	0.00629159	0.0139717	0.0188425	0.0484087	0.0611137	0.0610333	0.145786	0.636922
a84	0.0010205	0.000880838	0.00100022	0.00291734	0.00767766	0.0109787	0.0321089	0.0424751	0.0446376	0.124003	0.7323
a62	0.00121714	0.000810763	0.000839274	0.0018766	0.00548091	0.00766448	0.0244558	0.030408	0.0359453	0.113877	0.777424
a83	0.00134375	0.00133477	0.00154956	0.00405891	0.0105948	0.0140184	0.0311783	0.0361307	0.0342211	0.116584	0.748986
a9	0.000534805	0.000491537	0.000636812	0.00183074	0.00546523	0.00734954	0.017938	0.0219091	0.0234825	0.11129	0.809072
a50	0.00440083	0.00251709	0.00284093	0.00467309	0.00985868	0.0133226	0.0359795	0.0496825	0.060508	0.139683	0.676534
a0	0.00355091	0.00211906	0.0024403	0.00484107	0.01136	0.0146723	0.0332062	0.0459415	0.0554345	0.130887	0.695547
a75	0.00785896	0.00396308	0.00353393	0.00531007	0.0099539	0.0118358	0.0252799	0.0374837	0.0530411	0.129058	0.712682
a47	0.00137931	0.000680435	0.000709028	0.00123659	0.00308397	0.00360484	0.0096985	0.0132204	0.0156337	0.114715	0.836038
a79	0.000497463	0.000306066	0.000481857	0.00118093	0.00326118	0.00358046	0.0080723	0.0104137	0.0115167	0.0921713	0.868518
a44	0.000464772	0.000384845	0.000558735	0.00174859	0.00497077	0.00616465	0.0152742	0.0185659	0.018285	0.0993374	0.834245
a66	0.00035437	0.00031419	0.000377192	0.00102988	0.00319185	0.00437635	0.0105277	0.0126275	0.0137239	0.085145	0.868332
a70	0.000903263	0.00048145	0.000628985	0.00120052	0.00339942	0.00406176	0.0124466	0.0189684	0.0244038	0.097396	0.83611
a4	0.000448521	0.000297969	0.000395676	0.000937305	0.00285326	0.00360812	0.00924398	0.0128674	0.0151458	0.0808946	0.873307
a44	0.000609034	0.000447494	0.000664154	0.00154343	0.00460299	0.00600554	0.0162915	0.0231655	0.0290791	0.11652	0.801072
a9	0.000581765	0.000414872	0.000660667	0.00138672	0.0039656	0.00511752	0.0149181	0.0218028	0.0300531	0.123894	0.797205
a87	0.00500655	0.00226124	0.00344898	0.00450725	0.00878813	0.00885451	0.0258266	0.0425351	0.0573291	0.115776	0.725667
a23	0.0373416	0.0120508	0.0150094	0.01655	0.0257124	0.0226894	0.0391362	0.0638537	0.095702	0.117278	0.554676
a87	0.0265214	0.0102823	0.0110166	0.0117505	0.0173412	0.0149747	0.0223608	0.0382127	0.0456922	0.10249	0.699358
</S>	0.0378554	0.0163631	0.017524	0.0195329	0.0260028	0.0196338	0.0251216	0.0469116	0.0504347	0.0810025	0.659618
