 	ne	me	prends	pas	pour	un	profane	en	construction	de	maison	</S>
a61	0.0292631	0.0326458	0.04418	0.0671803	0.089157	0.123223	0.0883519	0.0686016	0.0815953	0.109975	0.128741	0.137086
a21	0.0496816	0.0454174	0.0531307	0.0659979	0.0911858	0.154532	0.116502	0.0777354	0.0694676	0.0809306	0.0898286	0.10559
a98	0.0405175	0.0360254	0.042575	0.0553935	0.0765366	0.133476	0.101873	0.0842154	0.0883058	0.107347	0.11008	0.123654
a71	0.0160864	0.0148173	0.0187382	0.0234911	0.0317585	0.0655243	0.0586143	0.0958859	0.130891	0.162835	0.177955	0.203402
a38	0.0122662	0.0112727	0.0166215	0.020914	0.0305545	0.0668416	0.0591903	0.087429	0.136965	0.176664	0.182462	0.198819
a47	0.00443481	0.0036916	0.00620914	0.0090483	0.0156072	0.0386438	0.0324521	0.066965	0.139534	0.218222	0.229459	0.235732
a0	0.00679988	0.00618104	0.00962561	0.0132208	0.020368	0.0436176	0.0328254	0.0512186	0.111622	0.1886	0.23148	0.284441
a24	0.00123258	0.000960769	0.00154657	0.00225336	0.00423717	0.0102002	0.00900895	0.0284865	0.0894054	0.189093	0.282298	0.381277
a25	0.00107564	0.000905484	0.00136557	0.00186829	0.00349038	0.00910374	0.00742729	0.0221014	0.061453	0.158047	0.291018	0.442144
a10	0.000504213	0.00041597	0.000525116	0.000823979	0.00198061	0.004381	0.00317712	0.0147682	0.0526405	0.153434	0.306352	0.460997
a38	0.00349196	0.00269636	0.00317602	0.00386685	0.00612136	0.00988634	0.00882588	0.0379744	0.0721775	0.144028	0.282604	0.425152
a90	0.00392092	0.0026972	0.00250086	0.00273496	0.00416504	0.00929546	0.0114964	0.0501794	0.100618	0.182324	0.274199	0.355868
a70	0.00126796	0.000876048	0.000889018	0.00145799	0.00328852	0.00680515	0.00993874	0.0503522	0.108541	0.199621	0.271875	0.345087
a98	0.000176737	0.000189204	0.000354703	0.000698475	0.00190581	0.00520664	0.00517429	0.0324881	0.0968923	0.182002	0.281955	0.392956
a92	0.000205229	0.000210387	0.000395997	0.000768242	0.00230948	0.00599947	0.00482298	0.0255727	0.0797595	0.181094	0.294113	0.404749
a75	0.000458137	0.000549653	0.00107213	0.00185817	0.00434994	0.0105467	0.00932119	0.0395705	0.131473	0.213133	0.278167	0.3095
a5	0.000800025	0.000974935	0.00183054	0.00290276	0.00546336	0.0101135	0.010268	0.0463239	0.134534	0.212516	0.266592	0.307681
a96	0.00139846	0.00132588	0.00195798	0.00273392	0.00551361	0.0114573	0.0115415	0.0459698	0.110704	0.186654	0.269888	0.350855
a21	0.000573036	0.000597909	0.000945461	0.00137903	0.00307156	0.00788631	0.00693796	0.0337172	0.087076	0.155493	0.259786	0.442536
a47	0.000859311	0.000858274	0.00126397	0.00180162	0.00362523	0.00856103	0.00883338	0.0401177	0.0999028	0.175331	0.269666	0.38918
a88	0.000959539	0.000914504	0.00136211	0.00188401	0.00389026	0.00878596	0.00812925	0.0280653	0.0690213	0.164313	0.278751	0.433923
a25	0.000660272	0.000622302	0.000916756	0.00125863	0.00275141	0.00756907	0.00676654	0.027167	0.0649034	0.150135	0.275291	0.461959
a38	0.000177069	0.000193475	0.000335674	0.00053925	0.00138842	0.00390757	0.00330959	0.0132928	0.0392546	0.128444	0.290985	0.518173
a75	0.000481482	0.00045948	0.000758383	0.00113259	0.00253789	0.00466935	0.00361694	0.0118169	0.0327231	0.106046	0.278493	0.557265
a47	0.000199115	0.000220072	0.000362872	0.000490238	0.00103626	0.00223599	0.00222444	0.0142246	0.0486336	0.142798	0.294822	0.492753
a36	0.000179018	0.000202924	0.000328926	0.000523693	0.00121719	0.00286874	0.00253292	0.0149456	0.0433135	0.130522	0.281583	0.521782
a57	0.000712193	0.000682973	0.000988962	0.00169163	0.00400589	0.00702645	0.00569162	0.0162367	0.0409206	0.133173	0.317842	0.471028
a87	0.0142662	0.00934879	0.00767124	0.00911874	0.0132501	0.0191373	0.0175883	0.0488583	0.079819	0.166565	0.296049	0.318327
a23	0.040643	0.034874	0.0341289	0.0398252	0.045767	0.0561414	0.0522548	0.084119	0.0932587	0.135632	0.18764	0.195716
a87	0.0202724	0.0121925	0.00929874	0.0084919	0.010077	0.0147877	0.0199243	0.0610885	0.0917131	0.159725	0.248193	0.344236
</S>	0.00562312	0.00508174	0.00512443	0.00620686	0.00929869	0.0149123	0.0173611	0.0522984	0.0829008	0.160938	0.283312	0.356943
