 	je	ne	suis	pas	encore	chauffeur	mais	un	apprenti	</S>
a38	0.0252479	0.0221387	0.0230469	0.0394801	0.0585343	0.0968628	0.159565	0.108916	0.135838	0.330371
a36	0.0238934	0.0162026	0.0154084	0.0224235	0.0321629	0.0511658	0.099204	0.0889845	0.169463	0.481092
a26	0.0436723	0.0253691	0.0200716	0.0254277	0.0363898	0.0535231	0.0808456	0.0811034	0.1567	0.476897
a57	0.123656	0.0725423	0.0544002	0.0585209	0.0708872	0.0839906	0.102315	0.112401	0.113235	0.208052
a87	0.126721	0.0855048	0.0589725	0.0596491	0.0688531	0.0790262	0.130557	0.145594	0.0979235	0.147199
a23	0.0822336	0.0634389	0.0500481	0.0552698	0.0627548	0.0786094	0.195247	0.201488	0.121959	0.0889513
a99	0.0571757	0.0517977	0.047185	0.0503421	0.0511494	0.0718881	0.195082	0.202546	0.13482	0.138014
a54	0.0253764	0.0186304	0.0155285	0.0217838	0.0241269	0.0405564	0.118196	0.169661	0.24522	0.32092
a36	0.00553369	0.00396221	0.00425318	0.0088669	0.0123776	0.0267029	0.0955775	0.210282	0.35305	0.279394
a6	0.00118461	0.000830588	0.000951823	0.00200628	0.00346472	0.0107834	0.0573911	0.130704	0.282097	0.510587
a36	0.000443194	0.000335571	0.000446667	0.00106832	0.00229709	0.00885651	0.0650123	0.135386	0.317365	0.468789
a43	0.000827256	0.000603441	0.000730968	0.0014423	0.00275577	0.00829711	0.0478079	0.0772882	0.238811	0.621436
a11	0.00189029	0.00135198	0.00145574	0.0026944	0.0046584	0.0105234	0.0448996	0.0589655	0.198326	0.675234
a93	0.00709506	0.00551215	0.0050927	0.00755429	0.0120662	0.025994	0.0789941	0.0822989	0.189352	0.586041
a4	0.00194313	0.00141418	0.00150089	0.0023146	0.00321798	0.00632924	0.0265751	0.043371	0.165144	0.74819
a70	0.00285479	0.00226507	0.00218003	0.00361125	0.00493533	0.00911445	0.0282438	0.0483013	0.148735	0.749759
a88	0.00310267	0.00261213	0.00265874	0.00510841	0.00700206	0.0138962	0.0453881	0.0733646	0.168409	0.678458
a62	0.00579467	0.00507107	0.00495674	0.00848281	0.0117228	0.0224112	0.0654267	0.107086	0.208806	0.560242
a88	0.00461446	0.00462179	0.00469523	0.00873674	0.0112419	0.0208831	0.0715649	0.119572	0.220413	0.533658
a71	0.00820685	0.00687848	0.00667772	0.00906877	0.0125318	0.0223423	0.0643136	0.111541	0.223691	0.534748
a9	0.0377579	0.0280967	0.0264937	0.0305309	0.0417747	0.0637735	0.128739	0.145848	0.166818	0.330167
a87	0.105193	0.0570354	0.043134	0.0437632	0.0578972	0.0844905	0.129276	0.115771	0.127918	0.235522
a23	0.158671	0.119302	0.0903218	0.0864154	0.102881	0.123014	0.139926	0.0694061	0.0410731	0.0689889
a87	0.0696207	0.0468676	0.0316986	0.0296898	0.0339124	0.0417293	0.069559	0.0679682	0.118272	0.490683
a23	0.0366021	0.0241708	0.0172662	0.0163317	0.0205119	0.0261352	0.0423635	0.0446864	0.138806	0.633126
a87	0.0524919	0.0370495	0.0270954	0.0264267	0.0321099	0.0424675	0.0689249	0.0700376	0.133211	0.510185
</S>	0.0280977	0.0199554	0.0160159	0.0161289	0.0174443	0.0203636	0.0414029	0.0729511	0.185694	0.581946
