 	les	soldats	étaient	venus	surprendre	le	voleur	dans	la	maison	</S>
a15	0.00831357	0.0352147	0.0504662	0.0601182	0.0973658	0.133615	0.149556	0.131831	0.100746	0.0929979	0.139775
a7	0.00802778	0.0323566	0.0542378	0.0718111	0.106324	0.130058	0.134533	0.129294	0.108489	0.0915649	0.133303
a56	0.0075341	0.0198063	0.0303422	0.0370413	0.0576751	0.088356	0.113557	0.128145	0.131306	0.133761	0.252475
a75	0.00878963	0.0211598	0.0262115	0.0319631	0.0521068	0.0788683	0.112365	0.151117	0.147181	0.147413	0.222824
a79	0.0020074	0.00635172	0.00992979	0.01597	0.0385141	0.0686984	0.109149	0.164769	0.16732	0.173101	0.24419
a37	0.00187475	0.00537206	0.00800038	0.0120378	0.0291783	0.0584601	0.10101	0.160252	0.179913	0.179748	0.264153
a44	0.00126932	0.00241323	0.00281615	0.00339468	0.00806403	0.0210926	0.0483489	0.100339	0.146466	0.186457	0.479338
a37	0.0014428	0.002264	0.00256487	0.00307911	0.00760602	0.0192899	0.0472941	0.0992432	0.124607	0.166388	0.526221
a43	0.00115553	0.00184763	0.00207163	0.00253325	0.00588574	0.0146646	0.0379948	0.0896956	0.13062	0.17494	0.538591
a75	0.000898551	0.00169307	0.00179313	0.00254414	0.00580731	0.0146031	0.034875	0.0814623	0.110494	0.165847	0.579982
a92	0.000302581	0.000524633	0.000612254	0.00093905	0.00261753	0.00771495	0.0240535	0.0652511	0.109447	0.192367	0.59617
a37	0.000125437	0.000324418	0.000398802	0.000596216	0.0017083	0.00547659	0.0187971	0.0567435	0.0916195	0.174822	0.649388
a61	0.000209489	0.000561904	0.000622967	0.000833351	0.00253402	0.00868414	0.0249123	0.0673869	0.122651	0.199264	0.57234
a47	0.000293141	0.000704453	0.000733265	0.000929445	0.0022053	0.00564081	0.0156022	0.0449916	0.0849293	0.180767	0.663203
a18	0.000558078	0.00116594	0.00101621	0.0015119	0.00444279	0.0123047	0.0274302	0.0678319	0.134943	0.209176	0.539619
a71	0.00186619	0.00436446	0.00437877	0.00788408	0.0197869	0.0404397	0.0619087	0.111973	0.15057	0.182339	0.414489
a25	0.0179848	0.0259814	0.0252089	0.0299907	0.0388594	0.0624797	0.0969825	0.137185	0.132593	0.125677	0.307058
a87	0.0604166	0.0415251	0.058553	0.0730546	0.0930338	0.0946725	0.0847718	0.093438	0.0962957	0.102372	0.201867
a23	0.0465994	0.0283433	0.0522415	0.0616348	0.0887355	0.109577	0.0990714	0.103404	0.114173	0.123092	0.173128
a99	0.00672624	0.00271087	0.00403209	0.00600813	0.014449	0.031165	0.0489095	0.0803982	0.129252	0.227276	0.449073
a97	0.00613438	0.0042497	0.00910194	0.0163919	0.0309895	0.0421849	0.0481955	0.0761222	0.112187	0.199569	0.454874
a99	0.0063438	0.00511232	0.00974179	0.0130913	0.0226532	0.0302868	0.0314935	0.0532744	0.0952088	0.204213	0.528581
a3	0.00853781	0.00624298	0.0109548	0.014512	0.0228753	0.0297394	0.0322454	0.052055	0.0953923	0.201447	0.525998
</S>	0.0415681	0.022148	0.0304081	0.0317507	0.0459394	0.0494866	0.0467981	0.0597485	0.0975518	0.178304	0.396297
