 	s'	il	décide	de	t'	assassiner	il	ne	reculera	pas	</S>
a88	0.0211019	0.0215899	0.040835	0.0329784	0.0325809	0.0711582	0.166782	0.354899	0.154801	0.049875	0.0533984
a44	0.0621302	0.0570744	0.0727298	0.062924	0.0511516	0.0751597	0.104651	0.189124	0.193448	0.0629699	0.0686376
a75	0.0650883	0.0526452	0.0548404	0.0530765	0.0482905	0.0678888	0.0854212	0.146779	0.244959	0.0885614	0.0924498
a21	0.00507279	0.00490574	0.0115375	0.00912708	0.0104036	0.0204097	0.0495012	0.123846	0.175437	0.283387	0.306372
a5	0.00724232	0.00746983	0.0156124	0.0143691	0.0184371	0.0470263	0.0825017	0.136732	0.208046	0.234139	0.228425
a37	0.00569989	0.0056914	0.01142	0.0100579	0.0124574	0.0314905	0.0578648	0.0858965	0.153151	0.302215	0.324056
a44	0.0150858	0.0122549	0.0179455	0.0179813	0.021822	0.0305221	0.0336742	0.0369977	0.0976144	0.333282	0.382821
a57	0.010079	0.0082631	0.0125244	0.0121044	0.0139412	0.0188049	0.0182673	0.0188075	0.0619165	0.390366	0.434926
a82	0.0436918	0.0436984	0.0677025	0.065296	0.0510019	0.0443888	0.0452315	0.0511431	0.0676833	0.240433	0.279729
a87	0.0494118	0.0467576	0.0516034	0.055089	0.0564553	0.0557512	0.063598	0.0813331	0.098998	0.230447	0.210555
a23	0.139943	0.0776261	0.0523747	0.0355775	0.0286901	0.0172813	0.0201896	0.0494633	0.185019	0.198801	0.195035
a79	0.0305186	0.013287	0.0135773	0.00615794	0.00487703	0.00278728	0.00430029	0.0165924	0.16683	0.340102	0.400971
a20	0.0049384	0.00162916	0.00177148	0.00169964	0.00212673	0.00177092	0.00308685	0.0136866	0.139878	0.332231	0.497182
a44	0.0010519	0.000551229	0.00114031	0.00122112	0.00160062	0.00145822	0.00311252	0.0142182	0.122404	0.362747	0.490495
a96	0.000305119	0.0002261	0.000476658	0.000522012	0.000840251	0.00112159	0.00256339	0.0081359	0.0940314	0.370009	0.521769
a0	0.000359739	0.000293864	0.00055066	0.000543192	0.000735136	0.00130128	0.00261193	0.00531533	0.0662535	0.363844	0.558192
a75	0.00147598	0.00115467	0.001515	0.00125428	0.00108059	0.00137278	0.00169621	0.00255605	0.039894	0.358125	0.589875
a6	9.62292e-05	7.82513e-05	0.000131176	0.000121046	0.000154677	0.00021666	0.000501929	0.00160648	0.030432	0.36868	0.597981
a36	8.87715e-05	7.49051e-05	0.000160292	0.000131666	0.000160811	0.000235099	0.000486324	0.00123439	0.0223833	0.345494	0.62955
a40	0.000507635	0.000471204	0.000643733	0.000457913	0.000380088	0.000265226	0.000347464	0.00081375	0.0130629	0.326995	0.656055
a36	0.000220872	0.000155607	0.000363573	0.000273765	0.000318154	0.000288984	0.000589941	0.00166845	0.019126	0.373347	0.603648
a2	0.000272364	0.000208929	0.000434088	0.000257467	0.000180586	0.00015239	0.000366236	0.00110665	0.0174254	0.354316	0.62528
a57	0.0317024	0.0372905	0.0295011	0.0258086	0.0178923	0.0151369	0.0180224	0.0381859	0.106698	0.258567	0.421194
a87	0.189363	0.0977489	0.048248	0.0310767	0.0248035	0.0160929	0.0318643	0.0788137	0.101379	0.195881	0.184729
a23	0.376829	0.160574	0.0743021	0.0353732	0.0242886	0.00933398	0.0212892	0.0510992	0.0458339	0.104072	0.0970048
a87	0.13685	0.0589446	0.067566	0.0287787	0.022589	0.00572624	0.0180154	0.05886	0.101228	0.262893	0.238549
</S>	0.025832	0.011954	0.01282	0.00544406	0.00525195	0.00146505	0.00691667	0.0342433	0.167427	0.373955	0.354691
