 	quand	un	mouton	donne	des	coups	de	cornes	aux	gens	dans	le	village	il	faut	le	tuer	</S>
a18	0.0316092	0.0377552	0.0444328	0.0576538	0.0781846	0.093025	0.114438	0.0831139	0.0800839	0.0708948	0.0662902	0.0708638	0.0592579	0.0380039	0.0238333	0.0154655	0.0159293	0.0191643
a75	0.0125522	0.0140966	0.0230252	0.0311544	0.0494429	0.0924776	0.136524	0.0769242	0.0939711	0.0800054	0.0734461	0.0812522	0.0700607	0.0471162	0.0313891	0.023745	0.0276658	0.0351511
a5	0.0153114	0.0149005	0.0187453	0.0189775	0.0294206	0.0507425	0.0779537	0.0748442	0.0687717	0.0837452	0.0994719	0.10884	0.103453	0.0751221	0.0480252	0.0301424	0.0335964	0.0479354
a37	0.0137238	0.0135003	0.0192455	0.0208833	0.0288444	0.0472696	0.0804398	0.0639919	0.0716253	0.0904481	0.104148	0.116203	0.108627	0.0747746	0.0449344	0.0277566	0.030887	0.0426977
a75	0.00523474	0.00558262	0.0111983	0.0150244	0.0214608	0.0402105	0.0592443	0.0644311	0.0790795	0.104973	0.112854	0.120598	0.11961	0.0814979	0.0468759	0.0290149	0.0336161	0.0494939
a85	0.0129064	0.0124905	0.0138119	0.0148305	0.0205751	0.0271306	0.0394694	0.0413491	0.045998	0.0865302	0.114147	0.12797	0.13029	0.100472	0.065042	0.0405508	0.0455409	0.0608953
a5	0.025378	0.0226827	0.0220926	0.0205422	0.0243622	0.0321906	0.0510017	0.0481528	0.0570081	0.0757473	0.0946967	0.106241	0.108626	0.0899407	0.0651075	0.0454642	0.0493048	0.061461
a47	0.0114867	0.011629	0.0141141	0.0186071	0.0245673	0.0372845	0.0581279	0.0541044	0.0652203	0.0895555	0.103268	0.113511	0.108558	0.0837323	0.0576179	0.0400995	0.0455532	0.0629626
a62	0.00672041	0.00670271	0.00880786	0.0131011	0.0177492	0.0344523	0.0529235	0.0608139	0.0843601	0.10592	0.109269	0.115054	0.109248	0.0845625	0.0557239	0.0360387	0.0432267	0.0553258
a88	0.00737298	0.00707121	0.00858917	0.0143663	0.0201464	0.0396087	0.0602066	0.0828397	0.102932	0.120979	0.113444	0.114565	0.100264	0.0731381	0.0454701	0.0278149	0.0282207	0.0329716
a38	0.00410476	0.00396572	0.00541184	0.00922126	0.0150909	0.0334211	0.0446222	0.0700374	0.0938254	0.132949	0.119615	0.125811	0.111552	0.0771388	0.0440427	0.0274577	0.0347498	0.046983
a11	0.00231045	0.00241214	0.00406965	0.00743406	0.0131364	0.0314129	0.0318083	0.0707393	0.0943146	0.151644	0.127584	0.133566	0.124402	0.0799888	0.0403925	0.0229842	0.0265364	0.0352648
a70	0.00206558	0.00221777	0.00392535	0.00732256	0.0126882	0.0277057	0.0284186	0.0682581	0.0844389	0.145176	0.127122	0.12718	0.12245	0.0849295	0.046411	0.0280203	0.0350617	0.0466087
a61	0.00242779	0.00252939	0.00432315	0.00768044	0.0135587	0.0284329	0.0298242	0.0596959	0.0739576	0.132508	0.12184	0.129696	0.12723	0.0916256	0.0532796	0.0336352	0.0409398	0.0468159
a75	0.00326916	0.00349438	0.00436607	0.00817971	0.0133515	0.0228031	0.0280714	0.0513264	0.0585135	0.11571	0.114756	0.11315	0.106382	0.0849506	0.0617323	0.0522862	0.071127	0.0865298
a5	0.00550209	0.00580771	0.00685497	0.0126392	0.0214258	0.0281319	0.0339606	0.0331108	0.043007	0.0718446	0.0838913	0.0986978	0.102018	0.0902473	0.0721561	0.0625707	0.0875305	0.140604
a43	0.00513527	0.0055437	0.0072364	0.0124262	0.0198317	0.0286203	0.0372026	0.0433509	0.0476985	0.0797023	0.090624	0.103786	0.103596	0.0907103	0.0735165	0.0630663	0.0788401	0.109113
a75	0.00239172	0.00259443	0.00331866	0.00639758	0.010808	0.0191564	0.0246502	0.0426931	0.0443982	0.0914738	0.0998417	0.103284	0.102718	0.0893033	0.0693109	0.0612551	0.0913212	0.135084
a37	0.00585697	0.00623935	0.00752653	0.0129618	0.0215101	0.0273054	0.0335113	0.0321432	0.0392762	0.0652062	0.0779538	0.0949614	0.101391	0.0924159	0.073448	0.0627069	0.086544	0.159042
a26	0.00370779	0.00367149	0.00522296	0.00907239	0.0164621	0.0258386	0.0311367	0.035734	0.0419159	0.0739319	0.082317	0.0938502	0.097445	0.0882323	0.0700242	0.0631761	0.0970584	0.161203
a53	0.0034791	0.00362851	0.00475006	0.00838938	0.0135305	0.0226201	0.0175493	0.0393808	0.0422343	0.0909066	0.0975675	0.109001	0.126215	0.106212	0.0661984	0.0488504	0.0769974	0.12249
a4	0.00168621	0.00170758	0.00231326	0.00446744	0.00772123	0.013209	0.0154447	0.0238894	0.0276484	0.0598326	0.0718428	0.081563	0.0941106	0.0990011	0.0852051	0.0820538	0.123905	0.204398
a13	0.00157955	0.0016255	0.00236271	0.00456826	0.00760901	0.0127666	0.0154138	0.0248416	0.0260698	0.058418	0.0734738	0.0829516	0.0939416	0.0993157	0.0885571	0.0850067	0.120527	0.200972
a40	0.00103633	0.00103495	0.00142624	0.00251238	0.00435225	0.00727401	0.0078826	0.0157023	0.0180397	0.0516945	0.0620167	0.0668405	0.0801356	0.0895401	0.0806211	0.0841961	0.163927	0.261767
a75	0.00273559	0.00289123	0.00302724	0.00562397	0.00740081	0.0102815	0.00968946	0.0190477	0.02397	0.0594868	0.0741981	0.0809965	0.0897396	0.0943314	0.0825176	0.0774893	0.122264	0.234309
a47	0.00551763	0.00580907	0.005726	0.00991231	0.0121533	0.0146362	0.013491	0.0248435	0.0278845	0.064928	0.0807529	0.0881811	0.0985592	0.0984062	0.0821557	0.072462	0.103809	0.190773
a5	0.00355621	0.00336611	0.00355376	0.00510815	0.007182	0.00985562	0.0112001	0.0169267	0.0197307	0.0531306	0.069112	0.078877	0.0867827	0.0914463	0.0783665	0.0742409	0.131986	0.255578
a61	0.00447599	0.00452679	0.00471345	0.00649232	0.00834401	0.0109995	0.0130197	0.0201219	0.0190334	0.045318	0.0633339	0.067806	0.0759498	0.0812161	0.0768868	0.0853136	0.145899	0.26655
a47	0.00259902	0.00259715	0.00251741	0.00428141	0.00589813	0.00828591	0.00960204	0.0173424	0.0176182	0.0482017	0.0630668	0.0644129	0.0710774	0.0763797	0.0715109	0.0803837	0.155694	0.298531
a83	0.00180945	0.00202696	0.00240457	0.00467469	0.00754715	0.0120228	0.0148518	0.0241953	0.0261582	0.0709642	0.0845259	0.0860796	0.092549	0.0913612	0.0723991	0.0664531	0.118936	0.221041
a93	0.00137193	0.00136984	0.00150492	0.00264898	0.00419549	0.00658208	0.00723133	0.0130853	0.0148707	0.047552	0.0548308	0.0528687	0.0579985	0.0605453	0.0544205	0.0666022	0.171869	0.380452
a70	0.000536531	0.000565408	0.000721203	0.0014476	0.00251644	0.00432068	0.00425658	0.0100595	0.012716	0.0478145	0.0545213	0.0528525	0.0602145	0.0646627	0.0608799	0.0781361	0.184592	0.359186
a98	0.000573165	0.000615589	0.00093633	0.00194296	0.00320213	0.00551954	0.00540602	0.0118236	0.0145781	0.0501739	0.0574846	0.055719	0.0620437	0.0644643	0.0591647	0.0749697	0.17392	0.357463
a85	0.00108824	0.00131591	0.00134491	0.00263493	0.00361781	0.00579513	0.00523393	0.0148557	0.0179811	0.0703754	0.0826397	0.0849183	0.0920155	0.0944259	0.0778324	0.0738519	0.129253	0.24082
a21	0.00222126	0.00248691	0.00203791	0.00373286	0.00439837	0.00626954	0.00549271	0.0165677	0.0189062	0.0664834	0.0779314	0.0750725	0.0823726	0.0865744	0.0763774	0.0756986	0.139031	0.258345
a6	0.00507835	0.00537887	0.0053081	0.00807459	0.009869	0.0119736	0.0122572	0.0208727	0.0217325	0.0488704	0.0601514	0.0586279	0.0662156	0.0708931	0.0672069	0.0781529	0.154488	0.294849
a36	0.00145942	0.00159638	0.00148711	0.00281336	0.003562	0.00400993	0.00363748	0.0073225	0.00827986	0.0314739	0.0429732	0.0407623	0.0455734	0.0518877	0.0537338	0.0726949	0.190456	0.436277
a26	0.00174035	0.00171795	0.0017817	0.00242715	0.00322436	0.00366716	0.00354374	0.00547519	0.00567338	0.0213922	0.0269202	0.0262877	0.0307589	0.0348663	0.0391415	0.0636643	0.204178	0.52354
a57	0.0072319	0.00680075	0.00629976	0.00795666	0.00906303	0.00854477	0.00822112	0.0163866	0.010131	0.0309736	0.0340853	0.0274729	0.0318525	0.0436006	0.0618905	0.105959	0.225646	0.357884
a87	0.0403619	0.0270138	0.0115024	0.00941998	0.00840002	0.0112467	0.0156289	0.0274685	0.0194352	0.0460645	0.05031	0.0397559	0.0422848	0.0555914	0.0732685	0.11244	0.178205	0.231602
a23	0.0423784	0.0278327	0.0125849	0.00829214	0.00739597	0.0120604	0.0158889	0.0316413	0.0306892	0.0623342	0.0696254	0.0511695	0.0560388	0.0724981	0.0868127	0.108374	0.134903	0.169481
a87	0.00988356	0.00665124	0.00224325	0.00175362	0.00140619	0.00199826	0.00275409	0.00599406	0.00532176	0.0157659	0.020787	0.0149963	0.0165104	0.0306897	0.0632292	0.134986	0.250668	0.414361
a23	0.00641746	0.00444683	0.00172253	0.00142263	0.0010862	0.00215318	0.00319299	0.00847935	0.00735349	0.0175163	0.0215623	0.0137015	0.0147358	0.0246714	0.0478081	0.107419	0.24421	0.472101
a87	0.00524251	0.00429736	0.00159068	0.00177398	0.00111599	0.00238923	0.00296572	0.0128673	0.0110553	0.0370063	0.0431374	0.0276839	0.0286235	0.0462539	0.0680406	0.112584	0.210719	0.382654
a23	0.0095914	0.00749286	0.00292071	0.00246132	0.00158319	0.00246737	0.00306056	0.0092024	0.00750787	0.0247941	0.0323124	0.0214757	0.022236	0.0340355	0.0565554	0.117126	0.228376	0.416801
a87	0.0122048	0.0104928	0.00385007	0.00343307	0.00184566	0.0027908	0.00317467	0.0113381	0.0107363	0.0406913	0.055951	0.0388932	0.0401641	0.0538746	0.0656635	0.108832	0.195959	0.340105
a23	0.0109528	0.00784903	0.00301787	0.00250424	0.00158164	0.00250678	0.00329143	0.00860711	0.00730443	0.0214819	0.0271909	0.0188382	0.0203376	0.0302743	0.0497717	0.107823	0.226359	0.450308
a99	0.010897	0.00881459	0.0033905	0.00295941	0.00160348	0.00237795	0.00297754	0.009465	0.0082609	0.0297604	0.0412056	0.0276845	0.0310189	0.0474056	0.0667465	0.114611	0.214258	0.376563
a87	0.0105633	0.00772405	0.00299023	0.00327312	0.00185918	0.00286806	0.00356714	0.0136401	0.011535	0.0352441	0.0462897	0.0335093	0.0368141	0.0543478	0.0772742	0.119986	0.208037	0.330478
a30	0.0131164	0.00910157	0.00330138	0.0026672	0.00157911	0.002602	0.00332051	0.0106493	0.00940113	0.0273553	0.033807	0.0235603	0.0255047	0.0343982	0.0491081	0.0999251	0.214377	0.436225
</S>	0.0124712	0.00946008	0.00426489	0.00420113	0.00279688	0.0052236	0.00594449	0.0219087	0.0199138	0.0530106	0.0661253	0.0471061	0.0508796	0.0643698	0.0723723	0.1058	0.179466	0.274686
