 	le	sorcier	connait	la	maison	du	fou	de	la	même	manière	qu'	un	pêcheur	connait	les	caches	des	poissons	</S>
a92	0.0204424	0.0419877	0.0455479	0.0533759	0.0591454	0.0644728	0.069019	0.0607346	0.061361	0.06348	0.0672655	0.0595012	0.0533945	0.05912	0.0580933	0.0370784	0.0326424	0.0249002	0.0298416	0.0385963
a37	0.0123196	0.0316124	0.0373917	0.0444962	0.0521777	0.0571867	0.0624325	0.0594703	0.061104	0.0660494	0.0697168	0.0683031	0.0666303	0.0721489	0.0719506	0.0438379	0.0356462	0.0226223	0.0278393	0.0370643
a61	0.00450459	0.0137876	0.022973	0.0540623	0.0675985	0.0788774	0.104323	0.0975056	0.0926221	0.0918503	0.0940182	0.0660613	0.0463574	0.0525872	0.0326819	0.0200671	0.0176212	0.0101701	0.012766	0.0195656
a47	0.00279688	0.00847208	0.013913	0.0404819	0.0569278	0.0699105	0.102758	0.103176	0.102583	0.104701	0.108236	0.0730239	0.0497212	0.0575258	0.03495	0.017964	0.0180723	0.00925533	0.0105496	0.0149803
a21	0.00235428	0.00635228	0.0123899	0.0396984	0.0600412	0.0762866	0.109492	0.105483	0.0996468	0.0961366	0.0986673	0.067171	0.0484641	0.0547399	0.0367701	0.0236078	0.0237127	0.00963962	0.0115883	0.0177578
a61	0.00121374	0.00318706	0.00596501	0.0233062	0.0377573	0.0487856	0.0774897	0.0845864	0.0877148	0.0990813	0.107118	0.0894374	0.0699249	0.0840585	0.0631317	0.0372787	0.0315883	0.0125636	0.0144046	0.0214077
a96	0.00132243	0.00332977	0.00657436	0.0251017	0.0374001	0.0454013	0.071954	0.0798343	0.0799087	0.0936062	0.102904	0.0849587	0.069249	0.0888126	0.0637761	0.0423781	0.0416364	0.0161132	0.0183491	0.0273897
a90	0.00152447	0.00356201	0.00814025	0.0292282	0.0435325	0.0529107	0.0795682	0.0838571	0.0803394	0.0865482	0.0913211	0.0773233	0.0603688	0.0750298	0.0504633	0.0379946	0.0479943	0.0189383	0.0258503	0.0455051
a15	0.000551654	0.00101514	0.00289573	0.0148263	0.0241503	0.0307295	0.0489825	0.0548984	0.0526888	0.0679957	0.0684253	0.0752155	0.0696552	0.0912845	0.0731908	0.0671141	0.0743965	0.0358643	0.0519712	0.0941486
a98	0.000579778	0.00101965	0.00215398	0.0129266	0.0235161	0.0310883	0.0485858	0.0510802	0.0457393	0.0640098	0.058597	0.0809199	0.0958318	0.130418	0.0784663	0.0698518	0.0575539	0.0255182	0.0404864	0.0816572
a15	0.000638893	0.00121351	0.00236343	0.0097073	0.014745	0.0179843	0.0303954	0.035989	0.0348081	0.0568734	0.0578232	0.0773577	0.112506	0.159461	0.105147	0.0828905	0.0604006	0.0306453	0.0410905	0.0679609
a7	0.00160052	0.00220942	0.00328547	0.0196449	0.0336549	0.0392793	0.0533368	0.0500377	0.0414458	0.0561564	0.0573941	0.0776909	0.0782146	0.106572	0.079481	0.0767244	0.0641138	0.0343952	0.0461617	0.0786014
a84	0.00450097	0.00599331	0.00829789	0.0319941	0.0466965	0.0475895	0.0568795	0.0489348	0.0392192	0.0493673	0.050882	0.0682619	0.080855	0.112772	0.0763582	0.0663597	0.0440667	0.0242825	0.0446341	0.0920555
a57	0.00951035	0.0108901	0.012108	0.0306007	0.0444089	0.0491181	0.064452	0.0620214	0.051851	0.0671852	0.0617065	0.0800188	0.0975415	0.110992	0.0636126	0.0457341	0.0301367	0.0159347	0.0302898	0.0618877
a87	0.0209142	0.017021	0.0156285	0.0254516	0.0385699	0.0461272	0.0715366	0.0755393	0.0715654	0.0747465	0.0657098	0.0815575	0.0811349	0.0813217	0.054935	0.0411675	0.0305795	0.0176789	0.0320424	0.0567724
a23	0.0635564	0.0566009	0.0220174	0.0168059	0.0252472	0.0315974	0.0462175	0.0591402	0.0702762	0.06128	0.0477328	0.0458682	0.0333546	0.0318323	0.0425923	0.0477495	0.0502384	0.0556192	0.0777393	0.114534
a99	0.0286776	0.0174831	0.0109565	0.0120635	0.0243894	0.0351254	0.0494294	0.0666388	0.0838908	0.0646713	0.0541935	0.0441043	0.0262085	0.0228501	0.0336317	0.0639085	0.0866484	0.076833	0.0892258	0.10907
a62	0.00165583	0.00265053	0.0030729	0.00653688	0.0121042	0.0146996	0.0127931	0.0155504	0.0167848	0.0153583	0.0121992	0.0126967	0.0127383	0.0156907	0.0398053	0.0675609	0.0923673	0.17122	0.22647	0.248046
a12	0.00178202	0.00506826	0.00515154	0.00925967	0.0142458	0.0160719	0.0141198	0.0167529	0.0183454	0.0172279	0.0161448	0.0151308	0.013255	0.015791	0.0409126	0.0544501	0.0822725	0.185463	0.214304	0.24425
a18	0.00214673	0.00518675	0.00358791	0.00596415	0.0102779	0.0135973	0.0180424	0.0231712	0.027189	0.0256263	0.0233383	0.0228454	0.0177971	0.0192822	0.0440971	0.0583223	0.0807961	0.16517	0.197057	0.236505
a21	0.00193095	0.00312611	0.00225968	0.00562229	0.0112698	0.0162515	0.0228751	0.0260155	0.0249192	0.0230329	0.0203236	0.0203372	0.0136022	0.0147267	0.0477775	0.0980474	0.127367	0.198639	0.174201	0.147676
a5	0.0014439	0.0029785	0.00282076	0.00439695	0.00786162	0.010633	0.0174616	0.0249886	0.0326387	0.0334149	0.0313735	0.0340504	0.0280818	0.0303711	0.0444341	0.058834	0.0606654	0.162704	0.197166	0.213681
a43	0.000975974	0.00204969	0.00270708	0.00507574	0.00964015	0.0126646	0.0188839	0.0233835	0.0278734	0.0285803	0.0281624	0.0339763	0.0291181	0.0331924	0.0456538	0.0678303	0.0761328	0.165191	0.186793	0.202115
a75	0.000746823	0.00220667	0.00333028	0.00675447	0.0129855	0.0169816	0.0239569	0.0264256	0.0274602	0.0281721	0.0277316	0.0295581	0.0244609	0.0286201	0.0380053	0.0663922	0.070477	0.189525	0.202224	0.173986
a92	0.000224341	0.000546636	0.00127133	0.00336242	0.00526421	0.00633277	0.01027	0.0132697	0.0148056	0.0195538	0.0201231	0.0289846	0.0353893	0.0416344	0.0497662	0.0558335	0.0477352	0.153315	0.235168	0.257149
a75	0.000368359	0.000685312	0.00154345	0.00297568	0.00402669	0.00488539	0.00857283	0.0116288	0.0137429	0.01986	0.020514	0.0342314	0.0505134	0.0581785	0.0675416	0.0631833	0.0484052	0.120098	0.198021	0.271024
a25	0.000285917	0.000597328	0.00131406	0.00298998	0.00475792	0.00592129	0.0105756	0.0139168	0.0150993	0.0203783	0.0206679	0.0308401	0.0422924	0.0501791	0.0551505	0.0595379	0.0427527	0.123746	0.221972	0.277024
a79	0.000131814	0.000222305	0.000413481	0.00145562	0.00259515	0.00326602	0.00550401	0.00681439	0.00622482	0.00944531	0.00883724	0.0144231	0.0210569	0.0267655	0.039617	0.0496402	0.0346776	0.0982297	0.238192	0.432488
a93	0.000377724	0.000544491	0.000840486	0.0018927	0.00311131	0.00391713	0.00655662	0.00844709	0.00830337	0.0122615	0.0116821	0.0205839	0.0343882	0.0451145	0.0540284	0.0594798	0.0376836	0.0955317	0.217504	0.377751
a4	0.000323209	0.000472869	0.00100521	0.00245611	0.00411098	0.00527964	0.00905759	0.010907	0.00984958	0.0147869	0.0136169	0.018411	0.0204185	0.0241813	0.031485	0.045385	0.0334306	0.092463	0.23541	0.426949
a57	0.000388683	0.000479136	0.00104071	0.00209674	0.00327997	0.00406131	0.00658902	0.00781041	0.00729202	0.0108989	0.0099236	0.0151755	0.0182614	0.0202949	0.0279651	0.0408055	0.0303559	0.103893	0.271428	0.417961
a11	0.000312966	0.000349577	0.0006593	0.00173723	0.00293523	0.00358372	0.00550623	0.00642789	0.00545885	0.00874557	0.00665807	0.00897233	0.00810733	0.00950947	0.0128991	0.0318333	0.030707	0.11304	0.281073	0.461484
a56	0.000785544	0.00103034	0.00149379	0.00300998	0.00507097	0.00606339	0.00747241	0.00771188	0.00659941	0.00894876	0.0069467	0.00984849	0.0111958	0.0137991	0.0183027	0.0458672	0.0338265	0.12281	0.263876	0.425341
a62	0.000140755	0.000235653	0.000428525	0.000961443	0.00171047	0.00204612	0.00279377	0.00316704	0.00303514	0.00457681	0.00393336	0.00696902	0.00981326	0.0103735	0.0163024	0.0301705	0.021255	0.109649	0.292126	0.480313
a31	9.4296e-05	0.000202127	0.000397828	0.00127442	0.00256347	0.00326319	0.00393044	0.00430678	0.00392657	0.00567784	0.00467804	0.00638364	0.00738186	0.00789745	0.0140856	0.0304612	0.0212666	0.0919172	0.245843	0.544449
a88	0.000129564	0.000270008	0.000502341	0.00127665	0.00252338	0.00353899	0.00490019	0.00544784	0.00548054	0.00795424	0.00693629	0.00977737	0.0115002	0.0125432	0.016001	0.0308419	0.0207633	0.079109	0.23269	0.547814
a71	0.00014824	0.000325202	0.000681756	0.00159011	0.0030335	0.0041499	0.00564628	0.00602587	0.00529509	0.00725746	0.00531016	0.00689995	0.00611334	0.00642222	0.0145211	0.037381	0.0251487	0.0881321	0.242757	0.533161
a66	0.00435777	0.00599856	0.00879509	0.0150191	0.0163269	0.017487	0.0229845	0.0252425	0.0218307	0.0309841	0.0236661	0.0278729	0.0390699	0.0467363	0.0500314	0.0772127	0.0348586	0.0929527	0.162496	0.276077
a13	0.0181117	0.0178124	0.0165462	0.0222102	0.0225401	0.0227503	0.0266469	0.0269606	0.0243909	0.0273485	0.0240452	0.0266278	0.0377797	0.0439856	0.0479589	0.0762819	0.0438637	0.107241	0.154169	0.21273
a9	0.0107158	0.0104054	0.00973376	0.0140134	0.0173463	0.0192371	0.0251517	0.0248859	0.0218004	0.0246219	0.0208756	0.0248211	0.0307575	0.0344826	0.0362464	0.0565637	0.0344933	0.0986813	0.176846	0.30832
a10	0.0331437	0.0309731	0.020523	0.0225847	0.0231154	0.0207935	0.0262518	0.0294394	0.0279307	0.0309703	0.0295855	0.0351505	0.0436748	0.0467402	0.0574793	0.077083	0.0462672	0.093681	0.128086	0.176527
a87	0.0482964	0.0447453	0.0192314	0.0190018	0.0247956	0.023352	0.037131	0.0489862	0.0490865	0.051428	0.0477791	0.058787	0.0494406	0.0427459	0.0712706	0.0766632	0.0462962	0.0662404	0.076941	0.0977819
a23	0.034662	0.0545119	0.020696	0.0173309	0.0290606	0.0285663	0.0368253	0.0509731	0.047246	0.0584386	0.0543418	0.0741428	0.0518493	0.0358482	0.0786498	0.0711999	0.0465804	0.0610984	0.0634038	0.0845753
a87	0.0130429	0.0188054	0.00281508	0.00337795	0.0054531	0.00492445	0.0068487	0.0122946	0.0120425	0.0175307	0.0171951	0.0225034	0.0139695	0.0126356	0.0417367	0.0402737	0.0461148	0.108528	0.18452	0.415388
</S>	0.0122614	0.0129534	0.00331235	0.0034585	0.00600675	0.00681197	0.0131364	0.0204522	0.0213568	0.0236543	0.0223832	0.0209035	0.0119461	0.0112265	0.0203272	0.0244755	0.0248956	0.0770157	0.17761	0.485813
