 	dans	certains	villages	on	consomme	le	letsia	mais	nous	n'	en	mangeons	pas	</S>
a6	0.00088594	0.000961284	0.00139076	0.00283622	0.00650518	0.0117781	0.0191301	0.0185484	0.0117017	0.016691	0.0383159	0.108256	0.24977	0.513229
a36	0.000557626	0.000694026	0.000728439	0.00141058	0.00310892	0.00644658	0.0139621	0.0131861	0.00794255	0.0137185	0.0358596	0.106539	0.242183	0.553663
a26	0.00184876	0.0021861	0.00216421	0.00350983	0.00525325	0.00837864	0.0161622	0.0133954	0.0111243	0.0170718	0.0414266	0.108653	0.251454	0.517371
a30	0.0310235	0.0351162	0.0319091	0.0397283	0.0381566	0.0413983	0.0551257	0.0438687	0.0337974	0.0407369	0.0546767	0.0967771	0.177392	0.280293
a10	0.0563647	0.0311508	0.0218959	0.0201015	0.019851	0.0265322	0.0540457	0.0666347	0.0728827	0.0906483	0.0956255	0.116201	0.151555	0.176511
a87	0.0462078	0.0160978	0.0103348	0.00871261	0.0109608	0.0204831	0.0643968	0.0806654	0.0761902	0.0817853	0.0833097	0.122755	0.162861	0.21524
a23	0.0316138	0.0115451	0.00863418	0.00893218	0.0158877	0.0362222	0.116369	0.115461	0.0913337	0.0812723	0.0705417	0.10184	0.129042	0.181305
a87	0.0255161	0.0105651	0.00773638	0.00769959	0.0111754	0.027814	0.0873266	0.0945574	0.0701552	0.0627511	0.0696699	0.123948	0.174429	0.226656
a23	0.0103142	0.00494169	0.00445804	0.00514637	0.00836285	0.0190511	0.0658151	0.0675738	0.0482518	0.0469339	0.0550524	0.110623	0.206547	0.346929
</S>	0.0094591	0.00489126	0.004106	0.0044724	0.00664954	0.0171699	0.0625605	0.0712938	0.0462958	0.0481318	0.0590654	0.125537	0.218958	0.32141
