 	il	fume	trop	de	chanvre	voilà	pourquoi	ses	yeux	sont	devenus	ternes	</S>
a54	0.194003	0.300307	0.178589	0.0747661	0.046461	0.0352225	0.0262133	0.0315029	0.0319762	0.0300508	0.0221269	0.0174103	0.0113716
a7	0.125042	0.216228	0.172884	0.0966539	0.0744472	0.0568636	0.040764	0.0429974	0.0433271	0.0371767	0.030892	0.0295682	0.0331556
a56	0.0882277	0.152469	0.152234	0.128435	0.0987751	0.0785348	0.053721	0.0497659	0.0468082	0.0375338	0.03373	0.0352691	0.0444968
a94	0.0821446	0.113194	0.11136	0.121386	0.098128	0.0921537	0.0660485	0.0611646	0.0544425	0.0455115	0.0430787	0.051161	0.0602267
a54	0.0783255	0.102335	0.107208	0.123014	0.101238	0.0949312	0.0707672	0.0669329	0.0586985	0.0462197	0.0426403	0.052615	0.0550747
a37	0.0527742	0.073195	0.091781	0.0949058	0.100323	0.0873221	0.0694964	0.0768899	0.0721497	0.0604043	0.0569239	0.0738393	0.0899955
a35	0.0317197	0.0413509	0.0508866	0.0849302	0.10874	0.109738	0.0834031	0.0818955	0.074417	0.0609835	0.06109	0.0826707	0.128175
a30	0.0451401	0.0602634	0.0640606	0.0813352	0.110467	0.0976355	0.0712079	0.0773035	0.0701671	0.0596433	0.0609231	0.0800231	0.12183
a37	0.0172887	0.0286672	0.0365754	0.0774225	0.126349	0.114346	0.088589	0.0866033	0.0753667	0.0626711	0.0671044	0.0811824	0.137835
a35	0.0141965	0.022837	0.0271143	0.0608356	0.105913	0.106539	0.0813082	0.0796751	0.0712766	0.0604289	0.0711052	0.0966964	0.202075
a90	0.0230868	0.0350858	0.037166	0.0576788	0.100516	0.0973595	0.0729153	0.0795602	0.0706953	0.061664	0.0723934	0.101711	0.190167
a15	0.0175183	0.029189	0.033431	0.0578633	0.106683	0.0989766	0.0741334	0.0802489	0.0684281	0.0594202	0.0739062	0.105577	0.194625
a44	0.0128783	0.0218227	0.0247127	0.0381573	0.0847691	0.0849489	0.0733135	0.0860824	0.0751113	0.0722639	0.0898037	0.123982	0.212154
a7	0.0113076	0.0178196	0.0208416	0.0375169	0.073683	0.0834016	0.0714383	0.0812118	0.0673571	0.0671278	0.0917717	0.139786	0.236737
a44	0.00879101	0.0135042	0.0153075	0.0299368	0.0620113	0.0729953	0.0640603	0.0695875	0.0584581	0.0588528	0.0845442	0.131985	0.329966
a11	0.0056713	0.0094372	0.0110603	0.0242817	0.0527649	0.0641695	0.0552679	0.0618808	0.0522656	0.0524099	0.0818695	0.133429	0.395492
a75	0.00470028	0.00774208	0.00910937	0.0205818	0.0461395	0.0573025	0.0488888	0.0530408	0.046561	0.0460238	0.0754086	0.127857	0.456644
a79	0.00744643	0.0112177	0.0133978	0.0245486	0.0532045	0.065193	0.0678773	0.0807879	0.0644808	0.0723957	0.101421	0.1512	0.286829
a44	0.00588172	0.0103533	0.0125683	0.024965	0.0730872	0.0812499	0.0732243	0.0851621	0.0724248	0.0711979	0.0890108	0.127897	0.272977
a94	0.00290063	0.00508858	0.00714995	0.0187951	0.0528526	0.0622262	0.0542851	0.0627693	0.0530314	0.0548839	0.0870667	0.139332	0.399619
a4	0.00248064	0.00387517	0.00480821	0.0116795	0.0314016	0.0370222	0.0343913	0.0398526	0.0353741	0.0393353	0.0741177	0.126845	0.558817
a99	0.00248679	0.00396353	0.00512313	0.0121553	0.0264295	0.0320301	0.030899	0.0367239	0.0323811	0.0381295	0.0744652	0.135965	0.569248
a50	0.000667194	0.00118257	0.00170046	0.00422724	0.0109061	0.0137993	0.0135106	0.0160996	0.0167119	0.0214296	0.0540077	0.114399	0.731358
a0	0.000565062	0.000845812	0.00122802	0.00245469	0.00709479	0.00968012	0.0108396	0.0138333	0.0162457	0.0231146	0.0602603	0.163449	0.690389
a24	0.000333762	0.000461084	0.000713759	0.0014548	0.00458218	0.00665306	0.00718824	0.0091266	0.0114139	0.0154489	0.0409034	0.116165	0.785555
a54	0.000591103	0.000559203	0.000845284	0.00145685	0.00446942	0.00690678	0.00746079	0.011088	0.0160153	0.020971	0.0452698	0.1386	0.745767
a73	0.000717565	0.00101964	0.00122935	0.0023987	0.00826194	0.0095145	0.00959167	0.0140204	0.0151545	0.023311	0.0593035	0.143255	0.712222
a69	0.000266794	0.000428997	0.000647151	0.00131953	0.0046986	0.00560467	0.00571299	0.00906332	0.011543	0.018167	0.0477052	0.131466	0.763377
a53	0.000309041	0.000564659	0.000893679	0.00201451	0.00780868	0.00952555	0.00932032	0.0135823	0.0164712	0.0229993	0.0528955	0.135613	0.728002
a15	0.000534249	0.000863164	0.00116491	0.00294701	0.0130645	0.0165512	0.015949	0.0200437	0.0234281	0.0282075	0.0574063	0.131043	0.688797
a73	0.000233603	0.000363054	0.000536283	0.00100591	0.00333098	0.00402745	0.00408376	0.00624695	0.00809186	0.013187	0.0386904	0.115445	0.804758
a44	0.000328093	0.000629007	0.000980551	0.00247331	0.00766807	0.00899152	0.00833472	0.0107385	0.0125309	0.0169694	0.0399831	0.102088	0.788285
a70	0.000242285	0.000365185	0.000481556	0.0010078	0.00330095	0.00397002	0.00369761	0.0050831	0.00624337	0.0102772	0.0330387	0.102634	0.829658
a83	0.000448334	0.000643168	0.000695543	0.00110203	0.0033592	0.00410497	0.00416921	0.00547491	0.00646398	0.0105642	0.0344162	0.107094	0.821464
a99	0.000551694	0.00071565	0.0008174	0.00120399	0.00337991	0.00421212	0.00463243	0.00642631	0.007622	0.0124937	0.0377521	0.118142	0.802051
a44	0.000376202	0.000461967	0.00068276	0.00102862	0.0026337	0.00363692	0.00377416	0.00592838	0.00798783	0.012105	0.0329625	0.111648	0.816774
a26	0.000454149	0.000550019	0.00086902	0.00128788	0.00309648	0.00397446	0.00396926	0.00576985	0.007579	0.0107865	0.0277307	0.0934645	0.840468
a82	0.00739662	0.00623247	0.00710784	0.00859206	0.0140932	0.0181556	0.0179553	0.0236194	0.0309541	0.0337703	0.0475197	0.127999	0.656605
a87	0.0227056	0.0151967	0.0173305	0.0187456	0.0242325	0.0308908	0.039082	0.0537587	0.062719	0.063471	0.0730523	0.178893	0.399923
a97	0.0287731	0.0180967	0.0161101	0.0169554	0.0246427	0.044467	0.0743685	0.0970883	0.103704	0.0962781	0.0931621	0.173851	0.212503
a82	0.0286846	0.0236181	0.0238861	0.0240729	0.0380884	0.0681926	0.103558	0.123017	0.131722	0.10843	0.0916561	0.116098	0.118975
a87	0.032632	0.0261767	0.0266531	0.0314728	0.0584159	0.0916723	0.118164	0.134249	0.13239	0.102357	0.076414	0.0940497	0.0753537
a23	0.0205927	0.0250809	0.0296479	0.0328314	0.0579742	0.0873419	0.109747	0.120718	0.11657	0.0909689	0.0795701	0.105101	0.123857
a87	0.0549423	0.0447183	0.0371816	0.0272065	0.0434115	0.0719395	0.0937824	0.123823	0.108004	0.0969163	0.0954245	0.116511	0.0861398
</S>	0.0227779	0.0324011	0.0373796	0.0310788	0.0526755	0.0811587	0.103572	0.129081	0.115435	0.0945674	0.0939007	0.112719	0.0932532
