 	avant	de	rentrer	à	la	maison	le	pêcheur	a	mangé	une	partie	de	son	butin	</S>
a87	0.0214996	0.0193183	0.0209116	0.0229909	0.0295684	0.0390646	0.0559774	0.0953991	0.114542	0.103175	0.0900162	0.0840926	0.0749	0.0624966	0.0700274	0.0960205
a97	0.101644	0.0666104	0.0520209	0.0430851	0.0312877	0.0329891	0.0382202	0.061359	0.0703671	0.0651501	0.0643852	0.075849	0.0762323	0.0790606	0.0710592	0.0706805
a87	0.0837569	0.05673	0.0464948	0.0399828	0.0276192	0.0361235	0.04689	0.0728747	0.087506	0.0821398	0.0726754	0.0853002	0.0806895	0.0745965	0.0548392	0.0517815
a23	0.0594619	0.0440376	0.0411429	0.0410461	0.0331549	0.0448037	0.0560311	0.0870247	0.112462	0.100015	0.0861025	0.0917557	0.0778416	0.0568778	0.0383742	0.0298692
a79	0.0302649	0.0233115	0.0246238	0.029757	0.0276039	0.035584	0.0483999	0.0632969	0.0882151	0.0881676	0.0859494	0.110967	0.0985366	0.0818067	0.0786544	0.084861
a4	0.0161384	0.00988738	0.0101764	0.0137889	0.0128581	0.0203564	0.0320259	0.0555226	0.105807	0.110518	0.0929266	0.102724	0.0919824	0.0920224	0.0919372	0.141329
a90	0.00443765	0.00302495	0.00271746	0.00373442	0.00417042	0.0090785	0.0168629	0.0309241	0.0637426	0.0734956	0.0716664	0.105203	0.115491	0.148038	0.137469	0.209944
a44	0.00186749	0.00159819	0.00161759	0.00238544	0.00268155	0.00541341	0.00948033	0.0203819	0.045505	0.0526797	0.0599699	0.0992984	0.11511	0.152961	0.15491	0.27414
a79	0.00107049	0.000952821	0.000986814	0.00126773	0.00145058	0.00262975	0.00467981	0.0117669	0.0295411	0.0337628	0.0459116	0.0857987	0.114717	0.163332	0.174716	0.327416
a92	0.000745159	0.000705467	0.000784701	0.00109737	0.00165298	0.00393026	0.00698153	0.0184494	0.0375921	0.0334917	0.0426745	0.0702473	0.0953534	0.147281	0.212839	0.326174
a36	0.000513942	0.000502256	0.000553744	0.000674546	0.000924749	0.00211467	0.00395078	0.0110449	0.0251007	0.0234189	0.0365874	0.0757616	0.109869	0.167756	0.227896	0.313332
a47	0.00100649	0.000938333	0.000956667	0.00102774	0.0010187	0.00166372	0.00263266	0.00760838	0.0180476	0.0178582	0.0309635	0.066334	0.102858	0.168351	0.239469	0.339267
a62	0.00139325	0.00121304	0.00113947	0.00114969	0.00105713	0.00163678	0.0025626	0.00734026	0.0164688	0.0161479	0.0295954	0.0667417	0.105719	0.167635	0.249775	0.330424
a88	0.0025722	0.00258523	0.0026567	0.00302512	0.003133	0.00464936	0.00620216	0.0108208	0.0174753	0.0168072	0.0251757	0.0517862	0.0904439	0.149141	0.247788	0.365737
a54	0.00245407	0.00230269	0.00240979	0.00292585	0.00334806	0.00523583	0.00725	0.0119638	0.0166167	0.0152565	0.0183889	0.0313953	0.0561487	0.110716	0.229531	0.484056
a15	0.000369647	0.000382849	0.000480803	0.000647409	0.000864081	0.00167159	0.00254069	0.00599314	0.0131234	0.0112775	0.0166243	0.0334567	0.0649128	0.128902	0.252037	0.466716
a7	0.000900158	0.000964363	0.00118814	0.00163587	0.00199591	0.00357316	0.00434909	0.00740582	0.0150958	0.0125058	0.015936	0.028575	0.0509365	0.107082	0.227173	0.520683
a2	0.00618479	0.00625739	0.00686632	0.00902764	0.00849237	0.011055	0.0115244	0.0143767	0.0202431	0.0179443	0.0199869	0.0319724	0.050017	0.105743	0.222219	0.45809
a57	0.0373093	0.0291853	0.0255026	0.0346497	0.027353	0.0291196	0.0301418	0.0325876	0.0426011	0.0462602	0.045843	0.0573742	0.0727699	0.107931	0.160157	0.221214
a87	0.12166	0.0744115	0.0525546	0.0447559	0.0317241	0.0310899	0.0336193	0.0396304	0.0429249	0.0409313	0.0404332	0.0483906	0.0601956	0.0791246	0.116619	0.141935
a23	0.155413	0.10627	0.0777232	0.0595076	0.0334188	0.026269	0.0278656	0.0379686	0.0424195	0.0382274	0.0425862	0.0528848	0.0572294	0.066366	0.0802329	0.095618
a87	0.0473949	0.0307308	0.0234913	0.0204984	0.0124858	0.0118568	0.012693	0.0244939	0.0425941	0.0411539	0.0604798	0.0936769	0.0981766	0.132736	0.163225	0.184313
</S>	0.0204636	0.0145294	0.0122411	0.0140027	0.00895883	0.0103693	0.0124982	0.0263229	0.0457335	0.0382966	0.0406148	0.0505993	0.0494085	0.102228	0.176165	0.377569
