 	si	on	commence	le	travail	c'	est	bien	lui	qui	se	fatiguera	le	premier	</S>
a58	0.00325597	0.00289875	0.00324072	0.0046764	0.00628421	0.00722025	0.0104998	0.0160044	0.025082	0.0290226	0.0315945	0.0428583	0.0805927	0.351257	0.385512
a53	0.000954341	0.000905699	0.00121192	0.00240347	0.0047889	0.00806402	0.0145213	0.022657	0.0349755	0.0378561	0.0376892	0.0554775	0.0786373	0.291086	0.408772
a69	0.00344467	0.00310267	0.00315453	0.00444091	0.00613539	0.0101304	0.0171746	0.026239	0.0421915	0.0547848	0.0636523	0.0628891	0.0722092	0.242899	0.387552
a4	0.00112349	0.00123724	0.00173861	0.0035542	0.00606646	0.0110493	0.018478	0.0272494	0.0449177	0.0585977	0.0694044	0.0779465	0.0809546	0.236631	0.361051
a30	0.000766427	0.000872343	0.00121136	0.00248573	0.00448926	0.00866008	0.0144709	0.0216108	0.0357114	0.0444459	0.0512333	0.0651028	0.0847427	0.248351	0.415846
a4	0.000364554	0.000375243	0.000554674	0.00114679	0.00272759	0.00436847	0.00777454	0.0127446	0.0233656	0.0239482	0.0285132	0.0423635	0.0730631	0.279317	0.499373
a11	0.000498247	0.000576117	0.000833552	0.00168901	0.003412	0.00579748	0.00900173	0.0124571	0.0205015	0.0223853	0.0243582	0.0388308	0.0857118	0.290028	0.48392
a93	0.000542774	0.000664925	0.00103944	0.00181834	0.00387876	0.0059551	0.00879959	0.0121773	0.0200521	0.0206159	0.0210901	0.0397368	0.0865374	0.295815	0.481276
a70	0.000337659	0.000402672	0.000553502	0.00107266	0.00231095	0.0036748	0.0054	0.00741025	0.013009	0.0143971	0.0165569	0.0321358	0.069549	0.274395	0.558795
a13	0.00030685	0.000391886	0.000581801	0.000990231	0.00229245	0.00334393	0.00493605	0.0065658	0.0106066	0.0103176	0.0108599	0.0238034	0.0548591	0.236851	0.633294
a38	0.000413616	0.000483044	0.000696593	0.00114617	0.00280335	0.0047623	0.0080157	0.0119988	0.0196544	0.0187972	0.0221298	0.0420846	0.0752369	0.225173	0.566604
a50	0.000292682	0.000343804	0.000519097	0.000925483	0.00229694	0.00365319	0.00586157	0.00794561	0.0123158	0.0111648	0.014507	0.0353491	0.0863867	0.24988	0.568558
a70	0.000498124	0.000582882	0.000806756	0.00146158	0.00372956	0.0056824	0.00877684	0.0111146	0.0152323	0.01286	0.0146144	0.0357314	0.0858015	0.227671	0.575437
a93	0.000305719	0.00036535	0.000510613	0.00091307	0.00223081	0.00354381	0.00568869	0.00750437	0.0105146	0.00866907	0.00951438	0.0246671	0.0564675	0.208924	0.660181
a69	0.000290896	0.000346644	0.000480204	0.000845206	0.00187919	0.00296874	0.00466499	0.0061749	0.00925009	0.0084217	0.010084	0.0259464	0.0664783	0.234728	0.627441
a44	9.32245e-05	0.000114592	0.000177588	0.00034181	0.000818953	0.00135183	0.00209304	0.00260875	0.0043257	0.0041309	0.00601702	0.0190558	0.0618361	0.231346	0.665689
a57	0.000124271	0.000151867	0.000242734	0.000478939	0.00116253	0.00194816	0.00316237	0.00411435	0.00653998	0.0059763	0.00847492	0.0256692	0.0829499	0.221979	0.637025
a82	0.000421566	0.00039718	0.00048299	0.000656602	0.00160173	0.00216232	0.00383475	0.00575121	0.00896767	0.00688657	0.0106438	0.0264561	0.0776507	0.204776	0.649311
a99	0.0104065	0.00925332	0.0090788	0.00862121	0.0135887	0.0121969	0.0165636	0.0181098	0.0217443	0.0206201	0.0284257	0.0645128	0.156159	0.236759	0.37396
a87	0.034754	0.0277843	0.0264098	0.0200019	0.0270081	0.0218274	0.0266263	0.0295852	0.0363602	0.035016	0.042201	0.0875816	0.12278	0.176351	0.285714
a23	0.0861125	0.0714251	0.0737728	0.049982	0.0581746	0.045117	0.0517606	0.0507686	0.0636	0.0783425	0.0983277	0.0738191	0.0578844	0.062184	0.0787291
a87	0.04837	0.0373231	0.0402611	0.0326996	0.0394079	0.030978	0.0388949	0.0476427	0.0797622	0.0993089	0.104754	0.114071	0.0801202	0.0905264	0.11588
</S>	0.0199033	0.0160971	0.0210691	0.0212767	0.0338993	0.0327324	0.0495348	0.0629084	0.0865845	0.085125	0.0768906	0.0785999	0.0637807	0.123647	0.227952
