 	dans	ce	village	on	va	élire	le	chef	de	village	aujourd'	hui	</S>
a15	0.0210455	0.0358965	0.0918073	0.12035	0.14875	0.156635	0.0876032	0.0684335	0.0570573	0.0500199	0.0459077	0.0490707	0.0674227
a79	0.0166207	0.0283309	0.0743303	0.107705	0.135404	0.173892	0.099126	0.0828595	0.0595331	0.052874	0.0480847	0.0533036	0.0679363
a7	0.0117372	0.0190287	0.055506	0.0951618	0.133054	0.152965	0.0987977	0.0846274	0.0650217	0.0565212	0.0538922	0.0698195	0.103868
a93	0.0139175	0.018178	0.0492226	0.0849909	0.125412	0.135426	0.109548	0.0982087	0.0783457	0.057769	0.0550062	0.0690265	0.10495
a4	0.0187751	0.0212026	0.0455404	0.0699903	0.100404	0.135831	0.110256	0.105802	0.0939774	0.0733726	0.0663617	0.0697664	0.0887204
a57	0.0130679	0.0153823	0.0331551	0.0526591	0.081496	0.141111	0.109831	0.11672	0.103953	0.0828043	0.0736379	0.0779134	0.0982682
a58	0.00964484	0.0109935	0.0250253	0.0396226	0.0628606	0.114848	0.0915457	0.101765	0.10797	0.0875259	0.0851477	0.0949399	0.168111
a13	0.00567762	0.0056076	0.0147832	0.0254695	0.0453655	0.0820677	0.0818847	0.112983	0.114225	0.0955271	0.0944277	0.116417	0.205564
a4	0.00705083	0.00567751	0.0120121	0.0206742	0.0380023	0.060564	0.0621494	0.0803284	0.0857377	0.0770826	0.0933621	0.148705	0.308654
a13	0.00515847	0.00603423	0.0138236	0.0225093	0.0372061	0.054652	0.0583343	0.086523	0.105197	0.114784	0.124447	0.151796	0.219535
a24	0.00256864	0.00249072	0.00552528	0.0110593	0.0220377	0.0313981	0.0320345	0.0489695	0.0693801	0.0947783	0.136491	0.20248	0.340787
a31	0.00347312	0.00305804	0.00587499	0.0117044	0.0261328	0.0298912	0.0287653	0.0376591	0.0566861	0.0904734	0.137678	0.21944	0.349164
a75	0.00287763	0.00260043	0.00494851	0.00984482	0.0205506	0.0232806	0.0227244	0.0311985	0.0488419	0.0852273	0.145122	0.237154	0.365629
a79	0.00341617	0.00470098	0.0124023	0.0222829	0.0382851	0.0485117	0.0404167	0.0546342	0.0635374	0.0813912	0.106909	0.188342	0.33517
a7	0.000716814	0.00117932	0.00422277	0.00880929	0.0172648	0.0249556	0.0216205	0.0320874	0.0526391	0.0902016	0.134247	0.235464	0.376591
a53	0.00071965	0.0008239	0.00236339	0.00570528	0.013587	0.0110601	0.0154004	0.0228652	0.0398286	0.0822228	0.144068	0.265164	0.396193
a93	0.000546339	0.000727098	0.00221304	0.00537915	0.0117121	0.0108382	0.0172491	0.0293433	0.0522943	0.111306	0.176585	0.260453	0.321353
a94	0.000492376	0.00054982	0.00127958	0.0028188	0.00583523	0.00862429	0.00801024	0.012064	0.0251359	0.0607468	0.134708	0.298113	0.441622
a96	0.000440646	0.000514238	0.00125681	0.0031531	0.00741511	0.0104532	0.00977164	0.0140532	0.0263374	0.0656771	0.141542	0.312958	0.406427
a66	0.000769532	0.000860257	0.00160502	0.00336742	0.00732278	0.0101695	0.0093899	0.0135536	0.0252794	0.0649737	0.139962	0.299384	0.423362
a20	0.00188977	0.00234625	0.00472261	0.00858131	0.0181999	0.019281	0.0196757	0.0221624	0.0418903	0.0828787	0.14331	0.283743	0.351318
a7	0.000997981	0.00118855	0.00285192	0.00594465	0.013714	0.0148196	0.0186712	0.0299475	0.047257	0.1037	0.170831	0.26653	0.323547
a84	0.00126361	0.00166415	0.00363808	0.00657996	0.0142489	0.0160975	0.0166479	0.0205493	0.0363681	0.0850576	0.149039	0.286597	0.362249
a87	0.0212027	0.0205904	0.0268313	0.0358568	0.0455043	0.0272624	0.0338068	0.0369664	0.0598281	0.115411	0.153796	0.214142	0.208803
</S>	0.146478	0.0872388	0.0616686	0.0577841	0.053559	0.048688	0.0551494	0.0534262	0.0640652	0.0868336	0.0927869	0.103185	0.0891374
