 	le	feuillage	des	arbres	est	encore	couvert	de	rosée	attends	que	le	soleil	brille	pour	qu'	on	puisse	partir	</S>
a23	0.0538826	0.0251074	0.0200155	0.0246163	0.0248465	0.0391722	0.0355968	0.0525539	0.0223723	0.0179206	0.0229048	0.0390622	0.0550881	0.084478	0.102731	0.104618	0.0815634	0.0587973	0.0605982	0.0740746
a13	0.0132637	0.00931384	0.00906123	0.0114378	0.0112158	0.0167772	0.0180624	0.0259729	0.012601	0.0110651	0.0171563	0.0382662	0.0531103	0.0747802	0.105703	0.117354	0.10358	0.107411	0.109747	0.134121
a70	0.00110811	0.00105837	0.00126971	0.00261518	0.00475628	0.0127059	0.0207479	0.0512725	0.0267561	0.0249586	0.0300719	0.0453982	0.0505514	0.0460575	0.0560234	0.070085	0.113782	0.13661	0.144477	0.159695
a54	0.00206859	0.00245883	0.00299138	0.00452333	0.00425901	0.00715786	0.00952195	0.0216669	0.0143852	0.0167922	0.021363	0.0260948	0.0268621	0.0274663	0.0334208	0.0394495	0.0805505	0.164217	0.229713	0.265038
a47	0.00128708	0.00195219	0.00182815	0.00401907	0.00670317	0.0125074	0.0151615	0.0240361	0.0174468	0.0153511	0.019329	0.0258887	0.033767	0.0398505	0.0565935	0.0597838	0.0709766	0.11214	0.198373	0.283006
a79	0.000430606	0.000808065	0.000955058	0.00312708	0.00735493	0.0167495	0.0209093	0.0317786	0.0250744	0.0197391	0.0258854	0.0310097	0.0367326	0.0375599	0.0446775	0.0485638	0.0767891	0.131436	0.198251	0.242169
a94	0.00107991	0.00159296	0.00154492	0.00407784	0.0077303	0.0156769	0.0199559	0.0295414	0.0278903	0.0257404	0.0380225	0.0363023	0.0395608	0.0396488	0.0399665	0.0416322	0.0673769	0.127895	0.200439	0.234325
a56	0.00110853	0.00121563	0.00143726	0.00314689	0.00534725	0.0094992	0.0147294	0.0254097	0.0191649	0.023735	0.0381074	0.0291775	0.029388	0.0347099	0.0372297	0.0433883	0.079954	0.155291	0.218779	0.229182
a43	0.000749106	0.000812688	0.000986866	0.00229328	0.00349461	0.00541289	0.00822572	0.0138335	0.0111862	0.0181631	0.0324625	0.0291191	0.0315738	0.0377757	0.0418196	0.0457634	0.0757463	0.145746	0.23928	0.255556
a75	0.00134809	0.00121104	0.00125672	0.00256377	0.00387736	0.00622278	0.00856718	0.0139825	0.0116645	0.0157724	0.0248249	0.0262194	0.0262559	0.0243778	0.0300067	0.0378332	0.0698881	0.161942	0.249535	0.28265
a25	0.00025291	0.00024777	0.000259435	0.000607123	0.0011478	0.0024628	0.00390859	0.00731703	0.00658437	0.011624	0.0227572	0.0276315	0.0354923	0.0380588	0.0396328	0.0369499	0.0577248	0.106362	0.255555	0.345424
a69	0.000168115	0.000176082	0.000166027	0.000363811	0.000585661	0.0013893	0.00229909	0.00471847	0.00535452	0.0110632	0.0284351	0.0312681	0.0368254	0.0331741	0.0281894	0.0233842	0.0389698	0.0807486	0.258479	0.414242
a98	0.000702884	0.000736008	0.000739497	0.00139126	0.00202477	0.00487936	0.00735115	0.0165685	0.0132659	0.0196471	0.0334221	0.0358069	0.0430062	0.0458502	0.0379225	0.0333936	0.0453388	0.0832351	0.214676	0.360042
a47	0.000241082	0.000304426	0.000346601	0.000861537	0.00115011	0.00347745	0.00574489	0.0127368	0.0107399	0.0167532	0.0278529	0.029238	0.03411	0.0362322	0.0358059	0.0324248	0.0499302	0.0884497	0.23547	0.37813
a92	0.000141014	0.00016297	0.000190149	0.000523638	0.000609504	0.0018544	0.00253925	0.00669081	0.00593221	0.0131272	0.0353017	0.0514281	0.0566918	0.062317	0.0440608	0.0320962	0.044215	0.0769724	0.214207	0.350938
a6	0.000164637	0.000165346	0.000161308	0.00035532	0.00054746	0.00161167	0.0023653	0.00523306	0.0048573	0.00903643	0.022742	0.0301494	0.0365339	0.0440349	0.0401068	0.0335354	0.0522111	0.0952401	0.245595	0.375353
a36	0.00016389	0.000168881	0.000178577	0.000495183	0.000791656	0.0021884	0.00250487	0.00545071	0.00641559	0.0134319	0.0292833	0.0361994	0.0458251	0.0486517	0.0398157	0.0310668	0.0460264	0.0881493	0.24564	0.357552
a2	0.000848088	0.000820828	0.000933238	0.00195402	0.00241652	0.00554344	0.00626215	0.015452	0.0150087	0.0233192	0.042993	0.0430206	0.0459958	0.0371385	0.0250451	0.0214474	0.0363743	0.098028	0.24485	0.332549
a57	0.0357278	0.0310142	0.0308632	0.0325781	0.0273053	0.035745	0.030086	0.0656736	0.0601349	0.049668	0.0500399	0.0449777	0.0450333	0.0364316	0.0352582	0.0320148	0.0458734	0.055533	0.103615	0.152427
a87	0.148833	0.0734344	0.0585645	0.0528374	0.034896	0.0387241	0.0286332	0.0452666	0.0518934	0.0381644	0.0379864	0.0369384	0.0305532	0.0276684	0.0341452	0.0344049	0.0392649	0.0433268	0.0619958	0.0824695
a23	0.137922	0.0621049	0.0438886	0.0386013	0.0313014	0.0402604	0.0343088	0.057236	0.0505173	0.0312359	0.0222383	0.0213561	0.018272	0.0236346	0.0370817	0.0426227	0.0486939	0.0555305	0.0782913	0.124902
a40	0.0325734	0.0221517	0.0156906	0.0138059	0.0108727	0.0177667	0.0142867	0.0255683	0.0224209	0.0178621	0.0191588	0.0223642	0.0200336	0.0289358	0.044162	0.0573465	0.0911707	0.129895	0.152898	0.241036
a6	0.00697882	0.00541221	0.00514964	0.00711693	0.00613849	0.0108145	0.0138773	0.0275675	0.0193524	0.0202326	0.0290712	0.0452994	0.047381	0.0484678	0.0626234	0.0694917	0.0840703	0.12464	0.167587	0.198728
a37	0.000369861	0.000530252	0.000575771	0.000977363	0.00124528	0.00382638	0.00691298	0.020155	0.0119816	0.0120003	0.0157247	0.0204892	0.0279589	0.0290081	0.0497976	0.0599066	0.0896961	0.124213	0.227139	0.297491
a5	0.000275829	0.000398856	0.000399422	0.000636943	0.000937608	0.00211622	0.00311057	0.00792808	0.00528	0.00739432	0.0114266	0.014008	0.0178883	0.0208648	0.03724	0.0485624	0.0839941	0.144431	0.265956	0.327151
a18	0.000220996	0.000228341	0.000222134	0.000422144	0.000675918	0.00133046	0.00183486	0.00423985	0.0028507	0.00478138	0.00857544	0.0109006	0.014347	0.0174311	0.0275208	0.0350263	0.0722201	0.146733	0.310809	0.33963
a27	0.000612833	0.000832334	0.000768756	0.00133522	0.00200503	0.00382025	0.00475361	0.00857753	0.00699228	0.00846843	0.0122381	0.0146831	0.0163488	0.0164591	0.0251499	0.0336083	0.0618506	0.137319	0.285964	0.358213
a82	0.00773721	0.00563169	0.00535811	0.00522458	0.00539722	0.00864007	0.0153828	0.0300885	0.0189728	0.015756	0.016344	0.0220847	0.0241998	0.0240947	0.0377197	0.050653	0.0860401	0.133349	0.216734	0.270593
a87	0.024733	0.0123776	0.0104058	0.0114172	0.0114105	0.019775	0.018963	0.0292633	0.0261635	0.0246273	0.0299606	0.0348075	0.0375115	0.0325328	0.0443642	0.0550574	0.076237	0.104192	0.167568	0.228633
a23	0.0615837	0.0252131	0.0196398	0.021522	0.0203896	0.0300177	0.0276815	0.0419809	0.03541	0.0295002	0.0344413	0.0364587	0.0347226	0.0381168	0.0487576	0.0517793	0.0585939	0.0718627	0.118083	0.194246
a87	0.019256	0.0118971	0.00764463	0.00644791	0.00479242	0.00762527	0.00699915	0.0141751	0.0136783	0.0190065	0.0253508	0.029361	0.0281411	0.0338259	0.0369612	0.036825	0.0607666	0.099425	0.192868	0.344953
</S>	0.0107081	0.00737624	0.00512252	0.00579397	0.00522319	0.00991888	0.00809075	0.0152736	0.0133084	0.0202849	0.033895	0.0377771	0.0399444	0.0406206	0.0307319	0.026762	0.0394711	0.0693624	0.18018	0.400155
