 	tous	les	habitants	d'	ongondza	se	sont	levés	pour	aller	accueillir	le	chef	</S>
a56	0.0153979	0.0240072	0.0670963	0.0645776	0.105298	0.0848923	0.102646	0.0983893	0.0653433	0.0637373	0.0521865	0.0546196	0.075685	0.126124
a12	0.0158856	0.021209	0.0491264	0.049344	0.0931577	0.0831949	0.0964696	0.101228	0.0730935	0.0742384	0.0639149	0.0667367	0.0849842	0.127417
a54	0.014444	0.0207851	0.0512018	0.0516046	0.0916285	0.0779442	0.0889552	0.0946233	0.0667312	0.0714199	0.0641789	0.0690517	0.0915644	0.145867
a37	0.00740558	0.0116247	0.0261216	0.0289554	0.0657495	0.0618868	0.0691112	0.0773298	0.0680829	0.0859602	0.0864965	0.0949226	0.123468	0.192886
a70	0.00458177	0.0071406	0.0181304	0.021261	0.0545169	0.0539164	0.0655641	0.0739362	0.0589857	0.0793887	0.087171	0.0987513	0.139845	0.236811
a54	0.00342029	0.00569613	0.0144099	0.0175031	0.0435315	0.0449261	0.0552601	0.0665301	0.0531247	0.0747295	0.0837241	0.0975478	0.15359	0.286007
a44	0.00787316	0.0112018	0.0240378	0.027796	0.062778	0.0647706	0.0698505	0.0784686	0.0675958	0.0801503	0.0804589	0.0906553	0.125871	0.208492
a34	0.00171898	0.0030416	0.0077378	0.0111264	0.0315983	0.0434706	0.0515192	0.0646654	0.066459	0.100256	0.11313	0.115618	0.152004	0.237654
a93	0.00286805	0.00398501	0.0072102	0.00904132	0.025931	0.0321518	0.0371371	0.0524178	0.0480823	0.074075	0.0910028	0.117543	0.187874	0.31068
a4	0.00230486	0.0035604	0.00716746	0.00865503	0.0228318	0.0269415	0.031127	0.0412911	0.0386974	0.0649209	0.088946	0.120115	0.20022	0.343222
a44	0.00122318	0.00204137	0.00408461	0.00513856	0.0142978	0.0187167	0.0219701	0.0329048	0.0318577	0.0652485	0.0992936	0.127016	0.21673	0.359476
a30	0.000444551	0.000828275	0.00193633	0.00284141	0.00891906	0.0136282	0.0169977	0.0306413	0.030179	0.0675103	0.102356	0.132189	0.216897	0.374632
a4	0.00145336	0.0015283	0.00232005	0.0036756	0.0155086	0.0236959	0.0243801	0.0498696	0.0417674	0.0811273	0.101695	0.121243	0.195807	0.335929
a99	0.000666233	0.00106865	0.0021102	0.0036315	0.0155404	0.0221984	0.0262468	0.0524921	0.0465404	0.0853641	0.115446	0.135483	0.193877	0.299335
a38	0.000847882	0.00110579	0.00206588	0.00330418	0.0158308	0.0207417	0.0226262	0.0482656	0.0443162	0.0860493	0.110703	0.124099	0.193273	0.326772
a82	0.00113451	0.00143868	0.00210716	0.00321973	0.0141012	0.019791	0.0213676	0.0439984	0.0427916	0.078535	0.107822	0.126485	0.198906	0.338303
a10	0.00639679	0.0043451	0.00336694	0.00497044	0.0156092	0.0299709	0.0301193	0.0532887	0.05531	0.0985774	0.127119	0.125347	0.17517	0.27041
a82	0.0191727	0.0117808	0.00870664	0.0132858	0.0328135	0.055834	0.0527975	0.0745093	0.0779903	0.106733	0.131089	0.120551	0.13238	0.162357
a3	0.0274521	0.0195848	0.0254806	0.0361157	0.0655922	0.0758761	0.065339	0.0730101	0.0730911	0.0889396	0.105333	0.101235	0.108341	0.13461
a82	0.0397811	0.0379179	0.0614516	0.0650189	0.091195	0.0734046	0.059806	0.062997	0.0629198	0.0754168	0.0819	0.0770212	0.0873059	0.123864
a97	0.0399172	0.0382618	0.0660556	0.0675712	0.0942343	0.0720617	0.0595611	0.0646706	0.0617614	0.0769562	0.0832161	0.0743714	0.0818497	0.119512
a3	0.0456062	0.0403501	0.0620926	0.0641531	0.0796678	0.066315	0.0547659	0.0594655	0.0591585	0.0729499	0.0826968	0.0765903	0.0919251	0.144263
a82	0.0740359	0.0586586	0.0782678	0.0702451	0.0773521	0.0638123	0.0513458	0.0532773	0.0558008	0.0650741	0.0737409	0.0669205	0.0797004	0.131768
a10	0.0808731	0.0610478	0.0761237	0.0674241	0.074546	0.0597708	0.0492924	0.0532327	0.051266	0.0665038	0.076241	0.0677196	0.0801183	0.13584
a82	0.0815189	0.0595451	0.0760472	0.0673653	0.0716222	0.0602299	0.0489984	0.0520712	0.0520435	0.0633775	0.0753385	0.0662759	0.0822027	0.143364
a9	0.0829683	0.0676919	0.0726231	0.0603344	0.0610006	0.056747	0.0395434	0.042158	0.0513979	0.0627372	0.0777153	0.0667668	0.0921	0.166216
</S>	0.0737063	0.0557227	0.057474	0.0481751	0.0505883	0.047631	0.034463	0.0391531	0.0476846	0.0627786	0.0796857	0.0727114	0.110176	0.22005
