 	ton	enfant-ci	souffre	de	la	rougeole	il	risque	de	contaminer	les	autres	</S>
a75	0.00243935	0.00321862	0.00615558	0.0105807	0.0167684	0.0253406	0.0329692	0.0475367	0.060767	0.105135	0.154112	0.229506	0.305471
a6	0.00375327	0.00582509	0.0112093	0.017223	0.028635	0.0410875	0.0552601	0.0821641	0.0922488	0.109992	0.120592	0.171162	0.260848
a7	0.00257855	0.00492353	0.0117229	0.0211661	0.0349466	0.0490479	0.0583635	0.0578779	0.0718706	0.0973342	0.129426	0.196231	0.264511
a2	0.00258686	0.00476995	0.0117973	0.0200259	0.0299638	0.0448562	0.0407635	0.0471144	0.0566031	0.0692289	0.110851	0.225994	0.335445
a13	0.00385343	0.00500442	0.00873913	0.0147827	0.0269493	0.0454247	0.0561675	0.0860991	0.0898262	0.0911358	0.13958	0.190623	0.241815
a70	0.00303513	0.00339565	0.00544633	0.00952637	0.0175013	0.0351441	0.0449012	0.0783574	0.0870322	0.0974912	0.1479	0.21346	0.25681
a0	0.000731101	0.000990483	0.00199188	0.00397066	0.00772032	0.0143157	0.0163073	0.0299778	0.0392618	0.057094	0.106311	0.274758	0.446569
a75	0.0011616	0.00144987	0.00238124	0.00474648	0.010664	0.0224748	0.0289854	0.0510865	0.0554719	0.0699469	0.116994	0.252933	0.381705
a47	0.000314035	0.000433103	0.000982708	0.00159017	0.00356854	0.00612237	0.00923997	0.0230622	0.0341703	0.0515437	0.0973353	0.270587	0.501051
a7	0.000379024	0.000446883	0.000906657	0.00161784	0.0039647	0.00746479	0.0133067	0.024108	0.0250464	0.0299093	0.0685725	0.23739	0.586888
a26	0.000720933	0.000711885	0.00108735	0.00167476	0.00371669	0.00637609	0.010209	0.014216	0.0167533	0.0224289	0.0651746	0.252929	0.604002
a61	0.0143981	0.0105917	0.0100064	0.0136595	0.0172012	0.0198829	0.0334319	0.0511202	0.0561229	0.066765	0.114646	0.235459	0.356715
a36	0.000828632	0.000783154	0.00094456	0.00140763	0.00267146	0.00476906	0.00912993	0.0212176	0.0278579	0.0411106	0.0731056	0.260046	0.556127
a27	0.00526329	0.00421447	0.00457932	0.00635869	0.0100996	0.0135	0.0240494	0.0403351	0.0426013	0.0491946	0.0780582	0.242578	0.479168
a82	0.0468553	0.0307002	0.0292592	0.0363114	0.0420908	0.0401508	0.0464291	0.0372173	0.0332554	0.0329475	0.088449	0.218725	0.317609
a87	0.102732	0.0470203	0.0322765	0.0306994	0.0331157	0.0310359	0.0380059	0.0286663	0.028858	0.0348125	0.10085	0.208409	0.283518
a82	0.0870578	0.046898	0.03039	0.0253025	0.0265664	0.0249919	0.0343901	0.0315188	0.0407965	0.0471379	0.129232	0.207489	0.268229
a10	0.0881483	0.0528575	0.0417663	0.0323275	0.0397374	0.0365052	0.0507511	0.0560507	0.066078	0.0754325	0.12389	0.143327	0.193128
a87	0.0969654	0.0650828	0.0581371	0.0464651	0.0540356	0.0501504	0.0626349	0.0588732	0.0645465	0.060789	0.0915712	0.116182	0.174567
a23	0.0925454	0.0732636	0.0722306	0.0551382	0.0601045	0.0507684	0.0598906	0.0531975	0.059562	0.0609563	0.0914047	0.109693	0.161245
a87	0.0318662	0.0164993	0.0188136	0.01166	0.0187988	0.0155538	0.0218689	0.014819	0.0183382	0.0445559	0.160259	0.256863	0.370105
</S>	0.0207603	0.0110293	0.0112786	0.00702012	0.0128593	0.0123369	0.021705	0.017796	0.0202799	0.045625	0.136013	0.237278	0.446019
