 	va	jusqu'	à	la	prochaine	bifurcation	et	prends	à	gauche	</S>
a41	0.0345174	0.0314578	0.0537494	0.0852202	0.0971835	0.151313	0.109019	0.080197	0.0839054	0.0997274	0.173711
a94	0.0200249	0.0220032	0.0431696	0.0631597	0.0711629	0.119613	0.0983682	0.0804269	0.0940786	0.131356	0.256637
a98	0.0166303	0.0159385	0.0327255	0.0522538	0.0573941	0.0887101	0.0916499	0.0874118	0.0996944	0.137367	0.320225
a24	0.0190693	0.0189913	0.0362721	0.0512078	0.057248	0.081376	0.0916285	0.088519	0.0979664	0.142023	0.315699
a98	0.0146633	0.0140841	0.027718	0.0430933	0.0465795	0.0629447	0.060914	0.0759405	0.0938574	0.161741	0.398464
a71	0.0115463	0.0116398	0.024055	0.0408501	0.0485846	0.0627518	0.0781709	0.090256	0.113413	0.171849	0.346884
a38	0.0182771	0.0159444	0.025431	0.0419202	0.0511101	0.0537742	0.0668576	0.103409	0.11576	0.170141	0.337375
a24	0.0184141	0.0142317	0.0214634	0.035765	0.0452375	0.0449595	0.0569015	0.0944134	0.121342	0.198791	0.348481
a31	0.0132398	0.00984127	0.0165247	0.0292767	0.0334632	0.0381127	0.0535373	0.0760168	0.104487	0.187374	0.438127
a24	0.0225576	0.0227982	0.0314094	0.0437983	0.0479742	0.0545763	0.068314	0.0830442	0.0963529	0.152133	0.377043
a9	0.0150753	0.0155294	0.0210922	0.0292076	0.031185	0.0367388	0.0428099	0.0618274	0.0785113	0.162513	0.50551
a87	0.00668406	0.00752088	0.0129597	0.018769	0.0197547	0.0194308	0.0214171	0.0420845	0.0596163	0.188704	0.603059
a23	0.0057434	0.00624277	0.00673336	0.00665266	0.007175	0.00916697	0.0163846	0.0409975	0.0653353	0.235861	0.599707
a79	0.00954615	0.00891991	0.00744086	0.00482398	0.003975	0.00415056	0.00751159	0.0126664	0.0393577	0.220301	0.681307
a90	0.0126723	0.00900272	0.00809627	0.0110947	0.0128885	0.0132464	0.0187236	0.0220035	0.0637949	0.255601	0.572877
a38	0.0138659	0.011354	0.0147185	0.0221737	0.0232063	0.0254579	0.0393183	0.0461586	0.0813064	0.206662	0.515779
a10	0.00624279	0.00524977	0.00784667	0.0120432	0.011626	0.0106878	0.0169813	0.0253105	0.0524462	0.185266	0.6663
a11	0.0014038	0.00133688	0.00211602	0.00294102	0.00301597	0.00292542	0.005044	0.0103793	0.0292628	0.181294	0.760281
a76	0.00284382	0.00237355	0.002912	0.00417741	0.00437076	0.0044402	0.00804673	0.0160614	0.040501	0.197972	0.716301
a73	0.00769184	0.00779481	0.0127157	0.018343	0.0184447	0.0149681	0.0261968	0.0429883	0.0738402	0.179245	0.597771
a84	0.00207218	0.0021044	0.00368421	0.00586431	0.00664667	0.00552458	0.00891171	0.0172123	0.0373461	0.16717	0.743464
a53	0.00189775	0.00228334	0.00330441	0.00319261	0.00309887	0.00277606	0.00498454	0.0117284	0.0253161	0.15234	0.789078
a90	0.0048927	0.0040036	0.00527381	0.00776251	0.00753563	0.0073574	0.0119999	0.0265076	0.0507035	0.187928	0.686036
a57	0.00387544	0.00423527	0.00648061	0.0105453	0.0103411	0.00974959	0.0165163	0.0340606	0.0599178	0.172067	0.672211
a53	0.00193155	0.00212898	0.00386907	0.00613536	0.00637206	0.00577728	0.0086445	0.0192822	0.0373638	0.162599	0.745896
a90	0.00291815	0.00275407	0.00428123	0.00659699	0.00635783	0.00563703	0.00774874	0.0181307	0.0334616	0.149433	0.76268
a54	0.00643193	0.00627152	0.00884668	0.0137524	0.012581	0.0107169	0.0158235	0.0337399	0.057502	0.164222	0.670112
a41	0.0100693	0.00946506	0.0154922	0.0271383	0.0255649	0.0200087	0.0197211	0.0322697	0.0535896	0.14747	0.639211
a66	0.00927506	0.00823632	0.012897	0.0243518	0.0262305	0.0231195	0.0276404	0.0478024	0.0724536	0.174127	0.573866
a76	0.00635011	0.0051003	0.00800833	0.0134922	0.0143052	0.0108179	0.0158307	0.0293621	0.0545292	0.17882	0.663384
a25	0.0130939	0.013048	0.0204885	0.0347654	0.0385486	0.0284993	0.0370476	0.0596272	0.0850731	0.17059	0.499219
a47	0.00412906	0.00378138	0.00587652	0.00974677	0.0114474	0.00924634	0.0141644	0.0286521	0.0540319	0.195232	0.663692
a12	0.00948832	0.0082874	0.0133084	0.0263144	0.0340239	0.0305152	0.0373386	0.0608446	0.0926566	0.18603	0.501193
a41	0.0134311	0.0111397	0.0165728	0.0235484	0.0256428	0.0220601	0.0317631	0.0577479	0.0859534	0.178435	0.533706
a90	0.0102597	0.0091751	0.0137032	0.0227906	0.0266869	0.023629	0.0364334	0.0661931	0.0993685	0.215947	0.475813
a4	0.0118339	0.01208	0.0165878	0.0255083	0.0291935	0.0254006	0.0386006	0.0726974	0.106582	0.203125	0.45839
a93	0.00782661	0.00691248	0.0107697	0.0183493	0.0195074	0.0178476	0.0227172	0.0418562	0.0647495	0.178229	0.611235
a56	0.00586177	0.00530903	0.00770047	0.0139922	0.0156777	0.0159584	0.0234474	0.0492382	0.0733075	0.184829	0.604679
a43	0.0114988	0.0088676	0.0129389	0.019006	0.0183912	0.0167126	0.021056	0.0418124	0.0612261	0.164744	0.623746
a32	0.00519866	0.00385006	0.00589551	0.00959796	0.00884853	0.00692319	0.00928757	0.0192959	0.0417141	0.178037	0.711351
a11	0.00342982	0.00299638	0.00460457	0.00702201	0.00660031	0.00523624	0.00727325	0.0142974	0.0321345	0.155917	0.760488
a94	0.00416352	0.00377391	0.0055188	0.00740149	0.00610504	0.0047401	0.00578793	0.0126038	0.0293694	0.165469	0.755067
a25	0.00717232	0.0062359	0.00870834	0.011562	0.00981779	0.00703683	0.00950061	0.0186227	0.0372033	0.157773	0.726367
a87	0.00757064	0.00625919	0.00861206	0.010806	0.00970602	0.0072391	0.00878516	0.0165895	0.0321216	0.150956	0.741355
</S>	0.00665905	0.00648172	0.00954196	0.00829166	0.00638909	0.00379049	0.00507488	0.0128742	0.0394227	0.187613	0.713861
