 	la	construction	du	bâtiment	de	l'	école	concerne	tout	le	village	</S>
a21	0.00400761	0.00366027	0.00642038	0.0106369	0.0266148	0.0861041	0.167151	0.254104	0.135502	0.113204	0.103334	0.0892609
a5	0.00455726	0.00407847	0.00585715	0.00987413	0.019556	0.0506358	0.0900079	0.191703	0.142681	0.151478	0.169832	0.159739
a18	0.002566	0.00201098	0.00322492	0.00566085	0.0148077	0.0507406	0.111	0.196138	0.126954	0.142308	0.172863	0.171727
a53	0.00175901	0.00105776	0.00154497	0.00281516	0.00845096	0.0333848	0.0810165	0.187609	0.185021	0.183939	0.15208	0.161322
a90	0.00228425	0.00201861	0.00265513	0.00367021	0.00640384	0.0196383	0.0509979	0.158483	0.168932	0.179828	0.190527	0.214562
a79	0.00131257	0.00123813	0.00186145	0.00322754	0.00580844	0.0163649	0.0367558	0.118924	0.15085	0.18925	0.218642	0.255766
a37	0.000507878	0.000589428	0.00118256	0.00267948	0.00444756	0.0105744	0.0228407	0.0880338	0.118491	0.170834	0.23894	0.34088
a83	0.000321384	0.000295665	0.000432724	0.000668578	0.00123445	0.00417001	0.0106018	0.0409647	0.0884812	0.197329	0.28291	0.37259
a88	0.000204841	0.000173542	0.000263872	0.00038459	0.00073762	0.00272296	0.00690865	0.0253558	0.0697042	0.175643	0.298582	0.419319
a71	0.000165045	0.000112608	0.000184848	0.000263818	0.000519935	0.00194005	0.00552171	0.0206737	0.0696202	0.16809	0.308594	0.424314
a75	0.000401339	0.000174301	0.000250848	0.000499636	0.000817737	0.00198824	0.00559337	0.0233572	0.0765476	0.173063	0.31027	0.407037
a6	3.82104e-05	3.92567e-05	7.02039e-05	0.00012294	0.000168424	0.000524826	0.00145866	0.0061346	0.0306777	0.113752	0.304416	0.542597
a36	1.72032e-05	1.79189e-05	3.82476e-05	9.28322e-05	0.000144754	0.000447156	0.00106811	0.00423902	0.0202723	0.0838505	0.281913	0.6079
a7	0.000626298	0.000272282	0.000452403	0.00125043	0.00175352	0.00292476	0.00589229	0.0184689	0.0577271	0.136072	0.307904	0.466656
a53	0.000434332	0.000213133	0.000371739	0.00116971	0.00163342	0.00228345	0.00384721	0.00999	0.0382122	0.11674	0.319762	0.505343
a79	8.25201e-05	5.54569e-05	0.000111219	0.000210503	0.000299898	0.000645873	0.00144455	0.00514531	0.0305782	0.0995086	0.291585	0.570332
a44	0.00010662	5.18053e-05	0.000114973	0.000347952	0.00054531	0.00101256	0.00206434	0.00738915	0.0378938	0.115107	0.312115	0.523252
a11	0.000122899	6.42805e-05	0.000138679	0.000397958	0.000620641	0.00106617	0.0021749	0.00743717	0.0346693	0.113946	0.316519	0.522843
a58	0.000337521	0.000181092	0.000381424	0.00107208	0.00158307	0.00239197	0.00443243	0.0164958	0.0512216	0.130481	0.308425	0.482997
a82	0.003157	0.00208949	0.00312324	0.00768032	0.0102413	0.0119458	0.014335	0.0344771	0.0628722	0.136526	0.297882	0.415671
a97	0.0363599	0.0334356	0.0278089	0.0322147	0.0406393	0.0423641	0.0375465	0.066575	0.0834903	0.132045	0.202558	0.264962
a87	0.0700285	0.0505797	0.040105	0.0396935	0.0475722	0.0545009	0.0511323	0.0741154	0.0989481	0.140748	0.157243	0.175334
a97	0.0459916	0.0278257	0.0233096	0.0217976	0.030764	0.0436557	0.049486	0.083797	0.115708	0.169227	0.188526	0.199912
a87	0.0269107	0.0153572	0.0137383	0.0182731	0.0270806	0.0382044	0.0551239	0.111023	0.115762	0.155577	0.183107	0.239843
a97	0.016009	0.00991219	0.00994183	0.018449	0.0293582	0.0555626	0.0852235	0.127412	0.11025	0.135223	0.166072	0.236586
a87	0.0131036	0.0105995	0.0145616	0.0262895	0.0428814	0.0776754	0.10542	0.12916	0.107559	0.121142	0.138276	0.213332
a97	0.0060298	0.00467252	0.00673336	0.0127118	0.0191876	0.0373152	0.0586803	0.0855266	0.0979267	0.145374	0.196934	0.328908
a30	0.0100116	0.00843813	0.0127932	0.0196749	0.034118	0.0572001	0.0774012	0.0957677	0.100706	0.135301	0.165723	0.282866
</S>	0.00764882	0.00559173	0.00839301	0.010696	0.0176374	0.0325526	0.0487991	0.0678221	0.087409	0.144047	0.203684	0.36572
