 	dans	ce	village	on	ne	veut	plus	de	cette	femme	parce	qu'	elle	est	trop	arrogante	</S>
a27	0.00826871	0.00695878	0.00922199	0.0121878	0.0167705	0.0230851	0.037989	0.0531916	0.0790292	0.0895911	0.0986243	0.0863353	0.0698372	0.0727484	0.0855212	0.114309	0.136331
a10	0.00196697	0.00161785	0.00241942	0.00410165	0.00803539	0.0178358	0.0321797	0.0456589	0.0607053	0.0651563	0.0732608	0.055504	0.0458365	0.0527846	0.0844125	0.181873	0.266651
a50	0.00105454	0.000640167	0.000793535	0.00116133	0.00236296	0.00754082	0.0191566	0.0358606	0.0581704	0.0641478	0.0707608	0.0520478	0.0381664	0.0486878	0.0773631	0.184973	0.337112
a75	0.00198531	0.00125035	0.00141964	0.00201076	0.00350649	0.00825654	0.0186992	0.0341797	0.0598288	0.0641666	0.0756598	0.0608267	0.0437169	0.0578139	0.0822877	0.198663	0.285729
a25	0.00116175	0.000901107	0.0015184	0.00272539	0.00572491	0.0146788	0.0290601	0.0469307	0.0664851	0.0716285	0.0753948	0.0541865	0.046202	0.0545496	0.0876791	0.177913	0.26326
a90	0.00092836	0.000728863	0.00115676	0.00211709	0.00445309	0.0121728	0.026128	0.0438617	0.0595076	0.0649831	0.0653315	0.0381086	0.033365	0.0363862	0.0671637	0.191444	0.352163
a84	0.000698022	0.000660876	0.000919533	0.00149782	0.00303969	0.00817931	0.0195944	0.0368497	0.0616761	0.0717518	0.078935	0.0463121	0.0438845	0.0496448	0.0864268	0.196617	0.293313
a38	0.000543194	0.000370301	0.000463263	0.000639489	0.00113703	0.00297543	0.00738594	0.0169601	0.0312615	0.0445192	0.0468916	0.0269135	0.0239629	0.0305635	0.064772	0.244085	0.456556
a47	0.000755919	0.000421403	0.000473252	0.000616018	0.000992721	0.00247745	0.00546162	0.0114107	0.0222867	0.028813	0.0282616	0.0182562	0.0159955	0.0243765	0.0623428	0.264254	0.512804
a88	0.000588921	0.000375057	0.00046097	0.00064649	0.00109661	0.00317613	0.00734695	0.0149619	0.0248828	0.0301166	0.0319703	0.0211489	0.0187673	0.0267112	0.0756297	0.264743	0.477377
a62	0.000412699	0.000258146	0.000320942	0.000483106	0.000811449	0.00242029	0.00548353	0.0113323	0.0204591	0.0245689	0.0273281	0.0180236	0.0147671	0.0238378	0.0584135	0.280415	0.510665
a88	0.000815686	0.00055303	0.000686582	0.00106814	0.00160857	0.00368753	0.00714733	0.0136232	0.0246645	0.0261825	0.031564	0.0234953	0.0179759	0.0308246	0.0779184	0.297494	0.440691
a71	0.00048823	0.000326985	0.000433204	0.000676829	0.00111894	0.00285085	0.00607718	0.011953	0.0224764	0.0244047	0.0301897	0.0231501	0.0185597	0.0304413	0.0684131	0.301386	0.457054
a11	0.00053946	0.000292895	0.000336179	0.0004933	0.000696115	0.00200592	0.00419373	0.00916817	0.0185281	0.0235272	0.027411	0.0201546	0.0168846	0.0282343	0.0681359	0.285996	0.493403
a62	0.000265059	0.000160146	0.000222783	0.000375082	0.000619761	0.00189952	0.00414549	0.0085441	0.0157248	0.0180211	0.0194659	0.0131227	0.0105094	0.0195097	0.0580821	0.286205	0.543127
a83	0.000461328	0.000289652	0.000399702	0.000648503	0.000972706	0.00253878	0.00519023	0.0106976	0.0197697	0.0220652	0.0250711	0.0174784	0.013776	0.0250323	0.0694316	0.291524	0.494653
a9	0.000559142	0.0003359	0.000409387	0.00063889	0.000878473	0.00226589	0.00428455	0.00832639	0.0154057	0.0196453	0.0217803	0.0146063	0.011894	0.0202675	0.0514742	0.273943	0.553286
a87	0.00629543	0.00398935	0.00458959	0.00615279	0.00701089	0.0130506	0.0191399	0.0330329	0.0403145	0.044111	0.0403076	0.0161177	0.0148487	0.0201604	0.0492935	0.199583	0.482002
a23	0.0445863	0.023565	0.0167828	0.015212	0.016776	0.0175646	0.0221885	0.0292899	0.0359403	0.0450148	0.0463234	0.0328477	0.0362269	0.0481291	0.0639211	0.161194	0.344437
a87	0.0275215	0.0162144	0.012279	0.0121267	0.012652	0.0158176	0.0258241	0.0354674	0.0476442	0.052779	0.05057	0.0291289	0.0362381	0.0501831	0.0997708	0.191101	0.284682
</S>	0.0188503	0.0118236	0.0103653	0.0101212	0.0125999	0.0173676	0.0239585	0.0279657	0.0280167	0.0310099	0.0289708	0.0189041	0.0236415	0.0379713	0.074132	0.212498	0.411804
