 	la	manière	dont	monte	le	riz	va	éteindre	le	feu	</S>
a21	0.010039	0.0122084	0.0154611	0.0212019	0.0558024	0.111288	0.158886	0.199499	0.155604	0.125463	0.134548
a12	0.0045722	0.00518171	0.00673796	0.00894055	0.0252038	0.06061	0.120697	0.206662	0.202137	0.174745	0.184514
a18	0.00285519	0.00299958	0.00411062	0.00663757	0.0222322	0.049389	0.102656	0.212449	0.214834	0.185375	0.196461
a50	0.00128671	0.000807846	0.00115053	0.0031453	0.00827244	0.0234392	0.044154	0.171116	0.204297	0.24534	0.29699
a62	0.00398519	0.00172818	0.0022564	0.00590508	0.00857104	0.0175348	0.0303168	0.123658	0.184125	0.279538	0.342383
a47	0.00126974	0.00117654	0.00133962	0.00202037	0.00376302	0.0105523	0.0224725	0.15763	0.193746	0.275292	0.330738
a62	0.00182891	0.00147885	0.00192894	0.00324882	0.00481324	0.0112776	0.0226517	0.135625	0.212517	0.291907	0.312723
a88	0.000943732	0.000924171	0.00105518	0.00162478	0.00292405	0.00835265	0.0179301	0.137457	0.186973	0.28418	0.357635
a62	0.000485769	0.000281633	0.000372626	0.000954551	0.00175355	0.00506642	0.0120114	0.106709	0.174703	0.282754	0.414907
a83	0.000421114	0.000409256	0.000506391	0.000792892	0.00157963	0.00482058	0.0121245	0.102912	0.175597	0.287698	0.413139
a88	0.000253065	0.000158902	0.000239621	0.000707038	0.00142664	0.00427301	0.0106261	0.0876448	0.158093	0.280295	0.456283
a0	0.000224287	0.000131057	0.000214859	0.000736928	0.00152604	0.00489769	0.0125011	0.100295	0.173445	0.27766	0.428368
a75	0.00042435	0.000229524	0.000333761	0.00136833	0.00290184	0.00825946	0.019352	0.108071	0.169329	0.25731	0.432421
a12	6.95257e-05	5.97984e-05	9.62835e-05	0.000288887	0.000696576	0.00251261	0.00706215	0.0658256	0.127932	0.275144	0.520312
a96	0.000234532	0.000161676	0.000238688	0.000553547	0.00107666	0.00326487	0.00885186	0.072713	0.144855	0.281338	0.486712
a12	0.000181488	0.000109772	0.000166521	0.000506726	0.000982397	0.00335491	0.00948774	0.0882392	0.159786	0.274713	0.462472
a5	0.000208826	0.000137387	0.000213398	0.000678112	0.00129706	0.00406698	0.0108588	0.0935473	0.152936	0.264811	0.471245
a36	0.000172275	8.86678e-05	0.00012974	0.00038117	0.000717334	0.00225815	0.00646945	0.0606017	0.132282	0.275095	0.521804
a27	0.000308817	0.000152554	0.000178279	0.00051059	0.00102711	0.00309365	0.00940725	0.0681335	0.133663	0.257749	0.525776
a82	0.016553	0.00748219	0.00649056	0.010337	0.0136243	0.0282424	0.0593753	0.156891	0.178974	0.223032	0.298998
a87	0.106465	0.0378906	0.0283511	0.0327848	0.0300163	0.049477	0.0712543	0.119567	0.141337	0.176744	0.206113
a23	0.171533	0.0843755	0.0590552	0.0577185	0.0378484	0.0453061	0.0432229	0.0636425	0.0992088	0.151956	0.186133
a99	0.036699	0.00944774	0.00545268	0.00557912	0.0040365	0.00726424	0.0167391	0.046467	0.175647	0.331508	0.36116
a97	0.0088317	0.00279895	0.00236786	0.00268151	0.00372708	0.0089277	0.024632	0.0838774	0.181529	0.311712	0.368915
</S>	0.00413142	0.00150307	0.00146297	0.00212848	0.00385663	0.00941771	0.0251669	0.0956768	0.163455	0.298661	0.394541
