 	cette	femme	m'	a	insulté	parce	que	je	l'	ai	frôlée	</S>
a24	0.0402519	0.0647521	0.101659	0.139576	0.157604	0.139254	0.0972059	0.076254	0.0510007	0.033801	0.0329574	0.0656835
a83	0.0180867	0.0359956	0.0610362	0.0946491	0.102064	0.105758	0.0731778	0.0667635	0.0626486	0.0648315	0.0789215	0.236068
a75	0.0217247	0.0451355	0.0730372	0.0979655	0.111849	0.10384	0.078394	0.0700848	0.0703527	0.0797579	0.0720614	0.175797
a5	0.0261062	0.0355389	0.0565478	0.102877	0.146755	0.122049	0.0890701	0.0613356	0.0460338	0.0518822	0.0724141	0.189391
a96	0.0298586	0.0369145	0.0504351	0.0969277	0.140298	0.134608	0.0992607	0.0763175	0.0609531	0.0624205	0.0692689	0.142737
a66	0.0208807	0.0261013	0.0370692	0.0706549	0.0945463	0.105443	0.088147	0.0875688	0.0838939	0.0979163	0.0984539	0.189325
a31	0.0135264	0.0189097	0.0321022	0.0717715	0.103343	0.10992	0.0862314	0.0864883	0.0786388	0.098988	0.107424	0.192657
a88	0.017419	0.0196895	0.0286893	0.0564471	0.073607	0.0880601	0.0756925	0.0823415	0.0834307	0.11773	0.151877	0.205016
a70	0.0127659	0.0150706	0.0226222	0.042511	0.0560845	0.0674236	0.0573892	0.0661139	0.0674415	0.105455	0.181122	0.306
a96	0.00784282	0.0109612	0.0186398	0.0396214	0.0541862	0.064396	0.0541863	0.0647045	0.0671957	0.101345	0.184898	0.332023
a56	0.0071577	0.0101549	0.0168252	0.0316964	0.041436	0.0474439	0.0396796	0.0503657	0.0563286	0.0960751	0.205603	0.397234
a75	0.00639168	0.00892307	0.0141203	0.026188	0.0354152	0.0397091	0.032796	0.0403467	0.0473055	0.0876066	0.213709	0.447489
a98	0.00615843	0.00908606	0.0166049	0.0315179	0.0397988	0.0391421	0.0291251	0.0303471	0.0337143	0.0664233	0.186176	0.511906
a25	0.0104132	0.0170592	0.0320466	0.0549972	0.0685747	0.0670159	0.0471	0.0407959	0.0382159	0.061094	0.140648	0.42204
a90	0.00802135	0.0111498	0.0180536	0.0250667	0.0288501	0.0282401	0.0214005	0.0223548	0.0240748	0.0485479	0.144407	0.619833
a15	0.00653361	0.0088677	0.0172749	0.0274418	0.0307162	0.026977	0.0175552	0.0191428	0.0209486	0.041537	0.131243	0.651762
a7	0.00593666	0.00705669	0.012029	0.0162988	0.0180273	0.0160943	0.011521	0.0127409	0.0141397	0.0309037	0.114902	0.74035
a57	0.00302143	0.00418411	0.0082841	0.0147111	0.0192815	0.0149013	0.00970218	0.0121686	0.0143313	0.0365304	0.114826	0.748057
a87	0.00854689	0.00963406	0.0151369	0.0266691	0.0319181	0.0226852	0.0121913	0.0160263	0.0194072	0.0464619	0.14615	0.645173
a23	0.0179888	0.014835	0.0189003	0.0269645	0.0357603	0.0278583	0.0173977	0.0278757	0.0324528	0.0584084	0.163449	0.558109
a38	0.00699254	0.00692735	0.00991549	0.0148142	0.0202936	0.0171862	0.0125161	0.0266535	0.0359843	0.0701323	0.192066	0.586519
a97	0.00560417	0.00642721	0.0110159	0.0189033	0.0244148	0.0194333	0.0138341	0.0267857	0.0337714	0.0590661	0.158212	0.622532
</S>	0.00906433	0.00868949	0.0143083	0.0242927	0.0343605	0.0254267	0.0167981	0.0247485	0.0266581	0.0461687	0.129711	0.639774
