 	cette	femme	lance	des	in	jures	obscènes	parce	qu'	elle	est	folle	</S>
a98	0.00583535	0.00912602	0.0198224	0.0302488	0.0478882	0.098042	0.127851	0.130358	0.105492	0.139565	0.104375	0.0838537	0.0975431
a15	0.00929334	0.0120383	0.0214351	0.0304297	0.0491394	0.105481	0.12654	0.121747	0.0978926	0.113766	0.0965915	0.0929925	0.122655
a7	0.0127265	0.0153047	0.0228099	0.0264398	0.0366565	0.0820914	0.102991	0.11234	0.100013	0.117867	0.102085	0.10446	0.164215
a0	0.0209754	0.0209083	0.0251788	0.0284707	0.0292082	0.0549709	0.0879506	0.110742	0.0945981	0.11272	0.0894217	0.109696	0.215159
a21	0.0260649	0.0253092	0.025458	0.026831	0.0269356	0.0386865	0.0734109	0.0960875	0.0839477	0.102955	0.0865888	0.127305	0.26042
a12	0.0032903	0.00343714	0.00576255	0.00768788	0.0119807	0.0254243	0.0520676	0.0835288	0.0913167	0.140768	0.141064	0.171669	0.262003
a62	0.00204925	0.00227294	0.00386319	0.00546578	0.00946243	0.0202551	0.0479174	0.0728597	0.0811874	0.136358	0.149304	0.194887	0.274118
a88	0.00203773	0.00232166	0.00367369	0.00497611	0.00807734	0.0149437	0.035122	0.0527196	0.0609158	0.110939	0.140446	0.231172	0.332656
a83	0.00155484	0.00191998	0.00271599	0.00364175	0.00569322	0.0100989	0.0264678	0.0426748	0.0517636	0.0982407	0.139096	0.239062	0.37707
a96	0.00138515	0.00177309	0.00254402	0.00314904	0.00441072	0.00759167	0.0192054	0.0345208	0.0449375	0.094608	0.133547	0.252808	0.39952
a61	0.000839137	0.00103814	0.00161387	0.00231631	0.00353283	0.00628298	0.0171905	0.0299618	0.0401123	0.0910995	0.134139	0.264813	0.407061
a21	0.000621883	0.000734655	0.00113388	0.00157624	0.00228346	0.00413151	0.0113569	0.0220416	0.0310135	0.0767476	0.118393	0.268279	0.461686
a12	0.000378571	0.000476379	0.000645058	0.000768649	0.00096943	0.00188325	0.00740936	0.0171231	0.0230245	0.0519215	0.0946516	0.273007	0.527741
a47	0.000516237	0.000647358	0.000953189	0.00124089	0.00154352	0.00256092	0.00805042	0.0183379	0.025108	0.0607437	0.101534	0.270865	0.507899
a62	0.000809325	0.000929356	0.00136478	0.0018936	0.00257323	0.0042291	0.0122416	0.0208523	0.0290755	0.0658186	0.111396	0.274985	0.473831
a21	0.000602422	0.000671002	0.000970575	0.00122849	0.0014393	0.00243586	0.00776812	0.0179499	0.0242358	0.0567737	0.0964284	0.260023	0.529474
a5	0.000540301	0.000632615	0.000735478	0.000793706	0.000814301	0.00136283	0.00503759	0.0135973	0.0190176	0.0485734	0.08914	0.266603	0.553152
a37	0.000684399	0.000721871	0.000831762	0.000953742	0.00106003	0.0016346	0.00488656	0.0102701	0.0147285	0.0421543	0.0792012	0.258036	0.584837
a26	0.000717109	0.00062043	0.000770144	0.000954203	0.00131791	0.00265547	0.00809937	0.0141744	0.021026	0.0572922	0.0936514	0.267749	0.530972
a82	0.0631018	0.0390866	0.0231977	0.0183278	0.0186916	0.0256268	0.043011	0.0421933	0.058219	0.100245	0.118143	0.182971	0.267185
a97	0.102466	0.0501704	0.0221705	0.0149684	0.0132108	0.0208739	0.0304354	0.0331119	0.0430055	0.0704268	0.0940401	0.187649	0.317471
a87	0.109034	0.0554809	0.0272984	0.0204032	0.017746	0.0337605	0.0414632	0.040713	0.0472149	0.0706743	0.0974555	0.171197	0.267559
a23	0.151835	0.0818066	0.0437239	0.0361708	0.0274292	0.0373536	0.0341711	0.026656	0.0297605	0.0469246	0.078633	0.154481	0.251055
a38	0.0274587	0.0173781	0.00712657	0.00288947	0.00142707	0.0032143	0.005719	0.00865651	0.013721	0.0410285	0.0951144	0.259278	0.516988
a26	0.05045	0.0311344	0.0170484	0.00982775	0.0071464	0.0147458	0.0228394	0.0206799	0.0240079	0.0491532	0.0883381	0.207368	0.457261
</S>	0.0141556	0.0105046	0.00714219	0.00357831	0.00278588	0.00672169	0.0123676	0.0145671	0.0181192	0.0416092	0.077354	0.210293	0.580802
