 	il	faut	te	couvrir	avec	un	pagne	quand	il	fait	froid	</S>
a79	0.000974523	0.000969877	0.00129585	0.00485293	0.014758	0.0299531	0.0292583	0.0408567	0.0546191	0.0874903	0.314334	0.420637
a7	0.00109583	0.001068	0.001369	0.00395763	0.0115939	0.0244354	0.025458	0.0373907	0.0537688	0.0851823	0.320831	0.433849
a62	0.00088667	0.0007437	0.00084579	0.00160048	0.00426107	0.011206	0.0141144	0.0297183	0.0489272	0.0854763	0.343095	0.459125
a47	0.000490347	0.000398656	0.000528044	0.00124081	0.00258649	0.00768237	0.0126352	0.0325991	0.0568441	0.104149	0.355669	0.425177
a62	0.00164521	0.00123461	0.00139741	0.00354538	0.00682248	0.0142187	0.0156514	0.0309977	0.0463555	0.0810786	0.311469	0.485584
a88	0.00182319	0.00142575	0.00171575	0.00419297	0.00799705	0.0169176	0.0200262	0.0368684	0.056468	0.0941436	0.300486	0.457936
a71	0.000945478	0.000790252	0.000964474	0.00262448	0.00585977	0.0121326	0.0131377	0.0240501	0.0379914	0.066716	0.287548	0.54724
a9	0.0156648	0.0114481	0.0114096	0.0174047	0.020383	0.0300492	0.0284969	0.0429553	0.069656	0.10851	0.287679	0.356344
a10	0.0621142	0.0395373	0.0383824	0.0474257	0.0412557	0.0549253	0.0563518	0.0717489	0.0987751	0.119621	0.183491	0.186372
a87	0.115764	0.0612285	0.0419526	0.0480537	0.0420087	0.0565402	0.0632008	0.0734388	0.0911903	0.103205	0.147581	0.155836
a23	0.162772	0.088931	0.0469098	0.0447786	0.0468257	0.0667426	0.0700707	0.0670171	0.0813669	0.0826854	0.120531	0.121369
a97	0.0378078	0.0234541	0.0131066	0.0116021	0.0187296	0.0299181	0.0328712	0.0547773	0.0834439	0.126726	0.275946	0.291618
a57	0.0155693	0.00985417	0.00792395	0.0107577	0.0207875	0.0286989	0.0285957	0.0454489	0.0673167	0.11465	0.297441	0.352956
</S>	0.0238519	0.0139136	0.00863995	0.00926811	0.0155016	0.0211783	0.0229708	0.0366614	0.0554799	0.0968678	0.296376	0.399291
