 	la	manière	dont	ils	ont	bourré	ma	hotte	de	maïs	me	fait	souffrir	</S>
a12	0.0010424	0.000897071	0.000559471	0.00239233	0.00404843	0.00636309	0.0123216	0.0254376	0.0389708	0.0514709	0.0866748	0.13893	0.26329	0.367602
a18	0.00182392	0.00176797	0.0012504	0.00449965	0.0067576	0.0101177	0.0186096	0.0392625	0.0507095	0.0557577	0.0904242	0.131381	0.252601	0.335038
a21	0.00210893	0.00202731	0.00153621	0.00469263	0.00794522	0.0130004	0.0237919	0.0508126	0.0569529	0.0480922	0.0861007	0.131458	0.248621	0.32286
a75	0.000441047	0.000381157	0.000321555	0.00132622	0.00224825	0.00372212	0.0079291	0.0176464	0.025898	0.0465666	0.1014	0.148374	0.277062	0.366684
a79	0.000169509	0.000173163	0.000185377	0.000810521	0.00150939	0.00271716	0.00661956	0.0145186	0.0169725	0.0263074	0.0742138	0.133382	0.306817	0.415605
a7	0.000230395	0.000256538	0.000296513	0.00100222	0.00175975	0.00342163	0.00873827	0.0162818	0.014089	0.0188465	0.0519525	0.112987	0.318847	0.451291
a98	0.00127584	0.00110486	0.000979228	0.00201052	0.00252915	0.00398436	0.00693327	0.0113631	0.00998298	0.0134033	0.0443396	0.100495	0.31804	0.483559
a85	0.000429884	0.000520774	0.000579158	0.00133354	0.00174093	0.00320879	0.00758047	0.0137464	0.0122758	0.0175519	0.0399728	0.0949921	0.312056	0.494011
a0	0.000163913	0.000196751	0.000220333	0.000683955	0.00108724	0.00256676	0.00731819	0.0132848	0.0127656	0.0236302	0.0493338	0.116645	0.322178	0.449925
a27	0.00039667	0.000466156	0.000446219	0.00124106	0.00185576	0.00334919	0.00691496	0.0138618	0.0115014	0.0156665	0.0484186	0.110531	0.341245	0.444106
a57	0.00319054	0.00302968	0.00218471	0.00487639	0.00634923	0.00976444	0.0131844	0.0209995	0.0187387	0.022891	0.0579417	0.115642	0.315742	0.405466
a87	0.0244533	0.016685	0.00912701	0.015542	0.0156059	0.0174497	0.0244869	0.0425867	0.0518424	0.0838858	0.11541	0.145394	0.20427	0.233262
a10	0.0207375	0.0143189	0.00726576	0.0155793	0.0171926	0.0241224	0.0403528	0.0646579	0.0755362	0.095053	0.102806	0.124944	0.168297	0.229136
a87	0.051471	0.0333196	0.0125512	0.0225448	0.03118	0.0508965	0.0717604	0.0896821	0.0983675	0.1031	0.0802367	0.0875055	0.108915	0.158469
a23	0.0608237	0.038167	0.0142992	0.0216231	0.026447	0.0388565	0.0500214	0.0589759	0.06679	0.0789039	0.0676685	0.0910533	0.139228	0.247143
a99	0.00876961	0.00783433	0.00431394	0.00800989	0.00841721	0.0113585	0.0220879	0.0391232	0.0551512	0.0870138	0.0857968	0.121445	0.217222	0.323457
a87	0.00750194	0.00752239	0.00544952	0.0108123	0.008809	0.0088072	0.0168368	0.0280034	0.0407465	0.0798622	0.088899	0.136463	0.23063	0.329657
a97	0.00502804	0.00362188	0.00161776	0.00298622	0.00286154	0.00347542	0.00756158	0.0144407	0.0213899	0.0453764	0.0603016	0.118859	0.268309	0.44417
</S>	0.019661	0.0141719	0.00643723	0.0107553	0.011459	0.0134355	0.0193666	0.0248799	0.0302078	0.0470614	0.0538672	0.101398	0.224747	0.422553
