 	ce	singe	que	vend	ikoo	est	un	cercopithèque	nuido	</S>
a94	0.000397651	0.000350358	0.000708851	0.00200945	0.00447067	0.0049427	0.00581623	0.0151263	0.285445	0.680733
a66	0.000317211	0.000306272	0.000744284	0.0017744	0.00302978	0.00316062	0.00295064	0.00692002	0.207917	0.77288
a58	0.000221591	0.000195393	0.000436952	0.00115439	0.00246808	0.00241789	0.00218077	0.00355413	0.184773	0.802598
a82	0.00103661	0.000654765	0.000979927	0.00179004	0.00389059	0.0029416	0.00317982	0.00646356	0.225872	0.753191
a57	0.00801229	0.0048694	0.00563332	0.00695719	0.0131453	0.00815394	0.00944011	0.0254681	0.334479	0.583841
a87	0.0271069	0.0189328	0.02484	0.0262718	0.0474455	0.0302902	0.0330993	0.0768397	0.28385	0.431323
a97	0.0295647	0.0219926	0.0363618	0.0489641	0.104567	0.0807172	0.0829792	0.127154	0.230896	0.236805
a87	0.0283485	0.0208737	0.0471528	0.0907879	0.148405	0.111324	0.0820116	0.0782717	0.18626	0.206565
a97	0.0242813	0.0182913	0.0501932	0.0830361	0.150461	0.103488	0.0757444	0.0729812	0.202794	0.218729
a82	0.039412	0.0312587	0.0755402	0.106608	0.153338	0.114611	0.0839737	0.0686675	0.148745	0.177845
a87	0.0617016	0.0495432	0.0896468	0.100329	0.139864	0.100712	0.0742742	0.0593093	0.147832	0.176789
a82	0.0594925	0.0487053	0.0924289	0.107648	0.146009	0.102036	0.0746635	0.0563217	0.13567	0.177024
a87	0.0783462	0.0587759	0.104823	0.10881	0.134677	0.0934314	0.0657119	0.049741	0.124754	0.180929
</S>	0.0653082	0.0473497	0.0934713	0.102462	0.138299	0.0869213	0.0613162	0.0455461	0.139046	0.22028
