 	lorsqu'	il	est	rentré	de	l'	école	il	a	bondit	sur	la	nourriture	</S>
a87	0.028611	0.0265807	0.0305678	0.0406553	0.0430868	0.0533067	0.0552757	0.0949219	0.125639	0.171411	0.089824	0.0701361	0.0686437	0.10134
a97	0.0477957	0.0396453	0.039699	0.0570451	0.0929073	0.126721	0.0950365	0.0767738	0.0662904	0.0696317	0.0641617	0.0584132	0.0842285	0.0816506
a30	0.0547171	0.0434088	0.03608	0.0518652	0.0874974	0.0957442	0.0667688	0.0451934	0.0500405	0.0585711	0.103761	0.0984189	0.100705	0.107229
a53	0.0312316	0.0244392	0.0270214	0.0387593	0.0387482	0.0351627	0.0245844	0.0234512	0.0394739	0.0702792	0.160591	0.192256	0.146864	0.147137
a15	0.00928086	0.00867733	0.0098502	0.0240661	0.0341045	0.0362002	0.0362228	0.0493996	0.071388	0.0783881	0.132406	0.135607	0.176582	0.197827
a47	0.00346408	0.00450992	0.00461689	0.00925602	0.0178721	0.0226892	0.0278372	0.0433122	0.0577516	0.0635658	0.153119	0.175436	0.211532	0.205038
a92	0.00253445	0.00317899	0.00293703	0.00483346	0.011229	0.0159986	0.0192677	0.032103	0.0481874	0.0768317	0.157452	0.182306	0.226505	0.216635
a85	0.00332206	0.00375603	0.00284924	0.00365428	0.00962029	0.0167036	0.0221377	0.0410939	0.0505136	0.0699343	0.152088	0.184857	0.22641	0.213061
a6	0.00082357	0.000949167	0.000812365	0.000956634	0.00229649	0.0045919	0.00819976	0.0236912	0.0409656	0.0687148	0.14022	0.207285	0.255445	0.245049
a37	0.000688396	0.000793944	0.000622056	0.000680813	0.00172094	0.00353234	0.00589888	0.0183318	0.0365181	0.0733766	0.150766	0.219354	0.254654	0.233062
a61	0.00095514	0.00106691	0.000782216	0.000708953	0.00124147	0.00215309	0.00366523	0.0172517	0.0422981	0.0909423	0.159065	0.225054	0.23639	0.218426
a62	0.000814832	0.000891861	0.00075096	0.000789099	0.00155645	0.00247315	0.00377382	0.0111317	0.0277884	0.0676418	0.12854	0.215973	0.257682	0.280194
a88	0.000881907	0.00102264	0.000876138	0.000855776	0.0016563	0.00236006	0.00330849	0.0085428	0.0196425	0.0502914	0.103249	0.199677	0.269767	0.337869
a75	0.000658457	0.000781676	0.000686275	0.000745009	0.00152574	0.00209957	0.00282314	0.00717996	0.015113	0.0408366	0.0844335	0.179733	0.266883	0.396501
a85	0.000145331	0.000162275	0.000132527	0.000138201	0.000254682	0.000360972	0.000567851	0.00239823	0.00911018	0.0364828	0.0814563	0.204189	0.290341	0.374261
a47	5.64683e-05	5.71321e-05	5.30013e-05	5.96189e-05	8.86252e-05	0.000114382	0.000188728	0.000936499	0.00466177	0.0185556	0.0430578	0.132964	0.279407	0.519799
a36	0.000189516	0.000174789	0.000113319	0.000100621	0.000177326	0.000219378	0.000342747	0.00115818	0.00432602	0.0171549	0.0472712	0.144327	0.259316	0.525129
a2	0.00366726	0.00279892	0.00205966	0.0023481	0.00228452	0.00193621	0.00180223	0.00281418	0.00638976	0.0232289	0.0595923	0.167461	0.252638	0.470979
a57	0.0202522	0.0183431	0.0128487	0.0124088	0.0126174	0.011603	0.0107191	0.0160355	0.0248432	0.0590398	0.0947987	0.203353	0.22061	0.282528
a84	0.0849952	0.0565502	0.0423575	0.0398127	0.0342879	0.0304936	0.0223769	0.0269776	0.0357009	0.0847424	0.0955168	0.150169	0.141057	0.154963
a82	0.0743344	0.0535405	0.0400804	0.0383802	0.0301861	0.0273055	0.0214099	0.0357822	0.0565253	0.105214	0.102784	0.135797	0.135695	0.142966
a87	0.104148	0.0715909	0.0613363	0.0596205	0.0511625	0.0490992	0.0388831	0.0507115	0.0701225	0.09163	0.0838897	0.089557	0.0860022	0.092247
a23	0.0968478	0.0691011	0.0593428	0.0653958	0.06798	0.0765713	0.060511	0.054215	0.0559703	0.0631325	0.066886	0.0736558	0.0869754	0.103415
a82	0.0305114	0.0240634	0.0222715	0.0236513	0.0256634	0.0317996	0.0294069	0.0301006	0.0394955	0.0472977	0.0841331	0.134963	0.194222	0.282421
a57	0.0265866	0.021375	0.0234287	0.033526	0.0408141	0.0425519	0.037054	0.0356023	0.0361608	0.0383554	0.0657753	0.107392	0.197004	0.294374
</S>	0.0408811	0.0335105	0.0326495	0.042641	0.0527963	0.0539566	0.0455397	0.0400719	0.0379307	0.0350061	0.0579131	0.0869904	0.17387	0.266243
