 	ainsi	la	bise	a	finalement	reconnu	que	le	soleil	était	plus	fort	qu'	elle	</S>
a58	0.0180721	0.0356766	0.0652433	0.0982197	0.151059	0.130429	0.13549	0.106606	0.0736111	0.0465942	0.031691	0.0232389	0.0214251	0.0257311	0.0369125
a44	0.0129915	0.0361763	0.0905942	0.0993602	0.141115	0.128495	0.130438	0.121246	0.0752525	0.046671	0.0282888	0.0183712	0.0174126	0.0215689	0.0320191
a13	0.0089068	0.0205889	0.0539617	0.0730371	0.116731	0.130254	0.122863	0.11777	0.0879751	0.0630801	0.0437816	0.0300343	0.0290256	0.0394001	0.0625895
a44	0.00874032	0.0174887	0.0443644	0.0614192	0.102872	0.137205	0.136332	0.138207	0.0960526	0.0628226	0.0390821	0.0250315	0.0254972	0.0373923	0.0674939
a79	0.0049157	0.00998657	0.0246516	0.0464827	0.0876994	0.130671	0.131388	0.13075	0.104234	0.0684825	0.0441906	0.0315768	0.0344919	0.0538914	0.0965879
a44	0.00438315	0.00833204	0.027083	0.062161	0.0979432	0.131729	0.156303	0.136764	0.116624	0.0748612	0.0470275	0.0317509	0.0254464	0.031657	0.047934
a4	0.00276342	0.00450632	0.0133411	0.0391679	0.0799253	0.149546	0.148723	0.137307	0.11516	0.0788526	0.057895	0.0410848	0.0322729	0.0387649	0.060689
a13	0.0038399	0.0053154	0.0152383	0.0447428	0.0776457	0.151731	0.142693	0.129888	0.105803	0.0769368	0.061091	0.0495643	0.0382145	0.0413152	0.0559804
a94	0.0019348	0.00290107	0.00717509	0.018392	0.0405702	0.102922	0.105242	0.12989	0.127164	0.0891274	0.0617825	0.0498473	0.0482342	0.071337	0.14348
a62	0.00133294	0.00178826	0.00421502	0.00949675	0.0240269	0.0920815	0.0960046	0.130881	0.130119	0.0914354	0.0626856	0.0495086	0.0496092	0.0787678	0.178047
a70	0.00114475	0.00141377	0.00361318	0.011014	0.0227896	0.1234	0.0908773	0.139521	0.129106	0.0985369	0.0747097	0.0601715	0.0553781	0.0683626	0.119962
a54	0.000956129	0.00100857	0.00260793	0.00781175	0.0181038	0.110954	0.0855283	0.137082	0.126355	0.0956851	0.072032	0.0616608	0.063431	0.0804779	0.136305
a79	0.000777469	0.00133889	0.00541596	0.0156679	0.0232334	0.0766621	0.0910746	0.114698	0.126931	0.114808	0.0965164	0.0827761	0.0709524	0.0746187	0.104529
a69	0.000735195	0.00111972	0.00461216	0.014069	0.0268145	0.0935702	0.0955576	0.122313	0.123637	0.101668	0.08354	0.0748224	0.0679839	0.0795419	0.110015
a20	0.000436164	0.000683215	0.00252399	0.00800599	0.0168082	0.0747736	0.0708164	0.103082	0.129605	0.107979	0.095794	0.0902104	0.0799197	0.0928917	0.126471
a79	0.000839992	0.000932427	0.00405657	0.0103108	0.0181706	0.0684816	0.0703566	0.103847	0.130711	0.102542	0.0828852	0.079773	0.0714642	0.0946733	0.160955
a44	0.00081947	0.000831143	0.00332229	0.0102696	0.0219657	0.0813804	0.0801115	0.111334	0.126808	0.104933	0.0943189	0.0893634	0.0720142	0.0838828	0.118645
a70	0.000235034	0.000278779	0.000901636	0.00247242	0.00614691	0.0372893	0.0314854	0.0655202	0.0934159	0.0834725	0.0811139	0.0893704	0.0949359	0.142337	0.271024
a4	0.000341504	0.000411596	0.00120593	0.00342836	0.00761375	0.0538549	0.0303592	0.066251	0.0794467	0.074806	0.0712928	0.0838822	0.104463	0.151336	0.271307
a94	0.000250302	0.000313076	0.000967597	0.00246043	0.00549603	0.0337054	0.0239719	0.0527199	0.0674931	0.066317	0.0671108	0.0856259	0.115489	0.173174	0.304905
a96	0.000263101	0.000270554	0.000734881	0.00151269	0.00345568	0.018635	0.0141667	0.0276185	0.0363811	0.0412539	0.050416	0.0767099	0.128427	0.213394	0.386761
a0	0.000215558	0.000240217	0.000582409	0.00103443	0.00239203	0.0139783	0.0100246	0.0205345	0.0281553	0.0328552	0.0423273	0.0737806	0.141141	0.235263	0.397475
a38	0.000315559	0.000356464	0.000664949	0.000791216	0.00145203	0.00720998	0.00648234	0.0116614	0.0161891	0.0209425	0.031527	0.0650081	0.144497	0.258649	0.434253
a62	0.000211953	0.000187581	0.000430142	0.00051572	0.00102398	0.00553472	0.00525347	0.00945532	0.0143173	0.0182507	0.0291992	0.0656876	0.14647	0.263648	0.439815
a24	0.000493461	0.000573856	0.000867102	0.000978186	0.00177868	0.0100405	0.00742856	0.014553	0.0193214	0.0251278	0.0356824	0.0716394	0.159728	0.264423	0.387365
a94	0.000256981	0.000271459	0.000503147	0.000440036	0.000687379	0.00395463	0.00372064	0.00701728	0.0105315	0.0145003	0.0251144	0.0635296	0.163912	0.292865	0.412696
a40	0.000230815	0.000206604	0.000408425	0.000386685	0.00063324	0.00356161	0.00351876	0.00662633	0.010457	0.0144385	0.0250664	0.0653291	0.171798	0.296882	0.400457
a7	0.000438257	0.000324889	0.000828175	0.00118922	0.00290676	0.0098564	0.0105484	0.0150015	0.0175525	0.020961	0.0354302	0.069653	0.144754	0.243438	0.427118
a26	0.00018323	0.000182233	0.000376342	0.000382472	0.00065997	0.00385612	0.00377792	0.00644417	0.00925869	0.0118236	0.021044	0.0576793	0.165806	0.300763	0.417764
a27	0.000788982	0.000538783	0.000880523	0.000863801	0.001072	0.0048313	0.00490559	0.00881021	0.0146834	0.0178298	0.0290485	0.0764398	0.198257	0.304587	0.336463
a62	0.00236944	0.000852932	0.000917325	0.00100962	0.00099984	0.00303965	0.0043475	0.00696878	0.0133007	0.0172691	0.0299403	0.086799	0.217268	0.30259	0.312328
a70	0.00059757	0.000316079	0.00046855	0.000488619	0.000638765	0.00328602	0.00281909	0.00551294	0.00964616	0.013392	0.0228569	0.0741945	0.209017	0.319616	0.337149
a50	0.000155643	0.000115238	0.000264086	0.000268031	0.000493658	0.00402165	0.00270007	0.0062238	0.0103742	0.0144761	0.0220758	0.0603121	0.180389	0.31724	0.380891
a70	0.000245303	0.000238884	0.00048765	0.000432799	0.000703607	0.0044979	0.00324652	0.00701348	0.0108941	0.0136507	0.0194578	0.0581787	0.177362	0.310531	0.393059
a4	0.00011482	8.47229e-05	0.000208328	0.000239815	0.000502779	0.00477312	0.00307803	0.00728799	0.011834	0.015979	0.0236394	0.0594221	0.171394	0.309798	0.391645
a57	0.000161926	0.000118998	0.000289615	0.000376315	0.000682265	0.00512884	0.00331293	0.00768296	0.0124009	0.0155843	0.0218778	0.0618062	0.186422	0.314154	0.37
a82	0.000578021	0.000236674	0.000395448	0.000684624	0.000996052	0.00527518	0.00381201	0.00779758	0.013148	0.0160909	0.0248127	0.0750229	0.197461	0.308024	0.345665
a20	0.0233425	0.00568225	0.00336919	0.00391837	0.00503808	0.0118295	0.0129015	0.0189801	0.0326019	0.0388756	0.052524	0.102067	0.170185	0.23473	0.283956
a7	0.0140995	0.00310125	0.00194647	0.00244526	0.00254223	0.00713462	0.0101238	0.0150546	0.0296484	0.0383421	0.0571222	0.119659	0.188765	0.242257	0.267759
a44	0.00263665	0.000499884	0.000572266	0.000901805	0.00118057	0.00656011	0.00742716	0.0149549	0.025139	0.0337473	0.0525824	0.133577	0.21703	0.253973	0.249218
a57	0.000240748	7.76502e-05	0.000144987	0.000174264	0.000367864	0.00438913	0.00319785	0.00835325	0.0137988	0.0184032	0.0296602	0.0827179	0.194497	0.308654	0.335323
a84	0.000165356	7.38615e-05	0.000129484	0.000219801	0.00039057	0.00406653	0.00270379	0.00645224	0.012304	0.0137508	0.0220047	0.0749732	0.195385	0.314023	0.353358
a82	0.00660593	0.00178438	0.00135767	0.00171159	0.00254661	0.00927598	0.00927694	0.015956	0.030107	0.0334587	0.043604	0.0990636	0.190243	0.257804	0.297205
a87	0.020418	0.00629274	0.00288973	0.00236969	0.00274366	0.00875089	0.0131128	0.0222977	0.0476059	0.0611434	0.0813539	0.129765	0.167667	0.201807	0.231783
a23	0.0317701	0.0132024	0.00673475	0.00542167	0.00818253	0.0287161	0.0396563	0.0593346	0.0816644	0.0842586	0.0980037	0.115138	0.11422	0.139525	0.174172
a87	0.018771	0.0046287	0.00372994	0.00417226	0.00468564	0.0207338	0.0429655	0.0744008	0.116512	0.114915	0.116191	0.128278	0.0971071	0.10709	0.145819
a99	0.00634948	0.00208149	0.00225275	0.00339306	0.00394309	0.0158805	0.0409722	0.0654199	0.114995	0.106143	0.0921347	0.108035	0.105683	0.136585	0.196132
a87	0.011768	0.00483147	0.00549883	0.00610654	0.00707148	0.015922	0.0498747	0.0779862	0.124618	0.130205	0.112691	0.103649	0.0799761	0.104527	0.165274
a23	0.0134518	0.00472008	0.00554005	0.00642504	0.00606126	0.0123205	0.0354864	0.049984	0.0921838	0.0991433	0.0961998	0.112629	0.104775	0.139755	0.221325
a87	0.0261877	0.0106889	0.00823642	0.00492758	0.00321686	0.00644625	0.0194696	0.0341831	0.0757767	0.0941435	0.0995749	0.114756	0.102436	0.147499	0.252458
</S>	0.0351464	0.0111876	0.0132157	0.0108428	0.00709319	0.0119267	0.028725	0.0445552	0.0853223	0.0972506	0.0913827	0.101961	0.0933721	0.134555	0.233464
