 	les	étrangers	qui	sont	arrivés	dans	le	village	ont	débarqué	chez	le	notable	</S>
a36	0.00477441	0.0072802	0.0167527	0.0287328	0.0394436	0.0374926	0.0523352	0.0796897	0.0982204	0.0674467	0.0855682	0.0794778	0.123617	0.279169
a44	0.00659398	0.00857736	0.0160711	0.0212202	0.0246819	0.025075	0.0380308	0.0851117	0.127504	0.0951052	0.0836147	0.0650446	0.100979	0.302391
a53	0.00770117	0.00969272	0.0156995	0.0171748	0.0173555	0.0167894	0.0232029	0.0557338	0.099634	0.101391	0.10124	0.0779533	0.115428	0.341004
a4	0.0084038	0.0116364	0.0183937	0.0211321	0.0212777	0.0185372	0.0261591	0.0433059	0.0643473	0.055296	0.103976	0.107741	0.153133	0.34666
a53	0.00633158	0.00894058	0.0148029	0.0172011	0.0177095	0.0155942	0.0204668	0.0319362	0.0508945	0.0586782	0.133336	0.128015	0.159374	0.33672
a15	0.00304969	0.00431201	0.00754722	0.00881786	0.00870994	0.00785043	0.0102795	0.0166707	0.0289959	0.044385	0.153284	0.169375	0.18589	0.350832
a36	0.000761275	0.000987729	0.00234225	0.00326866	0.00326005	0.00316019	0.00424766	0.00724204	0.0129009	0.0225462	0.100961	0.131822	0.205342	0.501158
a11	0.000865936	0.000962987	0.00175562	0.00196605	0.00158525	0.00134765	0.00143157	0.00266012	0.00547833	0.00970497	0.0532897	0.10546	0.204388	0.609104
a12	0.00131142	0.00157595	0.00288139	0.00300266	0.00238937	0.00228915	0.00247995	0.00542236	0.012221	0.0271421	0.0952535	0.137008	0.217285	0.489738
a18	0.000736087	0.00125793	0.00292333	0.00342134	0.0027979	0.00259403	0.00273897	0.00404271	0.0081647	0.0227171	0.0977571	0.177044	0.249367	0.424438
a88	0.00206327	0.0026556	0.00508887	0.0052086	0.00417966	0.00380156	0.00385005	0.00697985	0.0116502	0.0297324	0.0881246	0.117019	0.210744	0.508902
a53	0.000541233	0.000729506	0.00157243	0.00186622	0.00158081	0.00146515	0.0014667	0.00303785	0.00606321	0.0160961	0.0760146	0.123477	0.232442	0.533647
a15	0.000144295	0.000234863	0.000626764	0.000947153	0.000835721	0.000793914	0.000956666	0.00150452	0.00319156	0.00927134	0.0499972	0.125212	0.24795	0.558334
a7	0.000139617	0.0001893	0.000392149	0.0005578	0.000524264	0.000508906	0.000529778	0.000904478	0.00206926	0.00840855	0.0512934	0.10842	0.219235	0.606828
a44	0.000159981	0.000206192	0.000398026	0.00050553	0.000425489	0.000408931	0.000428339	0.000823703	0.00191629	0.00596785	0.0331445	0.0757772	0.187143	0.692695
a66	0.000189082	0.000306514	0.000698789	0.00094553	0.000841077	0.000852572	0.000930059	0.00150958	0.0027791	0.00842206	0.0451695	0.104678	0.231204	0.601474
a18	0.00121741	0.0014105	0.00268954	0.00309521	0.00244825	0.00215607	0.00212063	0.00408046	0.00713589	0.02673	0.0936384	0.12968	0.221761	0.501836
a71	0.0069489	0.00539172	0.00748062	0.00723801	0.00591076	0.00504073	0.00476611	0.00818934	0.0153337	0.045907	0.110908	0.127765	0.210915	0.438206
a9	0.0145899	0.0106852	0.0139246	0.0130304	0.00934926	0.0078129	0.00719817	0.0110886	0.0204046	0.0507769	0.112162	0.121018	0.195179	0.412779
a10	0.0504765	0.0309027	0.0331855	0.030011	0.0260122	0.024802	0.0259148	0.033625	0.0517955	0.0832641	0.121896	0.133203	0.160021	0.19489
a99	0.0694784	0.0455455	0.0426565	0.0383796	0.0463093	0.0502664	0.0541582	0.0623621	0.0821395	0.0930299	0.0953301	0.112205	0.116673	0.0914668
a97	0.0509373	0.0374634	0.0347485	0.0338399	0.0389124	0.0418324	0.0438944	0.0556488	0.0849633	0.0999456	0.0871158	0.106163	0.137862	0.146673
a99	0.0321186	0.0280918	0.028482	0.0308037	0.0350708	0.0356022	0.0413776	0.0622521	0.0900871	0.0973328	0.0756609	0.0932705	0.139374	0.210476
a82	0.0231594	0.0205343	0.0220881	0.0275316	0.0319239	0.0324198	0.0373409	0.047475	0.0616208	0.0630468	0.0643253	0.0932682	0.176072	0.299194
</S>	0.0167999	0.0145582	0.0170815	0.0230031	0.0322479	0.034247	0.0381226	0.0403353	0.0487502	0.0525175	0.0542195	0.0813472	0.175569	0.371201
