 	la	manière	dont	il	s'	est	épuisé	montre	qu'	il	fume	beaucoup	</S>
a93	0.0101598	0.014645	0.0468786	0.115586	0.143334	0.152558	0.181745	0.10557	0.0745653	0.0353038	0.0216626	0.0398028	0.0581884
a90	0.00659086	0.00815296	0.027235	0.0726143	0.11521	0.134841	0.174878	0.13109	0.0874347	0.0458279	0.0299304	0.0652272	0.100968
a25	0.00584631	0.00758075	0.023041	0.0639926	0.109557	0.122967	0.158338	0.129468	0.106017	0.067804	0.0398848	0.0689704	0.0965331
a98	0.00259591	0.00403384	0.015767	0.058662	0.111372	0.118469	0.149637	0.143374	0.118253	0.0675223	0.0399426	0.0680293	0.102342
a15	0.00531245	0.00769068	0.0281735	0.0860555	0.133433	0.13437	0.152722	0.129794	0.100423	0.0574219	0.0347313	0.0531085	0.076763
a7	0.00659819	0.00717495	0.0220212	0.0485893	0.0739893	0.0934185	0.155869	0.163825	0.120105	0.0843303	0.0501247	0.0692397	0.104715
a84	0.00629806	0.00526349	0.015014	0.0390105	0.0709115	0.104314	0.16656	0.16397	0.112775	0.0613138	0.0430491	0.0773605	0.13416
a11	0.0188045	0.0152817	0.0271558	0.057495	0.0981774	0.13172	0.143396	0.139999	0.110315	0.0481143	0.0300994	0.0626598	0.116783
a75	0.0204468	0.0135948	0.0215528	0.0396894	0.0730705	0.10781	0.139823	0.171337	0.134531	0.0606898	0.0368574	0.0596646	0.120933
a21	0.00409245	0.00519457	0.0174358	0.0359051	0.0492349	0.0567894	0.106058	0.161151	0.126735	0.0778177	0.056192	0.110316	0.193078
a12	0.00202302	0.00225726	0.00851399	0.0243864	0.0507834	0.065035	0.109597	0.14989	0.168295	0.100695	0.0707951	0.0988603	0.148869
a43	0.001929	0.00256599	0.0106501	0.0249734	0.0390063	0.0492758	0.0814631	0.148825	0.166826	0.102336	0.0752132	0.114427	0.182509
a21	0.00212921	0.00257377	0.00894001	0.017737	0.0246942	0.0291471	0.0505264	0.120302	0.127891	0.0948897	0.0848989	0.158631	0.27764
a75	0.001879	0.00217447	0.00687103	0.0150123	0.0249826	0.0324475	0.0515756	0.107968	0.148025	0.11375	0.126467	0.150129	0.218718
a25	0.00118883	0.00161447	0.0055014	0.015046	0.026536	0.0328624	0.0482384	0.077607	0.114676	0.0942428	0.115536	0.192892	0.274059
a92	0.00111952	0.00145473	0.00458608	0.0134125	0.0228745	0.027801	0.0348336	0.0439027	0.072177	0.0722863	0.109718	0.231426	0.364408
a56	0.00147407	0.00205073	0.00565202	0.0128694	0.0235833	0.0303314	0.0498813	0.0758985	0.117161	0.102864	0.128634	0.20236	0.247241
a44	0.00128085	0.00146052	0.005015	0.0125466	0.0202782	0.0261213	0.0400314	0.0686276	0.0959674	0.0855849	0.115519	0.212708	0.314859
a90	0.00132524	0.00163998	0.00458508	0.0101211	0.0161955	0.0203277	0.0324705	0.0637419	0.0842286	0.0706481	0.103566	0.221495	0.369655
a15	0.00079802	0.000951754	0.00271228	0.0067136	0.011789	0.0153782	0.0266277	0.0533726	0.0811005	0.0817745	0.136691	0.246341	0.33575
a98	0.000846487	0.000941976	0.00265205	0.00624207	0.00824957	0.00997703	0.0163906	0.0270347	0.0440865	0.0414319	0.0785881	0.265279	0.49828
a92	0.000652891	0.000746162	0.00223596	0.0056892	0.0081379	0.0101387	0.0172155	0.0296756	0.0501773	0.0481581	0.0836764	0.265626	0.47787
a47	0.000571887	0.000524317	0.00120632	0.00309422	0.00484755	0.00617626	0.0108611	0.0199334	0.0351674	0.0345776	0.0767106	0.297219	0.50911
a92	0.000341879	0.000329554	0.000817445	0.00217966	0.00354202	0.00498342	0.00849548	0.0112503	0.0220628	0.023237	0.0575694	0.287076	0.578115
a37	0.000626258	0.000537771	0.00107424	0.00262034	0.00413691	0.00479541	0.00863848	0.0161057	0.0264798	0.0252698	0.0645613	0.314495	0.530659
a98	0.000993751	0.000893393	0.00186655	0.00385239	0.0048586	0.00500661	0.00725467	0.011763	0.0151476	0.0146342	0.0400005	0.27904	0.614689
a15	0.000681105	0.000653663	0.00139795	0.00265563	0.00316912	0.00368334	0.00542275	0.00809968	0.0130863	0.0134132	0.0389937	0.28925	0.619493
a47	0.00153625	0.00122218	0.00190372	0.00308957	0.00335242	0.00370936	0.0052579	0.00739924	0.00925535	0.010099	0.0325821	0.297025	0.623568
a36	0.000703728	0.000600946	0.000958636	0.00165375	0.0017709	0.00199082	0.00280338	0.00410615	0.00716638	0.00959569	0.0346787	0.326418	0.607553
a34	0.0123533	0.00768222	0.00699476	0.0075863	0.00588409	0.00552531	0.00756931	0.0100759	0.00874503	0.0147797	0.0432823	0.298701	0.570821
a93	0.0044069	0.00313304	0.00387901	0.00466168	0.00510746	0.00571736	0.0090098	0.0197843	0.0231254	0.0336581	0.0866335	0.29894	0.501943
a4	0.00138443	0.00111262	0.00192805	0.00314649	0.00404678	0.0045414	0.00640589	0.0123498	0.0141647	0.0197694	0.0594932	0.289413	0.582244
a70	0.00151808	0.00127271	0.00228761	0.00326359	0.00389869	0.00444895	0.00656595	0.0135604	0.015678	0.024344	0.0732891	0.312312	0.537561
a88	0.00247936	0.00192444	0.00349998	0.00491609	0.00625389	0.00724969	0.00948942	0.0163615	0.0200874	0.0327332	0.0904145	0.322362	0.482229
a71	0.00578293	0.00457292	0.00660557	0.00804271	0.00943391	0.0105742	0.0130946	0.0203678	0.0263969	0.0419975	0.104984	0.306114	0.442033
a9	0.0303137	0.021758	0.0226298	0.021886	0.0206011	0.0200146	0.0224702	0.0281384	0.0340352	0.0571758	0.108731	0.262177	0.350069
a10	0.0592369	0.034449	0.0340284	0.0300102	0.0274474	0.0272873	0.0399351	0.0577451	0.0726003	0.111178	0.121526	0.181595	0.202961
a87	0.0797801	0.0342579	0.0279922	0.0204641	0.0201327	0.0227971	0.0485798	0.127506	0.133604	0.153148	0.112597	0.104348	0.114793
a23	0.0610461	0.0249713	0.0204767	0.0148096	0.0178279	0.0233003	0.0685069	0.181902	0.167997	0.15888	0.0922392	0.0732894	0.0947538
a99	0.0377323	0.0111436	0.00707704	0.00497618	0.00598301	0.00686741	0.0227234	0.0444199	0.0467289	0.0503717	0.0612722	0.21155	0.489154
a97	0.0305137	0.00945444	0.00764102	0.00897808	0.0102188	0.00882418	0.0230486	0.0449688	0.0423803	0.0470332	0.0601536	0.224428	0.482357
a87	0.0166963	0.00661625	0.0100152	0.0138576	0.014229	0.0150962	0.0330365	0.0509238	0.0399581	0.0340768	0.0366236	0.183588	0.545282
</S>	0.0376343	0.012378	0.0124352	0.015986	0.0181412	0.0200785	0.0423599	0.0660357	0.0504988	0.0467586	0.0413706	0.165078	0.471245
