 	la	manière	dont	ils	ont	bouché	le	ruisseau	révèle	un	fait	prémédité	</S>
a47	0.0090507	0.0104084	0.0218795	0.0681297	0.105059	0.150788	0.18271	0.13389	0.163423	0.0647316	0.0350236	0.0255996	0.0293073
a96	0.00989586	0.00979736	0.0207087	0.0695032	0.106447	0.136713	0.153831	0.122241	0.151301	0.0865135	0.0447822	0.0367815	0.0514835
a90	0.00962635	0.0126773	0.0231293	0.0641482	0.113214	0.137704	0.170581	0.110812	0.118734	0.0851199	0.0504132	0.0444288	0.0594116
a69	0.00315244	0.0048046	0.00955266	0.0423088	0.0871944	0.114431	0.149867	0.109352	0.125923	0.131051	0.0803335	0.064922	0.0771078
a94	0.00641861	0.00856932	0.0133092	0.0461903	0.0885398	0.111141	0.134559	0.105943	0.114549	0.118624	0.0688864	0.067132	0.116138
a21	0.00580855	0.00656343	0.0100391	0.0478948	0.0958273	0.116514	0.132641	0.102538	0.11721	0.1196	0.0668334	0.0664403	0.11209
a47	0.0051679	0.00385858	0.00556499	0.0311561	0.0674981	0.0812375	0.111797	0.0685262	0.0867185	0.12318	0.103984	0.130601	0.18071
a31	0.00308772	0.0032672	0.00636047	0.034248	0.0748473	0.0876957	0.110967	0.071323	0.102762	0.135619	0.0987638	0.117012	0.154047
a88	0.00497559	0.00414739	0.00634532	0.0258935	0.0556516	0.0691544	0.100049	0.0576576	0.0806908	0.122889	0.102869	0.148304	0.221374
a71	0.00415573	0.00429209	0.00743806	0.0298826	0.0503319	0.0641179	0.0799525	0.0530207	0.0802381	0.104151	0.0803766	0.140586	0.301457
a9	0.00824037	0.0098202	0.0166284	0.0547083	0.0770116	0.110161	0.134145	0.0907035	0.107355	0.0773067	0.0563686	0.0835976	0.173954
a99	0.0288303	0.0219758	0.0281957	0.0715729	0.0857719	0.119795	0.135881	0.110111	0.120471	0.0741893	0.0448751	0.0554775	0.102853
a87	0.0524377	0.0241955	0.0237769	0.0423197	0.0493888	0.0734138	0.0947208	0.0888827	0.110167	0.121322	0.0930995	0.0916591	0.134617
a23	0.0876624	0.0284146	0.0192479	0.0292399	0.0332282	0.0502048	0.0602127	0.0781113	0.0875241	0.123888	0.135561	0.128885	0.13782
a40	0.0154785	0.0131059	0.0123623	0.0201157	0.0258628	0.0362432	0.0400199	0.0469068	0.0550184	0.0956413	0.14948	0.230102	0.259663
a36	0.00856903	0.00614636	0.00853153	0.0337816	0.0476308	0.0741114	0.0784499	0.0894133	0.0881984	0.167413	0.16429	0.139684	0.0937797
a26	0.00123792	0.000990045	0.00154859	0.00909604	0.0163669	0.0261736	0.0293016	0.033653	0.040368	0.122506	0.168487	0.233822	0.31645
a21	0.00173276	0.00102886	0.00172209	0.00761447	0.0129908	0.0225921	0.0251401	0.0254126	0.0440281	0.102241	0.121942	0.193671	0.439885
a12	0.000393863	0.000388588	0.000657661	0.00217838	0.0048439	0.0090033	0.0148487	0.0104612	0.0178789	0.0668847	0.121607	0.228872	0.521982
a18	0.000977687	0.000939949	0.001521	0.00458475	0.00857901	0.0139659	0.0208947	0.0149221	0.0285672	0.0921431	0.119745	0.198646	0.494513
a75	0.00498051	0.00375509	0.00518885	0.0145898	0.0174811	0.0234563	0.0264431	0.023158	0.0341536	0.0829649	0.102432	0.175868	0.485529
a85	0.000462046	0.000437483	0.000534071	0.00127936	0.00212558	0.00336535	0.00429231	0.00361818	0.0076486	0.0356018	0.0596768	0.191493	0.689465
a92	9.38666e-05	0.000114307	0.000146639	0.0003979	0.000828888	0.00126941	0.0016574	0.00143562	0.00338668	0.0326932	0.0803833	0.205113	0.67248
a6	0.000140177	0.000140926	0.000159939	0.000413136	0.000863708	0.00139708	0.00208158	0.00185596	0.00421192	0.0363923	0.0817033	0.205794	0.664846
a36	0.00027756	0.000307999	0.000353453	0.000819262	0.00157879	0.00243003	0.00317461	0.00289616	0.00543021	0.0411651	0.0957118	0.211001	0.634855
a27	0.00247396	0.00201262	0.00234772	0.00446851	0.0056561	0.00792022	0.00822629	0.0080596	0.0130692	0.0694166	0.124917	0.211065	0.540366
a10	0.0156169	0.0111393	0.0118122	0.0210282	0.0230771	0.0311181	0.0334572	0.0283833	0.0358123	0.114805	0.13317	0.18618	0.354401
a87	0.0792109	0.027101	0.0184372	0.0260565	0.0242004	0.0330209	0.0326682	0.0342265	0.0394917	0.104267	0.126054	0.180154	0.275112
a23	0.0658422	0.0175248	0.0139661	0.0270127	0.0291414	0.0502778	0.0463745	0.0633769	0.0849165	0.119837	0.134324	0.16812	0.179286
a97	0.0114438	0.00485639	0.00300171	0.0037428	0.00404149	0.00753608	0.00688292	0.0123182	0.0174423	0.0563008	0.120347	0.258662	0.493424
</S>	0.0042801	0.00168194	0.00231481	0.0048381	0.00511074	0.00720377	0.00650801	0.00759605	0.00904549	0.0177453	0.0449137	0.195797	0.692965
