 	un	serpent	est	entré	dans	l'	étang	et	tous	les	pêcheurs	à	l'	écope	ont	pris	fuite	</S>
a85	0.00301151	0.00287351	0.00354242	0.00581264	0.00671433	0.00642573	0.00922582	0.0171824	0.0195454	0.0207924	0.0174165	0.0116049	0.00745154	0.00708036	0.0327053	0.0607216	0.189883	0.578011
a92	0.00161181	0.00160198	0.00206154	0.00308291	0.00333894	0.00304882	0.00402011	0.00723894	0.00814987	0.00832538	0.00686531	0.00394164	0.00217388	0.00217567	0.016698	0.0436814	0.178782	0.703202
a6	0.00147809	0.00150163	0.00178409	0.00298117	0.00358699	0.00295028	0.00444949	0.0078009	0.00940842	0.00928502	0.00791028	0.00503663	0.00254165	0.00277406	0.0236601	0.0635373	0.203009	0.646305
a36	0.00119673	0.00112458	0.00145722	0.00305038	0.00352977	0.0024026	0.00298182	0.00483151	0.00510406	0.00466847	0.00317812	0.00203604	0.00098206	0.00115879	0.0116735	0.0414243	0.191685	0.717515
a37	0.00146003	0.00121261	0.00144168	0.00293952	0.00360557	0.00266986	0.0029444	0.00425039	0.00406293	0.00344431	0.00218155	0.00119109	0.000526286	0.000562052	0.00553301	0.024336	0.163271	0.774368
a66	0.00179091	0.00144935	0.0015151	0.00286852	0.00435418	0.00358629	0.00529263	0.00888679	0.00825413	0.00744199	0.00566695	0.00312501	0.00144706	0.00153265	0.0121345	0.044509	0.187273	0.698872
a82	0.00817521	0.00582437	0.00602961	0.00761115	0.0103445	0.00959516	0.0112021	0.0159878	0.0167607	0.0139452	0.0117841	0.0113662	0.00882169	0.00722206	0.0225663	0.077037	0.205504	0.550223
a3	0.0701684	0.0395182	0.0370733	0.0338744	0.0402387	0.030887	0.0238444	0.0283399	0.0345767	0.0324819	0.035502	0.0508821	0.0427936	0.0267429	0.029142	0.0636883	0.115432	0.264814
a10	0.0680279	0.0387092	0.0356033	0.0372015	0.0402933	0.035206	0.0244983	0.0325628	0.0406889	0.0481945	0.0695665	0.0968257	0.0801941	0.0604832	0.058631	0.0796499	0.0683504	0.0853135
a87	0.0545535	0.0407318	0.0372769	0.0387771	0.0396494	0.036808	0.0308018	0.0395543	0.0499474	0.0568349	0.0729433	0.0735136	0.0564093	0.0528713	0.0691431	0.090817	0.07797	0.0813975
a23	0.0521207	0.0399445	0.0377098	0.0441336	0.0429703	0.0366707	0.0329177	0.0477828	0.0580974	0.0620326	0.0706076	0.0671458	0.0509649	0.0438734	0.054047	0.0763183	0.0822872	0.100376
a87	0.0306263	0.0177174	0.0164314	0.0218335	0.0171534	0.0152281	0.00883256	0.0137334	0.0148301	0.0170858	0.0156338	0.0232821	0.0224977	0.0249896	0.066044	0.131009	0.22464	0.318432
a23	0.0236992	0.0144207	0.013902	0.0218971	0.0148151	0.0133885	0.00743313	0.00920697	0.00928174	0.010122	0.0123352	0.0174901	0.0189341	0.0230669	0.0535349	0.109889	0.218072	0.408512
</S>	0.0215064	0.0142511	0.0160739	0.0287887	0.0201423	0.0172958	0.00912277	0.0118589	0.0111829	0.0121527	0.0111505	0.0150516	0.0157047	0.0223206	0.0672328	0.139611	0.232688	0.333866
