 	sa	mère	l'	a	blâmé	à	cause	de	son	impolitesse	</S>
a38	0.0257097	0.0246557	0.0259638	0.0350923	0.043299	0.0678455	0.116317	0.211927	0.177925	0.109314	0.161951
a70	0.0336304	0.0252331	0.0227797	0.0254679	0.0268779	0.0347861	0.0582714	0.12748	0.136596	0.172405	0.336473
a75	0.0068398	0.00613788	0.0066525	0.00899099	0.0112407	0.0189612	0.0358321	0.0962377	0.131245	0.248074	0.429788
a79	0.00134145	0.00120017	0.00172148	0.00306292	0.00524779	0.00961093	0.0182391	0.0473895	0.0715273	0.255564	0.585095
a15	0.000777277	0.000710031	0.00108327	0.00209283	0.00415535	0.00857978	0.0186839	0.0481163	0.0749801	0.300801	0.54002
a79	0.000689253	0.000600543	0.000804845	0.00132119	0.00274853	0.00512521	0.0109432	0.0312173	0.0607317	0.341881	0.543938
a7	0.00130813	0.00111976	0.00138153	0.00207138	0.00336667	0.00547411	0.01251	0.0348066	0.0681466	0.318649	0.551166
a61	0.000868209	0.000703588	0.000715615	0.00100655	0.00157854	0.00249202	0.00622213	0.0226158	0.0556567	0.346415	0.561726
a75	0.000701435	0.000579473	0.000702749	0.00110308	0.00175351	0.00267314	0.0055953	0.017374	0.048203	0.302736	0.618579
a6	0.00016454	0.000142862	0.000197606	0.00037525	0.000751769	0.00114217	0.00278264	0.0114737	0.039071	0.300503	0.643396
a37	0.000100555	9.35104e-05	0.000120315	0.000202642	0.00045602	0.000840247	0.00239283	0.00837294	0.0234837	0.249129	0.714808
a66	0.000321091	0.000261745	0.000253221	0.000306294	0.000518392	0.000856692	0.00191345	0.00624641	0.0208239	0.233563	0.734936
a75	0.00107466	0.000870377	0.000780021	0.000773041	0.00113288	0.00176841	0.0042555	0.0136171	0.0386523	0.251021	0.686055
a5	0.000318313	0.000256183	0.000268201	0.000344825	0.000589957	0.000833633	0.00180918	0.00546699	0.0188234	0.194072	0.777217
a12	0.00052262	0.000438431	0.000509263	0.000774982	0.00137855	0.00196984	0.00358798	0.00864872	0.0268985	0.196	0.759272
a43	0.000477296	0.000418591	0.000501117	0.000760705	0.00139287	0.00192263	0.00319962	0.00720185	0.0216308	0.188319	0.774175
a32	0.000549829	0.000512078	0.000610955	0.000818402	0.00137888	0.00244999	0.00454942	0.00838776	0.0193515	0.170863	0.790528
a24	0.000832104	0.000755033	0.000831642	0.00100718	0.00166788	0.00306502	0.00665608	0.0138398	0.0280503	0.171413	0.771882
a9	0.00105508	0.00105876	0.00117747	0.00147827	0.00223765	0.00423112	0.00912145	0.0160533	0.0308398	0.17925	0.753497
a10	0.0187127	0.0139409	0.0114141	0.0101778	0.0116955	0.0123846	0.0178652	0.0263421	0.0442721	0.203844	0.629351
a87	0.107801	0.0557462	0.038831	0.0342155	0.0366754	0.0400592	0.0409651	0.0506351	0.0709642	0.178133	0.345974
a23	0.206882	0.126675	0.0695244	0.0467959	0.0365025	0.0386232	0.035521	0.0433944	0.061551	0.141477	0.193053
a87	0.117466	0.0680385	0.0317172	0.0182728	0.015216	0.00846195	0.0092536	0.0126829	0.032853	0.215133	0.470906
</S>	0.0216247	0.0135329	0.00755241	0.00485232	0.00527137	0.00457296	0.00729911	0.0124999	0.0237004	0.223069	0.676024
