 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
a73	0.00833041	0.00909074	0.0132706	0.018202	0.0295203	0.0566317	0.0901636	0.120483	0.146766	0.15949	0.169839	0.178213
a7	0.00832524	0.00824033	0.00887891	0.0107995	0.0156479	0.0358243	0.066568	0.101407	0.151286	0.180576	0.191953	0.220493
a98	0.00922065	0.008602	0.0091606	0.010706	0.0136622	0.0278763	0.0513802	0.0788081	0.131934	0.18295	0.220244	0.255456
a41	0.0160436	0.0129565	0.0114401	0.0117065	0.0142617	0.0262979	0.0441439	0.0664938	0.104027	0.164425	0.225019	0.303185
a61	0.012471	0.011603	0.0141849	0.0180378	0.0279063	0.0543708	0.0889316	0.119202	0.152281	0.161597	0.166213	0.173201
a18	0.00642907	0.00713698	0.00872558	0.0106879	0.0149658	0.0273873	0.0454268	0.0684498	0.122553	0.191242	0.23473	0.262266
a38	0.00667088	0.00665836	0.00590404	0.00664955	0.00895054	0.017668	0.0283973	0.0428981	0.0875372	0.193893	0.265597	0.329176
a76	0.00783833	0.00622028	0.00514311	0.00569971	0.00763028	0.0152974	0.0250087	0.0394606	0.0817445	0.182019	0.263304	0.360634
a94	0.00787678	0.00468704	0.00481416	0.00706384	0.0114524	0.0189944	0.0254969	0.0366944	0.0613448	0.144906	0.265752	0.410917
a90	0.00690045	0.00611123	0.00507611	0.00571212	0.00774555	0.0161347	0.0253014	0.0371159	0.0683962	0.166622	0.262973	0.391912
a4	0.00779894	0.0054104	0.00462791	0.00583769	0.00850684	0.0163316	0.0236818	0.0356302	0.06413	0.158429	0.267375	0.402241
a57	0.0164536	0.0141843	0.0138153	0.0149781	0.0178139	0.0251011	0.0314189	0.0422389	0.0714377	0.159261	0.251542	0.341756
a53	0.010282	0.00698866	0.00614117	0.00652833	0.00757757	0.011191	0.0141677	0.0212923	0.0405505	0.118424	0.256692	0.500165
a90	0.0228901	0.0129514	0.0124185	0.0139399	0.0175115	0.0217325	0.0245128	0.0325528	0.0494473	0.124191	0.242015	0.425837
a4	0.0142636	0.0101428	0.00996558	0.0112392	0.0136237	0.0182193	0.0213055	0.0283176	0.0463773	0.124337	0.246017	0.456192
a90	0.0172687	0.011522	0.00944817	0.00968829	0.0113392	0.016	0.0190249	0.0248829	0.0397896	0.118935	0.251616	0.470485
a4	0.0158285	0.00826055	0.00757605	0.00902172	0.0116967	0.0156668	0.0183254	0.0245808	0.0392421	0.110916	0.24995	0.488935
a57	0.0158122	0.0103931	0.00840844	0.00852435	0.00987551	0.0145391	0.0180051	0.0244795	0.0427612	0.12416	0.256891	0.466151
a9	0.0102831	0.00658413	0.0057536	0.00573251	0.00634948	0.0095895	0.0119334	0.0178203	0.0326875	0.103027	0.250115	0.540124
a87	0.00799009	0.00417435	0.00353516	0.00340164	0.00450602	0.00764166	0.0106064	0.0173545	0.0320696	0.116551	0.279221	0.512949
</S>	0.00367887	0.00236312	0.00136378	0.00108709	0.00147741	0.00250385	0.00437796	0.00979692	0.0266372	0.122233	0.306116	0.518364
