 	les	jeunes	d'	ongonza	pratiquent	la	pêche	au	filet	dans	le	ruisseau	vouma	pen-	dant	la	grande	saison	sèche	</S>
a47	0.00137588	0.00166126	0.00320461	0.00634122	0.0118186	0.0327114	0.0515031	0.0729967	0.0710753	0.0786368	0.0676918	0.0666778	0.0739462	0.0636781	0.0766162	0.0785482	0.066339	0.0468616	0.0564746	0.0718417
a7	0.00234964	0.00238901	0.00448881	0.00929513	0.0160913	0.0371574	0.048836	0.064938	0.0686994	0.0902597	0.0821996	0.0806563	0.0862653	0.0660018	0.0648101	0.0628844	0.0534809	0.0379137	0.0470494	0.074234
a75	0.00169774	0.00153669	0.00244894	0.00482235	0.00827322	0.0224775	0.0342021	0.064103	0.078393	0.112253	0.100458	0.0882713	0.0903013	0.0534298	0.0606052	0.0538911	0.0435205	0.0365692	0.0512352	0.0915113
a98	0.00171741	0.00155473	0.0021791	0.00375712	0.00708161	0.0146219	0.02489	0.0461449	0.0560025	0.0729418	0.0697564	0.0664875	0.085646	0.0607718	0.0683302	0.0885615	0.0789899	0.0615571	0.076929	0.11208
a47	0.00121797	0.00121382	0.0022207	0.00405524	0.00743279	0.0172534	0.0238211	0.0386699	0.0428727	0.0574428	0.0606719	0.070197	0.0862031	0.074851	0.077842	0.0970572	0.086408	0.0647245	0.0780025	0.107842
a36	0.0021684	0.00200785	0.00338924	0.00691602	0.0149547	0.0261635	0.0308581	0.0425433	0.0427651	0.0556662	0.055256	0.056251	0.0692541	0.0593825	0.0591476	0.0764318	0.0701862	0.0626668	0.0888267	0.175165
a2	0.00350979	0.00295039	0.00409666	0.00739313	0.0127609	0.0266318	0.0329302	0.0477168	0.0528245	0.0741191	0.0711264	0.061369	0.0752337	0.0483521	0.0494499	0.0607955	0.0531081	0.0520649	0.0804083	0.183159
a57	0.00790734	0.00686901	0.008316	0.0122514	0.0149648	0.024874	0.0272798	0.0372497	0.0420254	0.0524008	0.0521444	0.0579236	0.0805399	0.0626435	0.0807994	0.0781773	0.0691313	0.0659514	0.0870025	0.131548
a97	0.0148971	0.0129256	0.0139631	0.0183123	0.0241238	0.0277629	0.0281838	0.038467	0.0402769	0.0491619	0.0487984	0.0537556	0.0744974	0.0717559	0.0924728	0.0798734	0.0723741	0.0635419	0.0716635	0.103193
a87	0.0187363	0.0127491	0.0111167	0.0137559	0.0239523	0.0288952	0.028223	0.0425071	0.0433528	0.0507104	0.0524007	0.05982	0.0852522	0.0842614	0.0851183	0.0756018	0.0740564	0.0688695	0.0623478	0.0782731
a23	0.0443631	0.0258807	0.0204226	0.0211281	0.0301523	0.03263	0.0314683	0.0474411	0.0508931	0.0630531	0.061674	0.0566941	0.0780207	0.0629422	0.0422305	0.0430233	0.0590331	0.0759559	0.0682131	0.0847807
a83	0.0081119	0.00525	0.00522797	0.00789975	0.0182835	0.0196057	0.0180971	0.0249884	0.0298048	0.0368931	0.04148	0.0428086	0.0554502	0.0563298	0.037884	0.0627393	0.108832	0.13585	0.127489	0.156975
a71	0.00198817	0.00164437	0.00222627	0.00358399	0.0118186	0.0245354	0.0229862	0.0372389	0.0448371	0.0610551	0.065627	0.068992	0.0738837	0.0771849	0.0451583	0.0558842	0.0796232	0.0971299	0.10712	0.117483
a9	0.00146716	0.00142568	0.00178022	0.00239823	0.00742599	0.0154918	0.0131433	0.0190804	0.022071	0.0281392	0.0311574	0.0370711	0.0489317	0.0523723	0.0358438	0.0477995	0.0683606	0.121426	0.206929	0.237686
a75	0.00271298	0.00244146	0.00265167	0.00351576	0.00865596	0.018556	0.0149677	0.0227001	0.0253462	0.032601	0.0372091	0.0489545	0.0744588	0.0792457	0.0594609	0.0737787	0.0878572	0.108213	0.150882	0.145791
a6	0.000723145	0.00072748	0.000944019	0.00141149	0.00471127	0.0094131	0.0102064	0.0166837	0.0195487	0.0277946	0.0298761	0.0411447	0.0594014	0.0640414	0.0447649	0.06328	0.0845418	0.115011	0.175933	0.229842
a0	0.000577824	0.000634726	0.000974516	0.00166344	0.00417792	0.0099095	0.0126	0.0199942	0.0213539	0.027681	0.0269122	0.0348146	0.0516238	0.0562701	0.0430425	0.0620337	0.0813512	0.11505	0.183995	0.24534
a54	0.000465874	0.000509663	0.000757705	0.00125435	0.00317412	0.00652873	0.00812014	0.0136099	0.0163602	0.0206164	0.020955	0.0272135	0.0478331	0.045153	0.0369357	0.061629	0.0799591	0.116228	0.207289	0.285408
a79	0.000391513	0.000420128	0.000633041	0.00112076	0.00253512	0.00545774	0.00819319	0.0149516	0.0179589	0.0235457	0.0242279	0.0314825	0.0584656	0.0484532	0.038814	0.0643329	0.0783531	0.110745	0.194117	0.275801
a90	0.000341048	0.000346918	0.000515304	0.000901743	0.00211509	0.00591834	0.0094528	0.016944	0.0228998	0.0280469	0.02935	0.0353056	0.06039	0.04667	0.042555	0.0669312	0.0756912	0.0959972	0.188841	0.270787
a56	0.000608733	0.000591415	0.00070518	0.000958026	0.00214191	0.0045723	0.00622057	0.0111075	0.015179	0.0187998	0.020344	0.0267647	0.0548848	0.039857	0.0319266	0.0525125	0.061827	0.0961309	0.2058	0.349068
a54	0.00035193	0.000343541	0.000425413	0.000538528	0.000916477	0.00212412	0.00354079	0.00835179	0.0130383	0.0171053	0.020239	0.0278954	0.059553	0.0437244	0.0390968	0.0669642	0.0732404	0.0908887	0.203469	0.328193
a92	0.000323075	0.00028325	0.000312794	0.000400385	0.000751055	0.00170189	0.00274716	0.00576691	0.00790162	0.0106527	0.0129906	0.018219	0.0417078	0.0307844	0.0307842	0.0586275	0.0679005	0.0975105	0.229427	0.381207
a37	0.000206073	0.00018827	0.000210265	0.000252828	0.000452924	0.00112885	0.00201045	0.00471999	0.00642438	0.00893305	0.0114405	0.0159884	0.035715	0.0298079	0.0303961	0.0621404	0.0717245	0.0993111	0.232035	0.386914
a66	0.000268367	0.000228758	0.000256845	0.000316562	0.000431076	0.000886677	0.00130143	0.00329154	0.00581517	0.00752707	0.00922966	0.0133163	0.0418854	0.0298739	0.0285781	0.0742414	0.0864156	0.110977	0.250547	0.334612
a44	0.00191858	0.00136383	0.00141602	0.00203927	0.0035679	0.00535795	0.00482359	0.00859077	0.0101298	0.0138226	0.0161654	0.0224642	0.0488222	0.0439104	0.0282802	0.0614297	0.0760463	0.111761	0.235656	0.302435
a56	0.00189856	0.00134536	0.00145867	0.00243246	0.00455274	0.00684286	0.00572058	0.00811325	0.00821662	0.00984753	0.0113838	0.0154914	0.0351282	0.0348984	0.0250743	0.0562906	0.0696822	0.109077	0.250716	0.34183
a79	0.000461452	0.000372688	0.000416994	0.000548603	0.000878685	0.00164935	0.00190832	0.00365512	0.00521835	0.0069429	0.00856413	0.0116791	0.0348866	0.0238536	0.0197527	0.0495854	0.0574709	0.0873734	0.247836	0.436946
a36	0.000262889	0.000217743	0.000236696	0.000361589	0.000710215	0.00159135	0.00215106	0.00388438	0.00479065	0.00498272	0.00600192	0.0080127	0.0237574	0.0190868	0.0210416	0.0552552	0.0651433	0.0989757	0.25309	0.430446
a27	0.00114283	0.000830271	0.000860432	0.00161846	0.0034448	0.00581896	0.00538228	0.00726182	0.00758862	0.00735916	0.00798758	0.010066	0.0236705	0.0220204	0.0193939	0.049963	0.0654225	0.113619	0.27489	0.371659
a3	0.0202567	0.0156612	0.0139273	0.0139509	0.0227261	0.0231861	0.0159581	0.0195437	0.0203927	0.0219997	0.0236728	0.0290961	0.0558352	0.0634648	0.0532001	0.0870165	0.0895523	0.0980455	0.157006	0.155509
a97	0.0531019	0.0292984	0.020975	0.0168387	0.0241862	0.0175572	0.0115355	0.015403	0.0185534	0.02228	0.0243725	0.0291087	0.0498494	0.0537428	0.0446579	0.0786655	0.0918552	0.108631	0.141614	0.147773
a87	0.0411442	0.0188499	0.0118239	0.0110877	0.0137566	0.0132512	0.0133776	0.024169	0.0311278	0.0380378	0.0379771	0.0421286	0.0573383	0.053272	0.0532236	0.0650756	0.0780298	0.100902	0.119049	0.176379
a23	0.0446184	0.0198224	0.0116135	0.012529	0.0191196	0.0187455	0.0160427	0.0237083	0.0275825	0.0312123	0.0293868	0.0314773	0.0442266	0.0380626	0.0361745	0.047584	0.0640754	0.104582	0.13512	0.244316
a99	0.00463934	0.00213356	0.00152137	0.00222658	0.00410178	0.00362092	0.00355057	0.00658227	0.00927101	0.00995465	0.0102367	0.0113646	0.0225827	0.0195789	0.0166847	0.0461443	0.0841088	0.168328	0.22567	0.347699
a97	0.00597851	0.00300767	0.00265686	0.00381082	0.00765003	0.00907238	0.00847178	0.0112757	0.0140367	0.01361	0.0130928	0.0144761	0.0242858	0.0223632	0.0205039	0.0446232	0.0725018	0.152147	0.215213	0.341223
</S>	0.00405064	0.00293324	0.00300442	0.00402354	0.00818075	0.00874688	0.00756805	0.0089275	0.0100743	0.00928979	0.00887458	0.00946831	0.0159013	0.0155755	0.0153817	0.032199	0.0484991	0.119536	0.225959	0.441807
